missing_value,normalization,fselection,outlier,whitespace,punctuation,stopword,deduplication,model,utility_rmse
1,1,1,3,2,2,1,1,1,156.6729803512847
1,1,1,3,2,2,1,2,1,255.78154868719753
1,1,1,3,2,2,2,1,1,156.6729803512847
1,1,1,3,2,2,2,2,1,255.78154868719753
1,1,1,4,1,1,1,1,1,183.1930240060438
1,1,1,4,1,1,1,2,1,288.58295133530174
1,1,1,4,1,1,2,1,1,183.1930240060438
1,1,1,4,1,1,2,2,1,288.58295133530174
1,1,1,4,1,2,1,1,1,183.1930240060438
1,1,1,4,1,2,1,2,1,288.58295133530174
1,1,1,4,1,2,2,1,1,183.1930240060438
1,1,1,4,1,2,2,2,1,288.58295133530174
1,1,1,4,2,1,1,1,1,183.1930240060438
1,1,1,4,2,1,1,2,1,288.58295133530174
1,1,1,4,2,1,2,1,1,183.1930240060438
1,1,1,4,2,1,2,2,1,288.58295133530174
1,1,1,4,2,2,1,1,1,183.1930240060438
1,1,1,4,2,2,1,2,1,288.58295133530174
1,1,1,4,2,2,2,1,1,183.1930240060438
1,1,1,4,2,2,2,2,1,288.58295133530174
1,1,1,5,1,1,1,1,1,171.74641045573483
1,1,1,5,1,1,1,2,1,274.35690730819937
1,1,1,5,1,1,2,1,1,171.74641045573483
1,1,1,5,1,1,2,2,1,274.35690730819937
1,1,1,5,1,2,1,1,1,171.74641045573483
1,1,1,5,1,2,1,2,1,274.35690730819937
1,1,1,5,1,2,2,1,1,171.74641045573483
1,1,1,5,1,2,2,2,1,274.35690730819937
1,1,1,5,2,1,1,1,1,171.74641045573483
1,1,1,5,2,1,1,2,1,274.35690730819937
1,1,1,5,2,1,2,1,1,171.74641045573483
1,1,1,5,2,1,2,2,1,274.35690730819937
1,1,1,5,2,2,1,1,1,171.74641045573483
1,1,1,5,2,2,1,2,1,274.35690730819937
1,1,1,5,2,2,2,1,1,171.74641045573483
1,1,1,5,2,2,2,2,1,274.35690730819937
1,1,1,6,1,1,1,1,1,165.43035750395777
1,1,1,6,1,1,1,2,1,263.5120597949679
1,1,1,6,1,1,2,1,1,165.43035750395777
1,1,1,6,1,1,2,2,1,263.5120597949679
1,1,1,6,1,2,1,1,1,165.43035750395777
1,1,1,6,1,2,1,2,1,263.5120597949679
1,1,1,6,1,2,2,1,1,165.43035750395777
1,1,1,6,1,2,2,2,1,263.5120597949679
1,1,1,6,2,1,1,1,1,165.43035750395777
1,1,1,6,2,1,1,2,1,263.5120597949679
1,1,1,6,2,1,2,1,1,165.43035750395777
1,1,1,6,2,1,2,2,1,263.5120597949679
1,1,1,6,2,2,1,1,1,165.43035750395777
1,1,1,6,2,2,1,2,1,263.5120597949679
1,1,1,6,2,2,2,1,1,165.43035750395777
