missing_value,normalization,outlier,whitespace,punctuation,stopword,deduplication,model,utility_accuracy_score
1,4,6,2,1,2,2,1,0.09246575342465757
1,4,6,2,2,1,1,1,0.08171206225680938
1,4,6,2,2,1,2,1,0.09246575342465757
1,4,6,2,2,2,1,1,0.08171206225680938
1,4,6,2,2,2,2,1,0.09246575342465757
1,4,7,1,1,1,1,1,0.07003891050583655
1,4,7,1,1,1,2,1,0.07849829351535831
1,4,7,1,1,2,1,1,0.07003891050583655
1,4,7,1,1,2,2,1,0.07849829351535831
1,4,7,1,2,1,1,1,0.07003891050583655
1,4,7,1,2,1,2,1,0.07849829351535831
1,4,7,1,2,2,1,1,0.07003891050583655
1,4,7,1,2,2,2,1,0.07849829351535831
1,4,7,2,1,1,1,1,0.07003891050583655
1,4,7,2,1,1,2,1,0.07849829351535831
1,4,7,2,1,2,1,1,0.07003891050583655
1,4,7,2,1,2,2,1,0.07849829351535831
1,4,7,2,2,1,1,1,0.07003891050583655
1,4,7,2,2,1,2,1,0.07849829351535831
1,4,7,2,2,2,1,1,0.07003891050583655
1,4,7,2,2,2,2,1,0.07849829351535831
1,4,8,1,1,1,1,1,0.0778210116731517
1,4,8,1,1,1,2,1,0.08710801393728218
1,4,8,1,1,2,1,1,0.0778210116731517
1,4,8,1,1,2,2,1,0.08710801393728218
1,4,8,1,2,1,1,1,0.0778210116731517
1,4,8,1,2,1,2,1,0.08710801393728218
1,4,8,1,2,2,1,1,0.0778210116731517
1,4,8,1,2,2,2,1,0.08710801393728218
1,4,8,2,1,1,1,1,0.0778210116731517
1,4,8,2,1,1,2,1,0.08710801393728218
1,4,8,2,1,2,1,1,0.0778210116731517
1,4,8,2,1,2,2,1,0.08710801393728218
1,4,8,2,2,1,1,1,0.0778210116731517
1,4,8,2,2,1,2,1,0.08710801393728218
1,4,8,2,2,2,1,1,0.0778210116731517
1,4,8,2,2,2,2,1,0.08710801393728218
1,5,1,1,1,1,1,1,0.09486780715396581
1,5,1,1,1,1,2,1,0.09677419354838712
1,5,1,1,1,2,1,1,0.09486780715396581
1,5,1,1,1,2,2,1,0.09677419354838712
1,5,1,1,2,1,1,1,0.09486780715396581
1,5,1,1,2,1,2,1,0.09677419354838712
1,5,1,1,2,2,1,1,0.09486780715396581
1,5,1,1,2,2,2,1,0.09677419354838712
1,5,1,2,1,1,1,1,0.09486780715396581
1,5,1,2,1,1,2,1,0.09677419354838712
1,5,1,2,1,2,1,1,0.09486780715396581
1,5,1,2,1,2,2,1,0.09677419354838712
1,5,1,2,2,1,1,1,0.09486780715396581
1,5,1,2,2,1,2,1,0.09677419354838712
1,5,1,2,2,2,1,1,0.09486780715396581
1,5,1,2,2,2,2,1,0.09677419354838712
1,5,2,1,1,1,1,1,0.060194174757281504
1,5,2,1,1,1,2,1,0.056140350877192935
1,5,2,1,1,2,1,1,0.060194174757281504
1,5,2,1,1,2,2,1,0.056140350877192935
1,5,2,1,2,1,1,1,0.060194174757281504
1,5,2,1,2,1,2,1,0.056140350877192935
1,5,2,1,2,2,1,1,0.060194174757281504
1,5,2,1,2,2,2,1,0.056140350877192935
1,5,2,2,1,1,1,1,0.060194174757281504
1,5,2,2,1,1,2,1,0.056140350877192935
1,5,2,2,1,2,1,1,0.060194174757281504
1,5,2,2,1,2,2,1,0.056140350877192935
1,5,2,2,2,1,1,1,0.060194174757281504
1,5,2,2,2,1,2,1,0.056140350877192935
1,5,2,2,2,2,1,1,0.060194174757281504
1,5,2,2,2,2,2,1,0.056140350877192935
1,5,3,1,1,1,1,1,0.08108108108108103
1,5,3,1,1,1,2,1,0.08635097493036215
1,5,3,1,1,2,1,1,0.08108108108108103
1,5,3,1,1,2,2,1,0.08635097493036215
1,5,3,1,2,1,1,1,0.08108108108108103
1,5,3,1,2,1,2,1,0.08635097493036215
1,5,3,1,2,2,1,1,0.08108108108108103
