missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,1,1,1,0.12784625026112387,0.12784625026112387,0.19435,2.04904,0.04284469944936367,3.0879590093936806,36319.2,0.48,155.25,0.0,15489.08,0.26,595.72,0.0,70395.18,0.28,969.95,0.0,650.18,0.0,1007.84,0.0,49.4,0.0,214.62,0.0,105.86,0.09,210.85,0.04,49584.24,0.3,74.24,0.0,0.06830037084041983
1,1,2,1,0.12784625026112387,0.12784625026112387,0.21271,2.43408,0.04391484663186104,3.112781954887218,31615.5,0.44,111.8,0.0,14283.42,0.29,373.51,0.0,73110.7,0.23,793.83,0.0,471.94,0.0,815.95,0.0,30.73,0.0,193.15,0.0,203.36,0.08,35.54,0.01,52651.24,0.3,35.99,0.0,0.0845917696316393
1,1,3,1,0.12784625026112387,0.12784625026112387,0.19083,2.06543,0.04196009322805304,3.5192926045016075,26791.2,0.4,76.16,0.0,12149.18,0.35,272.9,0.0,60474.43,0.24,585.53,0.0,333.21,0.0,601.39,0.0,35.98,0.0,129.48,0.0,798.46,1.0,798.46,1.0,288039.01,0.36,45.89,0.0,0.07524478954950431
1,1,4,1,0.12784625026112387,0.12784625026112387,0.19219,2.08586,0.04210885918238393,3.077864293659622,29090.69,0.5,115.15,0.0,11981.86,0.32,469.28,0.0,55799.41,0.27,735.86,0.0,500.71,0.0,755.61,0.0,37.04,0.0,159.21,0.0,77.04,0.08,151.44,0.04,41812.91,0.31,60.84,0.0,0.06146207841123094
1,1,5,1,0.12784625026112387,0.12784625026112387,0.18704,1.99857,0.04158398662253414,3.3364389233954452,31582.02,0.4,144.6,0.0,14091.47,0.3,501.36,0.0,61768.94,0.28,835.66,0.0,563.8,0.0,863.68,0.0,43.34,0.0,182.54,0.0,69.54,0.06,37.85,0.01,43396.61,0.3,68.0,0.0,0.05090164556468733
1,1,6,1,0.12784625026112387,0.12784625026112387,0.18883,1.98813,0.04205443132529888,3.5618336886993602,32021.28,0.49,128.82,0.0,14236.24,0.31,495.87,0.0,63300.63,0.28,822.24,0.0,566.77,0.0,858.44,0.0,39.31,0.0,197.38,0.0,47.56,0.04,16.78,0.0,44088.98,0.25,75.64,0.0,0.02555247805687845
1,1,7,1,0.12784625026112387,0.12784625026112387,0.17649,1.94904,0.039562731210465704,3.8993135011441646,31820.89,0.52,115.42,0.0,14374.47,0.32,462.18,0.0,63618.58,0.28,808.3,0.0,538.86,0.0,840.14,0.0,41.11,0.0,182.92,0.0,50.88,0.02,55.58,0.01,43901.52,0.25,65.21,0.0,0.009860409426744154
1,1,8,1,0.12784625026112387,0.12784625026112387,0.17306,1.95052,0.038783252999258166,4.0093348891481915,31787.28,0.46,108.48,0.0,14727.36,0.33,449.82,0.0,63717.17,0.28,809.38,0.0,529.91,0.0,839.63,0.0,40.98,0.0,179.21,0.0,30.15,0.01,83.95,0.02,44038.41,0.3,61.2,0.0,0.007109696824393542
1,2,1,1,0.12784625026112387,0.12784625026112387,0.19435,2.04904,0.04284469944936367,3.0879590093936806,241.72,0.48,155.25,0.31,241.72,0.26,595.72,0.28,241.72,0.28,969.95,0.2,650.18,0.43,1007.84,0.34,49.4,0.14,214.62,0.33,241.72,0.09,241.72,0.04,241.72,0.3,74.24,0.1,0.1723041802209203
1,2,2,1,0.12784625026112387,0.12784625026112387,0.21271,2.43408,0.04391484663186104,3.112781954887218,316.42,0.44,111.8,0.26,327.52,0.29,373.51,0.23,158.26,0.23,793.83,0.18,471.94,0.42,815.95,0.31,30.73,0.09,193.15,0.29,1452.52,0.08,1615.24,0.01,168.57,0.3,35.99,0.03,0.18439580848019405
1,2,3,1,0.12784625026112387,0.12784625026112387,0.17759,2.09959,0.038836300773533936,3.3430232558139537,240.19,0.41,0.0,1.0,219.31,0.3,95.73,0.41,15.74,0.16,311.95,0.22,149.23,0.48,312.99,0.29,0.0,1.0,57.1,0.32,1210.05,1.0,1636.66,1.0,112.4,0.3,0.0,1.0,0.1318206419234743
