missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
3,3,7,1,0.1357077064783543,0.1357077064783543,0.19374,2.05528,0.042670006986266586,3.3286713286713288,162.04,0.45,89.62,0.31,97.62,0.33,369.61,0.28,164.02,0.28,625.96,0.22,435.8,0.43,685.2,0.34,27.96,0.14,142.89,0.33,48.2,0.07,97.18,0.03,31.55,0.32,54.5,0.09,0.16389577187247814
3,3,8,1,0.1357077064783543,0.1357077064783543,0.19228,2.06614,0.04227276073632352,3.3994334277620397,154.65,0.45,88.82,0.31,94.01,0.31,359.45,0.28,169.41,0.28,635.57,0.21,436.06,0.43,682.93,0.34,34.58,0.14,142.61,0.33,150.7,0.07,104.66,0.03,31.42,0.33,55.24,0.09,0.15869473245326285
3,4,1,1,0.1357077064783543,0.1357077064783543,0.19398,2.06975,0.04261884627251522,3.1810012836970474,548.06,0.43,103.98,0.32,76.59,0.27,412.33,0.29,2388.74,0.29,593.4,0.22,467.45,0.43,656.42,0.34,34.52,0.15,146.86,0.33,894.0,0.09,685.82,0.04,472.75,0.31,58.36,0.1,0.16557608813213642
3,4,2,1,0.1357077064783543,0.1357077064783543,0.2177,2.58322,0.04381668833715141,3.1283676703645007,382.28,0.39,80.08,0.28,74.9,0.28,292.85,0.24,2014.11,0.24,481.25,0.19,352.42,0.42,529.22,0.3,17.33,0.09,134.14,0.28,794.07,0.07,720.23,0.02,395.4,0.31,36.02,0.04,0.16875264592699366
3,4,3,1,0.1357077064783543,0.1357077064783543,0.19513,2.21922,0.04182518778655744,3.3934426229508197,170.91,0.31,0.0,1.0,27.35,0.34,80.68,0.42,1032.52,0.17,210.27,0.22,121.45,0.48,228.75,0.29,0.0,1.0,48.62,0.31,315.61,1.0,315.61,1.0,213.2,0.24,0.0,1.0,0.09201623815967523
3,4,4,1,0.1357077064783543,0.1357077064783543,0.20213,2.04419,0.04460486256800177,3.114334470989761,386.09,0.47,73.21,0.31,67.61,0.31,303.9,0.28,1724.41,0.28,468.31,0.21,341.26,0.42,506.62,0.33,25.95,0.15,117.01,0.33,676.52,0.08,526.33,0.04,328.33,0.29,47.2,0.09,0.17444441324923105
3,4,5,1,0.1357077064783543,0.1357077064783543,0.20679,2.01577,0.04584742262624901,3.0912981455064195,451.29,0.41,90.14,0.31,86.72,0.31,382.52,0.29,2046.05,0.29,560.42,0.22,437.63,0.43,606.82,0.33,34.78,0.15,146.06,0.33,819.84,0.08,632.21,0.04,387.18,0.34,48.66,0.09,0.19083281086213505
3,4,6,1,0.1357077064783543,0.1357077064783543,0.20584,2.03357,0.04550168055183383,3.084931506849315,459.92,0.4,89.62,0.31,89.87,0.32,390.6,0.29,2129.8,0.29,564.29,0.22,448.45,0.42,626.24,0.33,35.3,0.15,149.91,0.33,866.48,0.08,679.42,0.04,405.07,0.33,49.29,0.09,0.18890981604739296
3,4,7,1,0.1357077064783543,0.1357077064783543,0.20173,2.01375,0.044741749770127244,3.202739726027397,505.99,0.47,92.89,0.31,75.96,0.3,374.67,0.28,2294.79,0.28,590.18,0.22,451.07,0.43,649.47,0.34,31.9,0.14,151.56,0.33,908.23,0.08,695.44,0.03,445.18,0.33,48.41,0.08,0.18090852460587475
3,4,8,1,0.1357077064783543,0.1357077064783543,0.20399,2.06034,0.04488940245202017,3.215258855585831,515.52,0.43,95.01,0.31,73.08,0.28,382.78,0.29,2320.71,0.29,589.52,0.22,448.51,0.43,651.06,0.34,34.91,0.15,155.39,0.33,910.85,0.08,703.67,0.03,455.3,0.32,57.77,0.08,0.18115040839768784
