missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
1,3,6,1,0.49996587729475195,0.550194499419914,0.19161,2.0043,0.04255221312847382,0.19815,491.05513,510.5987,352.35302,1736.55807,1069.27354,2892.94212,1658.10301,2979.084,151.03062,640.92875,230.67569,561.94572,51.59308,151.15047,0.12894166776244334
1,3,7,1,0.49996587729475195,0.550194499419914,0.19182,1.99764,0.04264723315526993,0.19882,494.47812,507.48507,366.33765,1759.70441,1058.62828,2910.2445,1672.82596,2987.91297,147.57571,642.88149,235.20086,523.79411,58.2356,148.35598,0.17339946945150775
1,4,1,1,0.49996587729475195,0.5001706135262404,0.18881,2.01378,0.041863393890282596,0.21295,2709.35016,533.42143,950.00242,1903.38419,10957.57852,2970.0185,1778.00588,3048.10559,148.20998,640.12289,3999.37252,3483.8268,2201.85409,164.29937,0.1713123071032796
1,4,2,1,0.49996587729475195,0.5001706135262404,0.20582,2.5716,0.04149487004347413,0.17382,1830.09068,356.48341,855.8308,1277.6241,9062.80454,2417.67144,1352.29492,2467.94678,67.5921,545.46009,3566.46039,3431.58803,1805.14369,126.05345,0.1825990394251569
1,4,3,1,0.49996587729475195,0.5001706135262404,0.18938,2.04323,0.04178556385656415,0.15386,1958.69149,433.19473,710.73834,1388.77676,7958.25431,2198.90194,1314.35194,2252.72507,110.68675,465.92217,2910.05564,2544.17684,1631.54967,134.5917,0.16935285731895344
1,4,4,1,0.49996587729475195,0.5001706135262404,0.19077,2.04135,0.04210514206824661,0.19219,2163.80506,504.5771,985.25029,1700.09402,9090.93221,2666.39923,1630.93367,2739.25929,137.86265,555.45711,3702.88,3241.41953,1733.51514,150.48264,0.17898155074651312
1,4,5,1,0.49996587729475195,0.5001706135262404,0.19441,2.04455,0.042885570934817464,0.19686,2207.08138,492.15769,1009.71177,1696.77438,9203.21257,2726.53488,1598.97389,2789.38764,157.83516,586.31027,3807.72094,3359.54034,1739.6546,148.26049,0.18326547671750956
1,4,6,1,0.49996587729475195,0.5001706135262404,0.1984,1.99798,0.044107522357552886,0.19876,2338.68354,487.86003,983.01689,1701.85168,9652.66915,2813.14854,1625.36192,2875.71612,164.5621,634.3198,3849.28157,3410.55101,1851.29996,153.48589,0.183915207778602
1,4,7,1,0.49996587729475195,0.5001706135262404,0.20004,1.98545,0.04456337082639455,0.20029,2403.18485,479.7652,967.8629,1742.60612,9953.69837,2846.57224,1660.57303,2922.68117,161.43056,658.91971,3865.26438,3454.61111,1921.62274,144.56402,0.1847333317986322
1,5,1,1,0.49996587729475195,0.49996587729475195,0.18881,2.01378,0.041863393890282596,0.21295,258.41434,533.42143,1092.58541,1903.38419,9460.4231,2970.0185,1778.00588,3048.10559,148.20998,640.12289,3999.37252,3483.8268,2046.48532,164.29937,0.16977747300312443
1,5,2,1,0.49996587729475195,0.49996587729475195,0.20582,2.5716,0.04149487004347413,0.17382,101.95598,356.48341,976.46673,1277.6241,7885.23641,2417.67144,1352.29492,2467.94678,67.5921,545.46009,3566.46039,3431.58803,1680.85159,126.05345,0.18295448966212371
1,5,3,1,0.49996587729475195,0.49996587729475195,0.1879,2.05568,0.041371726531804084,0.15435,179.85099,433.90164,824.73065,1403.37519,6846.74793,2198.02527,1334.382,2255.19148,116.77739,457.84196,2928.59236,2546.23556,1498.99625,140.90658,0.16971372061566162
1,5,4,1,0.49996587729475195,0.49996587729475195,0.1905,2.032,0.04211089985184545,0.19323,184.52683,503.14709,1118.50702,1701.61388,7907.04943,2679.64142,1619.55098,2755.90624,139.9522,559.10357,3718.27846,3258.97086,1622.30863,151.34262,0.17814729041222788
1,5,5,1,0.49996587729475195,0.49996587729475195,0.19663,2.0447,0.043373609682302444,0.19845,190.24425,506.08597,1156.5138,1707.69801,7973.28586,2718.72971,1613.53847,2785.1109,160.64414,603.79394,3838.91518,3404.93996,1613.72831,154.87094,0.185338266128019
1,5,6,1,0.49996587729475195,0.49996587729475195,0.19933,1.9971,0.04432071275897807,0.19968,217.0007,498.89436,1118.71302,1723.8582,8429.06443,2823.61861,1636.07066,2891.93186,165.81384,646.51734,3856.92625,3429.46381,1746.3224,157.59574,0.18591822766745464
1,5,7,1,0.49996587729475195,0.49996587729475195,0.1996,1.98137,0.04449613350229433,0.20091,223.87949,493.08637,1105.97082,1757.99225,8649.80501,2856.16977,1668.92038,2930.78462,158.90458,660.177,3873.96707,3451.23831,1800.23482,149.80455,0.18539536333349
2,1,1,1,0.5000307106443094,0.5000307106443094,0.19098,2.00332,0.042419081225051385,0.23623,125907.02688,571.81821,52279.45793,2114.18863,232602.7845,2970.0185,1967.0139,3391.24845,161.4409,729.92987,331.19245,769.97512,168382.36467,167.7667,0.05457566798240117
2,1,2,1,0.5000307106443094,0.5000307106443094,0.22161,2.56654,0.044717120496871,0.19133,113688.04658,346.29024,46186.46437,1350.99386,244520.90565,2493.23909,1406.41203,2788.52208,100.19643,708.08031,343.86314,308.79605,188621.82503,110.03981,0.08970918542213431
2,1,3,1,0.5000307106443094,0.5000307106443094,0.19457,2.05866,0.04281766359029258,0.18304,101846.84123,409.33539,41089.78019,1486.09344,184241.53515,2344.56792,1449.17725,2675.1302,112.44591,565.41149,245.90017,576.4753,157727.70913,128.00217,0.055863753533224356
