missing_value,normalization,outlier,out_before_out_strat,out_before_norm_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,fairness
1,3,1,0.5004863813229572,0.4985408560311284,0.71751,42.53411,0.0,0.94569,0.0,10.41764,0.0,3.25568,0.0,23.0824,0.0,17.84286,0.0,310.80591,0.0,82.50565,0.0,0.10068093385214005
1,3,2,0.5004863813229572,0.4985408560311284,0.5249,18.0629,29.9125,0.0,29.9125,3.56586,29.9125,0.12648,29.9125,0.0,29.9125,13.80463,29.9125,78.47716,29.9125,7.59252,29.9125,0.06384455239417075
1,3,3,0.5004863813229572,0.4985408560311284,0.63346,35.18104,13.3755,1.17567,13.3755,12.08873,13.3755,2.92206,13.3755,14.72195,13.3755,14.98737,13.3755,184.99896,13.3755,38.48298,13.3755,0.08534531162268388
1,3,4,0.5004863813229572,0.4985408560311284,0.51323,25.34713,30.0097,1.53183,30.0097,6.0607,30.0097,8.79814,30.0097,0.09085,30.0097,18.35624,30.0097,130.49403,30.0097,63.92491,30.0097,0.08269631688672685
1,3,5,0.5004863813229572,0.4985408560311284,0.51479,31.5808,30.0097,1.64556,30.0097,11.30243,30.0097,5.75614,30.0097,0.0,30.0097,13.45938,30.0097,100.23355,30.0097,55.33192,30.0097,0.08061153578874214
1,3,6,0.5004863813229572,0.4985408560311284,0.50934,32.64391,30.0097,0.1094,30.0097,15.74624,30.0097,4.58706,30.0097,0.0,30.0097,13.98854,30.0097,131.75061,30.0097,45.40241,30.0097,0.0903405142460042
1,3,7,0.5004863813229572,0.4985408560311284,0.5144,42.4624,29.8638,0.7008,29.8638,11.58736,29.8638,5.6536,29.8638,0.0,29.8638,10.01819,29.8638,115.58715,29.8638,29.95097,29.8638,0.0832177531206657
1,3,8,0.5004863813229572,0.4985408560311284,0.51556,34.35665,30.0097,0.74618,30.0097,16.37719,30.0097,3.58491,30.0097,0.0,30.0097,14.65047,30.0097,101.53323,30.0097,25.63408,30.0097,0.07922168172341904
1,3,9,0.5004863813229572,0.4985408560311284,0.52101,29.44673,30.0097,0.49018,30.0097,13.28238,30.0097,0.0,30.0097,0.0,30.0097,14.07011,30.0097,164.06877,30.0097,9.88534,30.0097,0.06949270326615709
1,3,10,0.5004863813229572,0.4985408560311284,0.5179,41.87287,30.0097,1.49123,30.0097,18.43766,30.0097,0.46035,30.0097,0.0,30.0097,19.87393,30.0097,151.4754,30.0097,16.56622,30.0097,0.07505211952744961
1,3,11,0.5004863813229572,0.4985408560311284,0.51751,31.13396,30.0097,0.5511,30.0097,8.46609,30.0097,0.91198,30.0097,3.60414,30.0097,15.09287,30.0097,152.04321,30.0097,12.82201,30.0097,0.07574704656011122
1,4,1,0.4917315175097276,0.4985408560311284,0.71751,42.53411,0.0,0.94569,0.0,10.41764,0.0,3.25568,0.0,23.0824,0.0,17.84286,0.0,310.80591,0.0,82.50565,0.0,0.10214007782101164
1,4,2,0.4917315175097276,0.4985408560311284,0.5249,18.0629,29.9125,0.0,29.9125,3.56586,29.9125,0.12648,29.9125,0.0,29.9125,13.80463,29.9125,78.47716,29.9125,7.59252,29.9125,0.06384455239417075
