sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2,3,5,3,1,3,2,3,5,1,2,1,2,1,0.2529182879377432,0.2529182879377432,9.384615384615385,2732.31,0.37,72.54,0.06,522.21,0.28,586.63,0.33,243.68,0.05,1467.73,0.29,30.84,0.29,26.18,0.1,0.09629629629629632
4,4,1,1,1,2,2,4,6,2,1,2,1,1,0.6465638148667602,0.6465638148667602,9.978021978021978,540.59,1.0,288.84,1.0,70.67,0.29,1109.05,0.33,100.02,1.0,776.93,0.3,868.27,0.57,1137.01,0.27,0.09109109109109104
3,4,7,2,2,2,2,3,4,1,1,2,2,1,0.5155642023346303,0.41050583657587547,7.571428571428571,1633.74,0.33,1721.22,0.4,2717.44,0.23,312.94,0.35,2718.14,0.02,1166.48,0.19,301.32,0.36,148.98,0.14,0.1166666666666667
1,1,5,3,1,2,1,1,2,2,2,1,1,1,0.343579766536965,0.343579766536965,12.440298507462687,1131.88,0.25,4422.07,0.39,16559.89,0.15,15462.06,0.25,4936.46,0.02,6806.2,0.31,3109.36,0.27,3277.52,0.24,0.07440310938367578
4,2,2,1,1,3,1,3,3,2,2,2,1,1,0.3385057471264368,0.3385057471264368,8.705882352941176,3586.03,1.0,7887.84,0.45,1062.35,0.31,1681.48,0.31,12919.53,1.0,4427.01,0.48,2955.13,0.35,923.56,0.31,0.10303030303030303
3,4,6,4,1,4,2,4,8,2,1,2,2,1,0.311284046692607,0.311284046692607,11.0,85.53,0.35,104.59,0.4,320.24,0.2,384.14,0.35,203.35,0.01,38.84,0.36,169.99,0.1,106.87,0.11,0.08333333333333337
1,1,3,3,1,4,1,5,6,1,1,2,1,1,0.26186770428015566,0.26186770428015566,10.532051282051283,378.99,0.34,11560.04,0.04,6201.1,0.24,1999.58,0.33,48.25,0.04,207.94,0.36,25.73,0.18,21.04,0.26,0.08671484157865483
3,3,2,4,2,1,2,3,7,1,2,2,1,1,0.245136186770428,0.245136186770428,8.025,1666.23,0.32,25.79,0.07,299.88,0.25,335.12,0.34,2792.73,0.0,1097.19,0.53,455.74,0.53,23.48,0.14,0.11080332409972304
2,1,5,1,2,1,2,3,8,2,2,1,2,1,0.2490272373540856,0.2490272373540856,10.061224489795919,2814.79,0.37,35.78,0.06,695.95,0.25,532.05,0.36,35.18,0.06,1825.62,0.48,41.31,0.18,34.13,0.11,0.09040590405904059
3,1,4,4,1,1,2,5,6,2,1,1,2,1,0.245136186770428,0.245136186770428,8.0,46.99,0.31,1903.14,0.39,1294.6,0.21,319.54,0.35,41.42,0.01,147.37,0.14,38.53,0.36,18.07,0.14,0.11111111111111116
