sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
2,3,5,2,1,2,1,2,6,2,2,1,2,1,0.15315315315315314,0.15315315315315314,0.18566,1.93217,0.0417347478440075,3.243927125506073,230.7,0.48,192.83,0.31,252.72,0.36,511.95,0.28,196.57,0.28,882.67,0.21,486.46,0.41,900.55,0.35,35.23,0.14,179.32,0.34,212.72,0.16,225.6,0.05,168.47,0.25,58.7,0.09,0.1760984943395367
1,2,2,2,2,2,2,3,6,1,1,2,2,1,0.20889380259197837,0.20889380259197837,0.18868,1.96978,0.04214388824423502,3.234290843806104,529.1,0.31,1862.83,0.29,2899.36,0.21,1738.66,0.41,2979.4,0.34,150.43,0.14,622.7,0.34,157.36,0.1,1404.17,0.48,2014.97,0.26,466.76,0.29,6.75,0.17,3692.8,0.05,28.16,0.31,0.18323439008198902
2,4,3,3,2,3,2,2,1,1,1,2,1,1,0.16502866502866503,0.16502866502866503,0.18387,1.97143,0.04106409962833139,3.208092485549133,197.69,0.31,520.34,0.28,887.02,0.21,507.01,0.41,906.41,0.35,38.88,0.14,180.99,0.34,59.66,0.09,223.54,0.46,208.98,0.24,207.33,0.28,216.48,0.07,204.41,0.05,211.84,0.27,0.1712412501232377
2,3,2,3,1,5,2,3,2,1,2,1,2,1,0.16646191646191646,0.16441441441441443,0.19563,2.35962,0.04090985143072145,3.0961313012895664,142.99,0.28,342.72,0.23,717.23,0.19,350.39,0.4,726.46,0.31,19.29,0.08,150.44,0.3,18.7,0.02,449.49,0.46,609.02,0.27,136.25,0.23,45.97,0.15,68.29,0.02,54.13,0.22,0.09737790734123253
2,3,6,2,1,4,1,3,1,2,2,1,2,1,0.16031941031941033,0.16031941031941033,0.18387,1.97143,0.04106409962833139,3.208092485549133,329.68,0.36,197.69,0.31,682.77,0.31,520.34,0.28,313.09,0.28,887.02,0.21,507.01,0.41,906.41,0.35,38.88,0.14,180.99,0.34,30.83,0.17,171.08,0.05,465.87,0.25,59.66,0.09,0.15914423740510697
2,4,1,1,1,1,1,4,2,2,1,1,2,1,0.1369216241737488,0.1369216241737488,0.19136,2.36556,0.039980694561940124,3.426829268292683,475.28,0.4,89.31,0.27,1.83,0.34,197.02,0.23,2163.34,0.23,533.15,0.18,238.68,0.4,540.15,0.31,13.67,0.07,110.04,0.3,673.88,0.06,650.16,0.02,468.9,0.26,38.94,0.04,0.13880364572132037
4,1,3,4,2,3,1,2,5,2,1,1,1,1,0.15891901863124885,0.15891901863124885,0.19091,0.98243,0.047728123477323796,3.8415841584158414,275.02,0.6,309.61,0.3,344.02,0.29,1104.66,0.28,318.4,0.28,2043.56,0.26,991.91,0.52,2087.61,0.71,106.72,0.16,488.15,1.0,394.35,0.16,307.97,0.04,271.61,0.25,102.16,0.09,0.18968084315402062
4,2,5,2,2,1,1,2,4,2,1,1,2,1,0.13724405091311567,0.13724405091311567,0.19137,0.99245,0.047847632354912524,3.745022479126525,305.2,0.51,251.75,0.31,350.64,0.32,938.32,0.28,248.73,0.28,1716.68,0.26,900.45,0.51,1769.28,0.71,85.48,0.15,405.5,1.0,343.48,0.06,269.95,0.04,284.12,0.27,91.35,0.09,0.1687778481309507
1,3,5,2,2,2,2,2,5,2,2,1,1,1,0.14483139856274185,0.14483139856274185,0.19048,1.96629,0.042568967249935266,3.242329367564183,511.99,0.3,1783.9,0.29,2859.41,0.21,1662.23,0.41,2929.1,0.34,150.93,0.15,608.75,0.34,154.17,0.09,635.34,0.5,788.3,0.34,631.6,0.29,763.64,0.17,635.25,0.05,545.1,0.24,0.1751956432811137
1,2,8,1,2,3,1,2,5,1,1,2,2,1,0.16491615994103556,0.16491615994103556,0.19149,1.98673,0.04265140796110669,3.1543116490166416,625.07,0.47,495.61,0.31,735.14,0.24,1795.11,0.29,628.17,0.29,2833.02,0.21,1669.17,0.41,2912.76,0.33,150.34,0.14,612.46,0.33,618.67,0.15,688.95,0.05,634.79,0.25,160.64,0.09,0.19268637416072698
1,2,3,3,2,4,2,4,3,1,2,2,2,1,0.15343037896935077,0.15343037896935077,0.1679,1.97527,0.03747358902464124,3.770755885997522,0.0,1.0,247.05,0.39,799.97,0.23,275.66,0.48,803.84,0.3,0.0,1.0,145.16,0.34,0.0,1.0,3942.69,0.34,359.24,0.31,8037.67,0.15,1020.75,1.0,1020.75,1.0,4286.67,0.17,0.08138682688609764
1,1,1,1,2,3,1,2,7,1,2,2,1,1,0.1844799344799345,0.1844799344799345,0.19086,1.95299,0.04274882750435972,3.2577099236641223,614.57,0.5,489.27,0.31,691.78,0.29,1845.15,0.29,614.45,0.29,2910.69,0.21,1706.79,0.41,2977.79,0.34,150.95,0.15,631.99,0.34,742.04,0.17,624.81,0.05,579.47,0.26,152.56,0.09,0.1866912915003264
