sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2,4,2,1,1,4,5,1,1,2,2,1,0.3463035019455253,0.3463035019455253,10.73913043478261,109.16,0.33,180.77,1.0,1160.79,0.24,566.95,0.37,1189.39,0.03,235.03,0.36,109.18,0.25,1189.41,0.14,0.08518518518518514
1,4,9,4,1,5,6,2,1,2,2,1,0.27276264591439686,0.2723735408560311,9.644970414201184,286.09,0.31,529.01,1.0,7006.4,0.23,2092.47,0.35,15293.04,0.01,671.94,0.35,286.16,0.44,15291.75,0.12,0.09394107837687604
1,4,1,3,2,3,1,1,2,1,2,1,0.34529828109201216,0.34580384226491406,9.302083333333334,9769.28,0.34,10301.07,1.0,1685.04,0.25,2086.06,0.33,14582.16,0.02,6005.88,0.38,9769.16,0.47,37.64,0.17,0.09807886754297268
2,4,5,2,2,3,6,2,2,1,2,1,0.3865110246433204,0.38910505836575876,9.8,2752.27,0.36,2911.04,1.0,538.01,0.24,528.61,0.35,5282.2,1.0,1907.85,0.3,2752.24,0.35,860.66,0.25,0.09259259259259256
2,4,6,4,2,5,6,2,1,1,1,1,0.2814526588845655,0.2801556420233463,11.0,115.71,0.34,146.72,0.37,2495.6,0.23,603.97,0.34,5918.48,0.0,271.1,0.26,115.73,0.41,5918.04,0.21,0.08148148148148149
2,3,4,1,2,3,1,1,2,1,1,1,0.17898832684824903,0.17898832684824903,9.012987012987013,3808.51,0.36,4024.74,1.0,34.62,0.3,28.93,0.38,6182.02,0.01,40.59,0.27,3808.46,0.29,7.03,0.21,0.09987029831387806
2,1,2,4,2,2,2,1,2,2,1,1,0.2204928664072633,0.22178988326848248,11.272727272727273,339.77,0.29,405.74,1.0,9253.69,0.25,8916.03,0.31,7553.83,1.0,9513.22,0.31,339.77,0.39,7553.83,0.27,0.10185185185185186
2,4,3,1,2,3,7,1,1,1,1,1,0.3735408560311284,0.3735408560311284,10.25,2766.68,0.34,2911.45,1.0,659.16,0.19,536.43,0.36,5524.75,1.0,1896.52,0.32,2766.64,0.28,797.74,0.21,0.0888888888888889
1,1,8,3,2,3,3,2,1,2,2,1,0.18832684824902723,0.18832684824902723,9.7720207253886,10496.92,0.34,11105.06,1.0,1684.15,0.26,2242.78,0.33,20306.26,1.0,6318.61,0.36,10496.79,0.42,2792.17,0.31,0.0947570947570947
1,3,5,1,1,4,3,2,1,2,1,1,0.19299610894941635,0.1933852140077821,9.663316582914574,424.71,0.34,654.1,1.0,20436.26,0.26,20494.41,0.33,4118.35,1.0,20477.27,0.54,424.81,0.31,4118.43,0.23,0.0937794533459001
1,3,4,3,1,3,7,1,1,2,2,1,0.20077821011673153,0.2019455252918288,8.884615384615385,8740.21,0.34,9383.26,1.0,103.46,0.27,96.7,0.38,12716.73,0.02,93.65,0.19,8740.09,0.48,34.57,0.24,0.10116731517509725
2,4,8,3,2,1,5,1,2,1,2,1,0.2827496757457847,0.2827496757457847,11.0,114.26,0.34,176.28,1.0,205.59,0.26,537.98,0.37,49.21,0.0,2758.43,0.34,114.26,0.41,49.21,0.17,0.08333333333333337
2,3,9,2,1,2,8,2,1,1,1,1,0.17380025940337224,0.17380025940337224,10.73913043478261,414.25,0.35,389.95,1.0,247.29,0.24,3487.03,0.32,7202.35,1.0,243.71,0.2,414.25,0.3,7202.38,0.25,0.10370370370370374
2,1,7,3,1,1,6,1,2,2,2,1,0.1569390402075227,0.1569390402075227,10.25,117.65,0.35,150.56,0.39,32.17,0.29,25.01,0.38,52.79,0.0,35.44,0.19,117.65,0.37,52.79,0.21,0.08703703703703702
2,4,1,2,1,4,5,1,1,2,1,1,0.3704918032786885,0.37540983606557377,12.34375,88.24,0.32,140.32,1.0,1083.21,0.23,481.9,0.35,1110.24,1.0,207.64,0.32,88.26,0.29,1110.26,0.24,0.11475409836065575
2,3,3,1,1,3,3,1,2,1,2,1,0.17250324254215305,0.16861219195849547,9.721311475409836,3332.19,0.36,3477.47,1.0,493.83,0.28,685.28,0.34,6348.02,1.0,1964.81,0.36,3332.14,0.32,737.63,0.3,0.09480122324159024
1,1,3,2,1,5,3,2,2,2,2,1,0.18832684824902723,0.18832684824902723,9.77948717948718,432.14,0.35,655.89,1.0,20532.39,0.25,20545.21,0.33,20546.7,1.0,20528.08,0.54,432.23,0.33,20544.71,0.3,0.09324452901998093
1,2,7,3,1,3,7,2,1,1,1,1,0.28443579766536964,0.2821011673151751,9.050279329608939,8836.43,0.34,9433.5,1.0,77.12,0.24,1790.86,0.37,12401.0,0.04,6291.68,0.19,8836.32,0.42,46.8,0.14,0.09949972206781543
