sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2,1,9,3,1,1,5,1,2,2,1,1,0.23735408560311283,0.23735408560311283,10.73913043478261,36.5,0.37,190.22,1.0,28.74,0.28,2500.97,0.35,37.07,0.16,2500.97,0.35,28.74,0.18,1051.2,0.25,0.08518518518518514
1,1,3,1,1,4,3,2,2,2,2,1,0.22568093385214008,0.22879377431906614,10.358695652173912,21607.58,0.33,677.76,1.0,21619.39,0.42,835.3,0.38,21634.57,1.0,835.28,0.35,21619.39,0.59,1832.81,0.24,0.08708133971291865
1,4,2,2,1,4,5,2,2,1,2,1,0.3299610894941634,0.33151750972762645,10.104938271604938,401.14,0.38,567.3,1.0,10589.28,0.27,734.51,0.33,3500.82,0.09,734.49,0.36,2122.04,0.48,1593.88,0.25,0.09116175653140635
1,4,2,4,1,5,2,1,2,1,1,1,0.32801556420233463,0.3272373540856031,12.533834586466165,346.72,0.33,552.7,0.38,22532.74,0.37,830.67,0.34,22471.87,0.08,830.65,0.25,3219.7,0.41,1996.24,0.21,0.07444444444444442
1,2,4,3,1,1,2,2,2,1,1,1,0.32607003891050584,0.32607003891050584,13.991666666666667,276.66,0.27,638.3,1.0,7451.26,0.37,12789.74,0.31,128.51,1.0,12789.74,0.42,7451.26,0.54,5052.67,0.19,0.06725958866036685
1,4,7,4,1,4,1,2,2,1,2,1,0.27626459143968873,0.2840466926070039,8.846743295019158,485.92,0.37,744.38,1.0,13297.44,0.3,844.54,0.37,4108.87,0.04,844.51,0.37,2045.43,0.62,1963.5,0.27,0.10272373540856028
2,2,2,1,2,2,3,2,1,1,2,1,0.324254215304799,0.324254215304799,10.153846153846153,430.18,0.39,453.32,1.0,9486.14,0.39,442.82,0.41,7027.0,1.0,442.82,0.5,453.0,0.42,458.07,0.23,0.08793103448275863
2,3,1,2,1,4,2,1,2,2,2,1,0.24347826086956523,0.24347826086956523,10.78048780487805,5188.65,0.34,152.09,1.0,5191.4,0.34,166.65,0.35,5195.05,0.0,166.64,0.44,5191.4,0.39,450.76,0.2,0.14699792960662528
1,4,3,3,1,5,3,2,1,2,1,1,0.3272373540856031,0.3303501945525292,10.43,426.78,0.32,723.75,1.0,23815.91,0.41,890.06,0.4,23832.55,1.0,890.04,0.53,3284.07,0.59,2000.61,0.24,0.08705161854768151
1,1,7,1,1,3,3,1,2,2,2,1,0.22684824902723735,0.2291828793774319,10.25,9899.2,0.34,10520.8,1.0,6095.3,0.41,6030.91,0.38,19823.5,1.0,6030.93,0.35,6095.35,0.59,863.63,0.25,0.08940568475452193
2,1,4,1,2,3,1,2,1,1,2,1,0.2490272373540856,0.2490272373540856,9.012987012987013,45.33,0.4,4024.74,1.0,46.04,0.32,2238.54,0.38,35.67,0.05,2238.55,0.53,46.04,0.21,359.78,0.27,0.10116731517509725
2,4,6,4,2,1,1,2,1,1,1,1,0.31776913099870296,0.31776913099870296,9.012987012987013,172.2,0.39,236.94,1.0,47.15,0.3,3514.99,0.39,91.79,0.01,3514.99,0.53,2559.05,0.6,1381.69,0.27,0.10376134889753563
1,3,2,2,2,1,1,1,2,1,2,1,0.25058365758754864,0.25058365758754864,8.846743295019158,137.09,0.38,744.38,1.0,137.57,0.29,11359.93,0.37,146.54,0.16,11359.93,0.37,137.57,0.22,4867.3,0.27,0.10233463035019452
1,3,1,3,1,5,3,1,1,1,1,1,0.22957198443579765,0.23173367920449633,10.059880239520957,182.12,0.34,590.19,1.0,18557.47,0.43,670.03,0.45,183.1,1.0,670.01,0.53,18557.47,0.59,1572.54,0.25,0.09041689225771521
2,2,4,4,1,2,2,1,1,1,1,1,0.33722438391699094,0.3346303501945525,11.0,359.37,0.3,412.15,1.0,9537.64,0.37,464.16,0.36,6899.98,1.0,464.16,0.4,463.13,0.39,474.02,0.21,0.0888888888888889
2,1,8,4,1,2,7,2,1,2,2,1,0.24254215304798962,0.23865110246433205,9.8,373.02,0.39,475.4,1.0,244.65,0.37,500.1,0.27,355.1,0.1,500.1,0.26,244.65,0.21,507.45,0.22,0.09259259259259256
1,1,7,1,2,1,6,1,1,1,1,1,0.22684824902723735,0.22684824902723735,8.994444444444444,111.27,0.39,529.64,1.0,88.24,0.31,7617.17,0.39,136.14,0.13,7617.17,0.55,88.24,0.22,4015.78,0.22,0.10061145080600331
2,1,8,3,1,5,6,2,1,2,2,1,0.24254215304798962,0.24254215304798962,9.18867924528302,2.27,0.42,175.71,1.0,2349.85,0.3,172.11,0.35,7.11,0.09,172.11,0.31,2349.85,0.21,504.08,0.28,0.1166666666666667
2,2,7,2,1,1,7,2,1,2,1,1,0.311284046692607,0.311284046692607,11.857142857142858,156.15,0.4,194.7,1.0,44.67,0.33,3034.21,0.26,47.07,0.01,3034.21,0.24,1998.8,0.43,1132.26,0.25,0.12407407407407411
1,3,6,4,2,2,7,1,2,1,1,1,0.2396887159533074,0.23229571984435798,9.459302325581396,1247.98,0.37,1379.72,1.0,1171.62,0.31,1337.72,0.36,1179.28,0.08,1337.72,0.37,1171.62,0.2,1478.46,0.28,0.1061700944969427
1,4,1,4,2,1,7,1,1,2,1,1,0.4080604534005038,0.4080604534005038,10.479338842975206,276.05,0.33,427.74,1.0,4628.03,0.39,5836.26,0.36,142.45,0.01,5836.27,0.35,4628.03,0.42,3047.4,0.24,0.08279337652987762
1,1,6,1,1,3,4,2,1,2,2,1,0.24007782101167316,0.24007782101167316,8.884615384615385,98.35,0.38,9235.94,1.0,92.26,0.32,5524.8,0.36,120.07,0.09,5524.82,0.37,92.26,0.21,746.1,0.27,0.10561423012784876
1,2,5,3,1,3,2,2,2,2,2,1,0.3459143968871595,0.34747081712062255,12.13138686131387,9582.79,0.28,10039.15,0.39,6905.34,0.34,7190.81,0.33,21812.23,1.0,7190.83,0.42,6905.4,0.55,931.48,0.21,0.08171206225680938
1,4,8,4,2,4,5,2,2,1,1,1,0.2867704280155642,0.2918287937743191,10.24375,402.58,0.37,581.95,1.0,10416.76,0.29,697.59,0.36,3551.07,0.02,697.57,0.35,1724.53,0.6,1622.96,0.26,0.09116175653140635
1,1,1,1,1,5,1,2,1,1,2,1,0.22654561175961954,0.22697795071335927,8.6375,47.57,0.38,663.78,1.0,11897.91,0.29,721.04,0.38,49.81,0.07,721.02,0.37,11897.91,0.22,1721.13,0.27,0.10376134889753563
2,4,9,3,2,1,7,2,1,1,2,1,0.29831387808041504,0.29831387808041504,11.857142857142858,152.74,0.4,190.83,1.0,44.67,0.33,3018.07,0.28,47.3,0.02,3018.07,0.24,2111.57,0.43,1135.97,0.25,0.12777777777777777
1,4,3,1,1,5,3,2,2,1,2,1,0.3357976653696498,0.3357976653696498,10.43,426.78,0.32,723.75,1.0,23815.91,0.42,890.06,0.4,23832.55,1.0,890.04,0.53,3284.07,0.59,2000.61,0.24,0.08705161854768151
1,3,2,1,2,5,8,2,1,1,1,1,0.25058365758754864,0.24863813229571985,8.884615384615385,14.17,0.41,543.58,1.0,8501.42,0.31,575.88,0.32,25.88,0.1,575.87,0.32,8501.42,0.21,1457.09,0.27,0.10283490828237907
2,2,5,1,1,2,1,1,2,1,1,1,0.3670557717250324,0.364461738002594,9.012987012987013,572.42,0.36,572.42,1.0,572.42,0.36,572.42,0.37,572.42,0.01,572.42,0.53,572.42,0.6,572.42,0.27,0.10376134889753563
2,1,1,1,1,5,2,1,1,1,2,1,0.24347826086956523,0.24347826086956523,10.78048780487805,44.36,0.34,152.09,1.0,5192.53,0.35,166.65,0.35,44.61,0.0,166.64,0.44,5192.53,0.39,450.76,0.2,0.14699792960662528
1,3,9,4,2,4,8,2,1,1,1,1,0.2299610894941634,0.22840466926070038,8.830601092896174,10900.68,0.4,525.36,1.0,8581.89,0.3,586.26,0.32,11458.92,0.1,586.24,0.32,8581.89,0.21,1427.79,0.26,0.103390772651473
2,3,3,2,1,5,5,2,1,1,1,1,0.2490272373540856,0.2490272373540856,9.384615384615385,5.09,0.38,185.99,1.0,2870.58,0.25,152.58,0.36,7.79,0.06,152.57,0.32,2870.58,0.19,505.13,0.28,0.09999999999999998
2,3,5,2,1,5,4,2,1,1,2,1,0.2619974059662776,0.2607003891050584,9.588235294117647,4.64,0.37,166.74,1.0,2820.76,0.31,195.09,0.38,5.88,0.06,195.09,0.36,2820.76,0.19,455.3,0.26,0.1074074074074074
1,1,8,2,1,3,2,1,1,1,1,1,0.22684824902723735,0.2299610894941634,11.238095238095237,9471.36,0.33,9840.56,0.39,6487.16,0.36,6900.67,0.34,93.79,0.07,6900.7,0.27,6487.22,0.56,856.06,0.21,0.08226792662590332
2,2,1,1,1,5,3,1,1,1,1,1,0.38803418803418804,0.39829059829059826,9.666666666666666,114.98,0.35,189.96,1.0,734.21,0.38,174.08,0.42,5249.0,1.0,174.08,0.5,734.21,0.42,465.13,0.23,0.09191176470588236
2,4,4,4,1,1,8,2,1,2,1,1,0.33722438391699094,0.33722438391699094,11.55813953488372,117.4,0.33,184.01,1.0,43.51,0.31,3278.98,0.27,47.63,0.0,3278.99,0.45,2526.51,0.49,1532.65,0.19,0.08333333333333337
2,3,7,3,2,3,7,1,1,1,2,1,0.251621271076524,0.251621271076524,10.020408163265307,43.48,0.43,3072.05,1.0,41.56,0.27,1775.93,0.38,37.37,0.1,1775.93,0.49,41.56,0.16,325.68,0.23,0.09074074074074079
