sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1,2,8,1,2,2,1,2,5,1,1,2,2,1,0.2529182879377432,0.2556420233463035,10.758169934640524,1385.7,0.36,1384.84,1.0,1535.72,0.28,1377.47,0.32,1719.5,0.03,1377.47,0.34,1556.91,0.63,1403.77,0.26,0.08560311284046696
1,2,3,3,2,3,2,4,3,1,2,2,2,1,0.2906614785992218,0.29299610894941636,10.43,426.78,0.32,723.75,1.0,22797.27,0.4,1207.57,1.0,219.76,0.53,926.99,0.46,599.89,0.24,0.08923884514435698,,
1,1,1,1,2,2,1,2,7,1,2,2,1,1,0.22481625594466062,0.2325983571119758,9.793333333333333,1190.67,0.39,1286.32,1.0,1228.54,0.26,1158.51,0.36,1350.1,0.05,1158.51,0.34,1228.54,0.21,1277.57,0.22,0.09203211859172333
1,4,6,2,2,2,2,2,8,2,1,1,2,1,0.2579766536964981,0.25914396887159535,10.104938271604938,1401.99,0.36,1350.08,1.0,1282.71,0.27,1078.04,0.02,1672.12,0.32,1508.45,0.56,1504.43,0.23,0.09116175653140635,,
1,2,4,4,2,1,2,1,6,2,2,1,2,1,0.35019455252918286,0.35019455252918286,8.369791666666666,272.59,0.33,507.75,1.0,112.74,0.33,232.8,0.01,8232.1,0.3,6116.3,0.57,3351.52,0.25,0.11673151750972766,,
1,3,5,2,1,3,1,4,4,1,2,1,2,1,0.24591439688715952,0.24747081712062258,8.672043010752688,33.69,0.38,517.71,1.0,9027.18,0.28,133.14,0.34,5.58,0.09,133.16,0.37,9027.18,0.22,413.79,0.26,0.10839355197331846
2,2,3,1,2,3,1,1,1,1,2,2,1,1,0.2710765239948119,0.2710765239948119,9.012987012987013,145.12,0.34,236.94,1.0,66.91,0.3,3125.89,0.36,88.28,0.01,3123.8,0.37,3307.88,0.29,825.25,0.27,0.1089494163424124
2,1,4,3,2,3,1,1,3,1,2,2,1,1,0.2178988326848249,0.2178988326848249,9.928571428571429,6926480.33,0.34,205.43,1.0,2641.37,0.39,3151.64,0.41,72169562.05,1.0,3151.62,0.51,2641.37,0.43,1279.09,0.23,0.10130718954248363
2,2,5,2,1,3,1,1,2,1,1,1,2,1,0.26459143968871596,0.26459143968871596,11.0,82.05,0.29,172.64,1.0,2908.46,0.36,4050.29,0.38,49.0,1.0,4050.27,0.41,2908.46,0.38,1228.61,0.19,0.08518518518518514
2,1,3,3,2,3,2,3,4,1,2,2,1,1,0.21530479896238652,0.21530479896238652,8.63076923076923,27.91,0.38,3216.46,1.0,34.82,0.04,1495.95,0.31,26.54,0.19,263.93,0.25,0.10383386581469645,,,,
2,1,7,4,1,2,1,3,8,1,1,2,1,1,0.22957198443579765,0.22827496757457846,9.18867924528302,42.17,0.38,2795.31,1.0,1.88,0.27,1697.27,0.41,237.86,0.12,1697.27,0.47,1.88,0.23,246.37,0.18,0.13703703703703707
1,2,5,3,1,3,2,2,8,2,1,1,2,1,0.2914396887159533,0.3,10.320754716981131,1509.03,0.37,1388.41,1.0,1329.56,0.26,966.0,0.02,1732.87,0.32,1565.61,0.56,1454.53,0.22,0.09611111111111115,,
2,1,6,4,1,3,1,4,4,1,2,1,2,1,0.21660181582360571,0.21530479896238652,9.8,6.0,0.38,174.89,1.0,2781.29,0.29,45.95,0.36,8.24,0.08,45.95,0.37,2781.29,0.19,153.68,0.25,0.11481481481481481
1,4,7,4,1,2,2,4,7,1,2,1,1,1,0.26575875486381323,0.26536964980544747,10.835526315789474,378.22,0.35,601.2,1.0,8072.21,0.3,1867.21,0.02,213.44,0.31,569.4,0.44,624.97,0.24,0.08393551973318514,,
2,2,8,2,1,2,2,4,5,2,2,2,2,1,0.2697795071335927,0.26459143968871596,10.020408163265307,144.24,0.41,181.42,1.0,2076.53,0.25,504.67,0.02,39.58,0.3,123.59,0.43,203.62,0.26,0.13148148148148153,,
1,2,2,2,2,2,1,4,8,2,1,1,2,1,0.29105058365758757,0.2945525291828794,10.386075949367088,455.13,0.38,636.52,1.0,9171.95,0.28,206.65,0.34,1761.41,0.14,206.65,0.31,645.27,0.44,594.17,0.25,0.08838243468593665
1,2,3,4,2,3,2,5,1,2,1,1,2,1,0.2906614785992218,0.29416342412451363,8.846743295019158,425.27,0.33,744.38,1.0,13095.17,0.3,18958.55,0.01,193.53,0.37,2056.63,0.48,596.58,0.27,0.10272373540856028,,
1,1,2,4,1,1,2,1,8,2,2,1,1,1,0.23501945525291829,0.23501945525291829,11.942446043165468,93.49,0.38,576.65,1.0,109.32,0.16,10859.52,0.29,93.72,0.18,4721.99,0.21,0.07726514730405776,,,,
1,3,2,2,1,2,1,4,1,1,1,2,1,1,0.22490272373540857,0.22568093385214008,8.846743295019158,48.7,0.38,744.38,1.0,9594.62,0.3,182.77,0.35,62.72,0.16,182.77,0.37,9594.62,0.22,726.79,0.27,0.10233463035019452
1,3,5,3,2,2,2,2,8,2,2,2,2,1,0.2424124513618677,0.2424124513618677,10.619354838709677,1335.77,0.35,1260.0,0.39,1377.27,0.1,1708.41,0.31,1212.08,0.19,1346.21,0.23,0.08606329816768465,,,,
2,3,1,2,1,3,1,2,2,2,2,2,1,1,0.2289855072463768,0.23043478260869565,9.27659574468085,2423.85,0.36,378.67,1.0,7033.71,0.47,436.46,0.4,2500.37,0.01,436.78,0.44,7033.71,0.57,550.52,0.2,0.1159420289855072
1,1,1,2,2,2,2,1,1,2,1,1,1,1,0.21660181582360571,0.21660181582360571,8.6375,31642.57,0.38,2650.76,1.0,35437.53,0.07,4510.32,0.37,879.78,0.22,581.83,0.27,0.10505836575875482,,,,
2,3,1,4,2,3,2,2,8,1,2,2,2,1,0.2217391304347826,0.2217391304347826,10.022727272727273,337.41,0.41,358.15,1.0,334.33,0.07,591.15,0.23,236.28,0.32,391.15,0.2,0.10721649484536078,,,,
2,3,6,4,2,1,2,3,3,2,2,2,2,1,0.23735408560311283,0.23735408560311283,10.169811320754716,3025.86,0.34,3242.37,1.0,6010.36,1.0,1782.97,0.34,1880.79,0.43,286.79,0.23,0.08952702702702697,,,,
1,4,4,3,2,1,1,1,2,1,1,1,1,1,0.32607003891050584,0.32607003891050584,13.991666666666667,276.66,0.27,638.3,1.0,7451.26,0.37,12789.74,0.31,128.51,1.0,12789.74,0.42,7451.26,0.54,5052.67,0.19,0.06725958866036685
2,1,4,2,2,2,2,2,4,1,1,2,1,1,0.2230869001297017,0.2230869001297017,9.76271186440678,552.7,0.39,478.63,1.0,535.55,0.04,460.45,0.32,633.09,0.31,511.33,0.24,0.10866141732283463,,,,
1,4,9,3,2,3,1,4,3,1,2,2,2,1,0.22101167315175096,0.222568093385214,10.6524064171123,456.19,0.38,724.86,1.0,22196.67,0.41,202.69,0.43,1190.4,1.0,202.68,0.52,923.08,0.45,607.32,0.24,0.08581918311151904
1,3,2,4,2,2,2,4,1,1,1,2,1,1,0.22101167315175096,0.22101167315175096,8.846743295019158,48.7,0.38,744.38,1.0,62.72,0.16,182.77,0.37,9594.62,0.22,726.79,0.27,0.10233463035019452,,,,
1,3,7,3,2,3,1,5,5,2,1,2,2,1,0.21595330739299612,0.21867704280155642,10.036809815950921,32.2,0.35,606.66,1.0,10887.12,0.27,169.3,0.31,35.45,0.09,169.1,0.35,10887.12,0.19,515.98,0.27,0.10561423012784876
2,1,5,4,2,1,2,5,2,2,1,2,1,1,0.24254215304798962,0.24254215304798962,9.588235294117647,55.8,0.35,172.12,1.0,56.1,1.0,166.2,0.46,5164.2,0.41,491.03,0.2,0.09444444444444444,,,,
2,4,8,4,2,1,1,4,5,1,1,2,2,1,0.2918287937743191,0.2931258106355383,10.25,158.27,0.42,188.1,1.0,2905.98,0.29,210.85,0.34,1121.34,0.02,210.84,0.33,533.95,0.57,529.75,0.27,0.09074074074074079
1,1,2,3,1,2,1,3,6,2,2,2,2,1,0.22957198443579765,0.2291828793774319,10.24375,114.4,0.38,9595.57,1.0,83.88,0.29,4346.69,0.31,827.36,0.13,4346.68,0.35,83.88,0.2,809.63,0.28,0.08838243468593665
2,3,5,1,2,1,2,5,1,2,1,2,1,1,0.24254215304798962,0.24254215304798962,9.012987012987013,11.8,0.4,236.94,1.0,7.31,0.07,242.37,0.53,3806.42,0.21,626.98,0.27,0.10376134889753563,,,,
1,3,7,2,2,3,1,4,6,1,2,2,2,1,0.2206225680933852,0.2198443579766537,10.24375,27.76,0.36,621.04,1.0,10821.19,0.24,198.43,0.32,22.47,0.09,198.45,0.36,10821.19,0.17,521.27,0.23,0.08893829905503059
2,3,3,4,1,2,1,2,2,2,1,1,2,1,0.23994811932555124,0.23865110246433205,10.020408163265307,2952.4,0.35,408.94,1.0,5999.12,0.34,503.15,0.43,3150.72,0.0,503.15,0.45,5999.12,0.25,514.69,0.19,0.09074074074074079
2,2,7,2,1,3,1,3,8,2,1,2,2,1,0.2140077821011673,0.21530479896238652,9.384615384615385,2770.04,0.39,2826.02,1.0,33.92,0.34,1709.53,0.43,4999.79,0.01,1709.53,0.44,1418.6,0.76,245.96,0.24,0.09999999999999998
1,1,4,3,2,1,2,5,8,1,1,1,2,1,0.22840466926070038,0.22840466926070038,9.837349397590362,13.56,0.4,603.67,1.0,25.08,0.06,604.29,0.3,9483.89,0.2,1615.7,0.25,0.09227348526959422,,,,
2,3,2,1,1,2,1,4,5,1,1,1,2,1,0.23865110246433205,0.23346303501945526,10.020408163265307,2.52,0.37,181.42,1.0,2335.69,0.23,47.89,0.35,6.07,0.13,47.88,0.36,2335.69,0.16,188.11,0.25,0.09074074074074079
2,2,3,4,1,1,1,1,3,2,2,2,2,1,0.32944228274967574,0.32944228274967574,10.483333333333333,129.04,0.32,229.68,1.0,2360.67,0.39,3232.4,0.36,65.63,1.0,3232.4,0.34,2360.67,0.44,1792.44,0.23,0.10740203193033382
2,1,4,4,1,3,2,2,7,2,1,1,2,1,0.21530479896238652,0.21530479896238652,9.18867924528302,369.78,0.43,439.14,1.0,370.77,0.06,541.65,0.23,260.12,0.2,437.01,0.22,0.0981481481481481,,,,
2,1,6,1,2,2,1,4,8,2,1,1,1,1,0.23346303501945526,0.23086900129701687,8.642857142857142,49.78,0.36,167.61,1.0,1817.61,0.26,31.68,0.28,57.53,0.05,31.68,0.27,1817.61,0.33,134.01,0.23,0.12222222222222223
1,1,8,4,2,1,1,5,3,2,2,1,1,1,0.23424124513618677,0.23151750972762647,10.065088757396449,184.29,0.34,607.8,1.0,18798.39,0.43,686.72,0.42,185.28,1.0,686.71,0.53,18798.39,0.59,1606.78,0.25,0.0903743315508021
1,1,1,4,2,3,2,5,2,1,2,1,1,1,0.2044963251188932,0.2044963251188932,11.007407407407408,146.6,0.32,475.99,0.39,147.0,1.0,132.69,0.47,17436.3,0.44,427.17,0.19,0.08451573103022825,,,,
2,4,9,4,1,3,2,4,7,2,1,1,1,1,0.23994811932555124,0.24124513618677043,11.272727272727273,114.02,0.36,214.42,1.0,3603.36,0.25,321.15,0.02,59.41,0.32,228.43,0.42,153.23,0.2,0.08148148148148149,,
1,1,2,3,2,2,2,3,6,1,2,1,1,1,0.22101167315175096,0.22101167315175096,10.606451612903227,93.16,0.37,9552.32,0.38,835.76,0.12,4635.35,0.3,80.5,0.18,800.11,0.24,0.0861589772095609,,,,
2,3,1,1,1,1,1,4,5,2,2,2,2,1,0.24347826086956523,0.24347826086956523,10.232558139534884,3359.71,0.38,162.87,1.0,2582.7,0.29,161.27,0.33,3333.56,0.06,161.26,0.32,2582.7,0.19,482.7,0.3,0.10559006211180122
1,1,6,1,1,1,2,3,6,1,1,1,1,1,0.22490272373540857,0.22490272373540857,11.155405405405405,84.1,0.37,9883.08,1.0,139.72,0.1,6193.89,0.28,55.4,0.16,963.46,0.23,0.08226792662590332,,,,
2,1,4,4,2,2,2,4,3,2,2,2,1,1,0.2230869001297017,0.2230869001297017,9.654545454545454,60.53,0.35,190.95,1.0,60.58,1.0,26.62,0.48,3619.57,0.43,172.2,0.23,0.09556313993174059,,,,
1,1,9,3,1,2,2,3,6,1,2,1,2,1,0.2077821011673152,0.2077821011673152,10.688311688311689,95.37,0.37,9584.38,0.38,837.95,0.11,4645.2,0.3,84.04,0.18,803.4,0.24,0.0872222222222222,,,,
1,1,5,3,2,2,2,3,2,1,2,1,2,1,0.2424124513618677,0.2424124513618677,10.320754716981131,9171.57,0.32,9550.04,0.39,18567.02,0.01,5636.86,0.31,5522.27,0.31,829.35,0.21,0.08833333333333337,,,,
1,1,3,3,1,3,2,3,6,2,1,1,1,1,0.20311284046692607,0.20311284046692607,11.073825503355705,78.39,0.35,9636.27,0.37,126.04,0.05,4855.32,0.28,36.27,0.16,745.89,0.21,0.08282379099499726,,,,
