sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Workclass,ot_Workclass,corr_Education,ot_Education,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Country,ot_Country,corr_Age,ot_Age,corr_fnlwgt,ot_fnlwgt,corr_Education_Num,ot_Education_Num,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,utility_sp
3,3,9,3,1,5,2,2,7,1,1,2,2,1,0.17316548971446116,0.17316548971446116,0.19409,1.94964,0.04350797847469587,3.2708333333333335,77.83,0.32,369.88,0.29,611.85,0.21,377.46,0.41,615.93,0.35,24.9,0.14,134.02,0.34,54.51,0.09,131.86,0.27,150.18,0.35,133.88,0.29,135.12,0.09,140.8,0.15,188.17,0.35,0.18316311631769966
3,2,8,1,2,3,2,3,7,1,2,1,2,1,0.17899907890696962,0.17899907890696962,0.19342,2.00627,0.0429522813663398,3.2622222222222224,76.08,0.32,364.37,0.29,594.05,0.21,350.37,0.41,594.61,0.34,23.78,0.14,131.98,0.33,47.36,0.08,344.67,0.48,488.39,0.21,339.99,0.29,118.45,0.09,100.19,0.1,138.97,0.23,0.17856093260188088
1,4,7,1,2,2,2,1,1,1,2,2,2,1,0.1996806092991831,0.1996806092991831,0.19308,2.00123,0.04290005221682242,3.2432667245873152,517.21,0.0,1877.82,0.0,2953.2,0.0,1781.03,0.0,3038.02,0.0,136.98,0.0,672.64,0.0,155.96,0.0,578422.14,0.38,245018.08,0.25,140497.0,0.29,2224.99,0.08,2973.4,0.07,154384.76,0.29,0.15811413430658527
1,3,1,2,1,1,2,5,6,2,2,1,1,1,0.1347938847938848,0.1347938847938848,0.19888,2.00339,0.044174487021544535,3.227675528289025,491.32,0.3,1652.97,0.3,2582.51,0.21,1603.1,0.41,2660.33,0.34,139.22,0.16,602.3,0.33,147.63,0.1,19113.53,0.31,651.47,0.41,8073.62,0.3,3436.71,0.07,72.4,0.12,1725.57,0.3,0.18367727371426934
4,1,1,4,1,5,2,4,5,1,1,2,2,1,0.19465218727589387,0.19454973875627496,0.20245,1.01805,0.050615418647688044,3.768876080691643,284.26,0.3,1037.33,0.28,1865.68,0.25,987.8,0.51,1925.91,0.72,101.31,0.17,510.33,1.0,79.73,0.09,14473.66,0.26,304.95,0.36,4532.2,0.28,43462.7,0.08,2616.99,0.14,1367.6,0.25,0.18565942477824396
2,4,7,1,2,4,2,4,8,2,1,2,2,1,0.1345208845208845,0.1345208845208845,0.19785,1.90549,0.0446700098074109,3.364300626304802,176.89,0.31,464.12,0.28,906.68,0.21,478.13,0.41,925.8,0.35,39.8,0.14,208.04,0.34,59.23,0.09,3832.87,0.46,954.42,0.27,6955.62,0.28,830.82,0.08,800.08,0.06,3573.64,0.3,0.14958925301173065
3,3,1,2,1,3,2,2,8,1,1,2,1,1,0.1666105688320431,0.1666105688320431,0.19302,1.92094,0.04347363425359468,3.297583081570997,75.12,0.32,365.65,0.29,610.52,0.21,367.99,0.53,609.15,0.35,25.0,0.14,132.58,0.34,50.09,0.09,119.44,0.27,128.03,0.29,119.97,0.29,141.9,0.09,138.94,0.16,128.93,0.21,0.1881220662944741
3,4,3,1,1,1,2,5,8,2,2,2,2,1,0.1393920785999386,0.1393920785999386,0.18887,1.96995,0.042195250569656395,3.3490136570561457,73.41,0.32,373.86,0.3,617.91,0.2,352.78,0.41,616.53,0.35,24.67,0.14,127.88,0.34,53.79,0.09,47.51,0.44,23.54,0.29,1909.75,0.3,694.59,0.08,651.95,0.04,422.59,0.32,0.1576176160351928
3,4,3,2,2,2,1,1,3,2,2,1,2,1,0.19312250537304268,0.19312250537304268,0.17513,1.92012,0.039454623229197024,4.127272727272727,95430.84,0.49,39.76,0.0,36662.8,0.31,193.11,0.0,17830.5,0.28,356.32,0.0,207.09,0.0,356.02,0.0,15.89,0.0,85.72,0.0,478.04,1.0,478.04,1.0,121732.11,0.25,48.54,0.0,0.09987600404810314
4,4,7,1,1,5,2,4,8,2,1,2,1,1,0.1926766279284265,0.1926766279284265,0.19601,0.96542,0.048991439482877576,3.8900690387679235,309.91,0.3,1090.77,0.28,2100.95,0.26,1021.96,0.51,2165.14,0.71,108.73,0.16,542.27,1.0,91.76,0.08,15256.29,0.38,2643.02,0.26,5425.56,0.28,50834.22,0.07,51480.78,0.07,1588.26,0.29,0.1790036504987788
2,1,7,1,2,5,2,2,8,1,2,2,1,1,0.1685094185094185,0.1685094185094185,0.19421,1.88874,0.04396803187588246,3.258,190.61,0.31,502.13,0.28,890.0,0.21,500.66,0.41,908.47,0.35,38.44,0.13,201.21,0.35,61.55,0.09,208.92,0.28,214.8,0.34,197.48,0.28,218.96,0.08,207.23,0.13,282.12,0.3,0.16882378858060793
1,1,9,4,1,5,1,5,2,1,2,1,1,1,0.16546895153860328,0.1643019470548492,0.20922,2.37781,0.043606200533274665,3.2730586948596425,24545.98,0.26,335.73,0.27,166.24,0.35,1290.2,0.25,5293.23,0.25,2466.39,0.18,1297.17,0.4,2515.15,0.31,98.49,0.09,595.32,0.3,1831.76,0.05,4370.51,0.1,1880.0,0.31,106.07,0.05,0.19497959726827277
4,2,7,1,1,2,2,2,2,2,1,1,1,1,0.19230769230769232,0.19239992621287585,0.20409,1.08518,0.05094400324132098,4.276351351351352,204.25,0.27,696.27,0.23,1784.08,0.23,779.98,0.52,1828.73,0.71,61.78,0.1,527.18,1.0,61.13,0.04,456.15,0.4,264.92,0.26,302.59,0.23,1544.14,0.03,1311.81,0.04,277.96,0.24,0.18076155346235925
1,1,7,1,1,5,1,4,3,2,2,1,2,1,0.16546895153860328,0.16546895153860328,0.16381,2.07661,0.035947097023382814,3.5908543922984357,13614.69,0.41,0.0,1.0,118.06,0.34,280.15,0.41,2188.6,0.17,737.99,0.23,289.04,0.47,753.15,0.3,0.0,1.0,130.86,0.33,33200.09,1.0,1921.75,1.0,892.25,0.37,0.0,1.0,0.09272627622925148
2,4,4,4,2,4,1,5,6,2,2,1,2,1,0.14127764127764128,0.14127764127764128,0.19434,1.89679,0.043938995249305,3.246309963099631,388.74,0.49,201.59,0.31,310.32,0.28,521.74,0.28,5367.32,0.28,807.87,0.19,524.7,0.41,1005.7,0.35,48.23,0.14,217.2,0.35,954.97,0.08,941.15,0.04,2979.96,0.29,52.23,0.09,0.16396798159877357
4,1,9,3,1,2,1,1,6,2,2,2,1,1,0.1723851687880465,0.1723851687880465,0.19608,0.99554,0.04902556919586083,3.896821261073476,14979.44,0.35,288.86,0.0,45208.88,0.36,1162.83,0.0,99267.99,0.28,2088.14,0.0,1051.98,0.0,2160.03,0.0,101.89,0.0,554.6,0.0,1109.53,0.08,168.72,0.14,101015.79,0.27,116.1,0.0,0.12645014049779052
3,4,1,2,2,5,2,1,4,1,2,2,1,1,0.18735252477583766,0.18735252477583766,0.17851,2.01596,0.03958605664488019,3.263157894736842,56.08,0.0,214.75,0.0,335.7,0.0,196.79,0.0,338.24,0.0,15.3,0.0,65.92,0.0,49.54,0.0,60978.04,0.5,24721.4,0.25,13875.57,0.28,18924.27,0.08,32724.91,0.05,17152.66,0.27,0.09272254346076834
1,3,8,4,2,5,2,5,8,1,2,2,1,1,0.18266691235182114,0.18266691235182114,0.19679,1.89591,0.044492718433225505,3.2582159624413145,489.74,0.3,1775.98,0.29,2876.42,0.21,1686.0,0.41,2958.85,0.34,150.18,0.15,661.79,0.35,143.28,0.09,21903.49,0.3,160.11,0.37,5999.5,0.29,1260.88,0.08,3998.16,0.14,2000.1,0.31,0.18413775036810773
3,2,2,1,1,5,2,1,6,2,2,2,2,1,0.21645686214307644,0.21645686214307644,0.1911,1.97046,0.04269184966898107,3.286149162861492,74.5,0.0,361.57,0.0,583.12,0.0,346.86,0.0,585.58,0.0,22.17,0.0,127.33,0.0,49.84,0.0,103812.08,0.49,41863.51,0.27,22247.46,0.29,27724.63,0.09,16094.12,0.15,34234.04,0.31,0.14463674229076878
3,3,6,2,2,3,2,4,6,2,2,2,2,1,0.17684986183604545,0.17684986183604545,0.18443,1.84733,0.042039793329430045,3.3516666666666666,67.58,0.32,344.11,0.29,552.84,0.21,327.33,0.52,553.74,0.36,17.07,0.15,113.29,0.35,49.58,0.09,4407.18,0.28,5053.58,0.28,5144.52,0.29,313.93,0.09,2640.32,0.16,4559.01,0.23,0.10888001658300062
3,2,7,4,2,4,2,2,1,1,2,2,2,1,0.14798894688363526,0.14798894688363526,0.18945,2.02854,0.04191358213572951,3.274820143884892,80.73,0.32,380.56,0.3,604.45,0.21,372.38,0.41,606.99,0.34,23.35,0.14,130.54,0.33,55.56,0.1,136.51,0.42,133.84,0.25,142.36,0.3,131.71,0.09,145.88,0.07,144.23,0.28,0.1673658813947413
4,1,6,3,2,4,1,3,5,2,1,1,1,1,0.13392363032650803,0.13392363032650803,0.19413,0.99136,0.048535843534240786,3.939475093733262,1016.96,0.27,308.28,0.3,1231.03,0.35,1136.11,0.28,481.94,0.28,2033.33,0.26,1036.83,0.51,2096.05,0.71,98.43,0.15,536.88,1.0,442.79,0.07,538.32,0.14,512.72,0.24,110.52,0.09,0.14690722946574142
1,2,4,2,1,3,2,2,7,1,2,1,1,1,0.16522326638412874,0.16522326638412874,0.19379,1.9624,0.04333660405594164,3.2019103210400637,560.53,0.31,2067.07,0.29,2642.91,0.19,1914.54,0.41,3348.85,0.34,170.03,0.14,732.28,0.34,172.71,0.1,748.88,0.47,795.53,0.27,719.86,0.29,786.37,0.08,781.92,0.04,724.2,0.21,0.1848086666343585
2,2,5,1,1,4,2,2,3,2,2,2,1,1,0.1463963963963964,0.1463963963963964,0.16892,1.95299,0.03786031431322969,3.5311475409836066,0.0,1.0,79.09,0.55,300.47,0.23,80.08,0.57,292.7,0.32,0.0,1.0,50.38,0.34,0.0,1.0,131.97,0.35,108.09,0.32,13.66,0.14,2003.99,1.0,1601.19,1.0,9.08,0.24,0.12269258822869325
3,4,3,4,1,2,2,4,5,1,1,2,2,1,0.18544673011974208,0.18544673011974208,0.19504,1.95045,0.04371635348262397,3.198717948717949,66.6,0.31,332.77,0.29,546.67,0.21,336.62,0.41,546.37,0.34,21.9,0.15,122.0,0.34,44.74,0.09,3599.23,0.49,587.32,0.26,1155.78,0.29,227.9,0.09,452.26,0.04,411.04,0.32,0.18480952083723445
4,3,8,2,1,1,1,2,8,1,2,1,2,1,0.12442353809260284,0.12442353809260284,0.19208,0.98881,0.048023682613274304,4.013390722142516,361.89,0.28,339.51,0.31,471.87,0.41,1267.82,0.28,350.96,0.28,2067.69,0.33,1144.9,0.52,2502.32,0.71,115.48,0.16,604.33,1.0,430.28,0.07,396.82,0.14,440.2,0.26,99.01,0.09,0.1599022176833724
3,1,5,1,2,4,2,5,2,2,1,2,2,1,0.14246238870125882,0.14246238870125882,0.20648,2.60152,0.041429227062378136,3.3296903460837886,61.46,0.28,249.08,0.25,471.81,0.17,271.33,0.4,470.21,0.31,19.13,0.09,113.27,0.28,39.84,0.05,4946.38,0.23,256.7,0.3,2886.93,0.25,590.57,0.07,667.05,0.11,1642.15,0.32,0.15526729143502585
