missing_value,normalization,outlier,model,utility_sp
1,1,1,1,0.058612001020234256
1,1,2,1,0.09467357308794194
1,1,3,1,0.063024863602325
1,1,4,1,0.06952765861901893
1,1,5,1,0.04106504857235657
1,1,6,1,0.03154346851009676
1,1,7,1,0.014305622999830334
1,1,8,1,0.018018064258441054
1,2,1,1,0.17361939543113475
1,2,2,1,0.19847971170342885
1,2,3,1,0.1279370263500016
1,2,4,1,0.1825040920016319
1,2,5,1,0.18396872726059826
1,2,6,1,0.18487082174737174
1,2,7,1,0.1804865443567638
1,2,8,1,0.18243468822307402
1,3,1,1,0.14493884122585188
1,3,2,1,0.18295241300618129
1,3,3,1,0.12298649205694899
1,3,4,1,0.16915633072821967
1,3,5,1,0.14731248566067465
1,3,6,1,0.15193939533857653
1,3,7,1,0.15027278562259308
1,3,8,1,0.1421922211507554
1,4,1,1,0.17585487510708456
1,4,2,1,0.1860258251996815
1,4,3,1,0.09648191013729904
1,4,4,1,0.18783243957955578
1,4,5,1,0.2004698438660535
1,4,6,1,0.1953834759710336
1,4,7,1,0.1891883432947611
1,4,8,1,0.18599922899257273
1,5,1,1,0.1761390995631979
1,5,2,1,0.1860258251996815
1,5,3,1,0.10045149413613064
1,5,4,1,0.18779941373534337
1,5,5,1,0.20551714768638657
1,5,6,1,0.19777421859723326
1,5,7,1,0.19036276796069287
1,5,8,1,0.1849786417513241
2,1,1,1,0.058612001020234256
2,1,2,1,0.09467357308794194
2,1,3,1,0.063024863602325
2,1,4,1,0.06952765861901893
2,1,5,1,0.04106504857235657
2,1,6,1,0.03154346851009676
2,1,7,1,0.014305622999830334
2,1,8,1,0.018018064258441054
2,2,1,1,0.17361939543113475
2,2,2,1,0.19847971170342885
2,2,3,1,0.1279370263500016
2,2,4,1,0.1825040920016319
2,2,5,1,0.18396872726059826
2,2,6,1,0.18487082174737174
2,2,7,1,0.1804865443567638
2,2,8,1,0.18243468822307402
2,3,1,1,0.14493884122585188
2,3,2,1,0.18295241300618129
2,3,3,1,0.12298649205694899
2,3,4,1,0.16915633072821967
2,3,5,1,0.14731248566067465
2,3,6,1,0.15193939533857653
2,3,7,1,0.15027278562259308
2,3,8,1,0.1421922211507554
2,4,1,1,0.17585487510708456
2,4,2,1,0.1860258251996815
2,4,3,1,0.09648191013729904
2,4,4,1,0.18783243957955578
2,4,5,1,0.2004698438660535
2,4,6,1,0.1953834759710336
2,4,7,1,0.1891883432947611
2,4,8,1,0.18599922899257273
2,5,1,1,0.1761390995631979
2,5,2,1,0.1860258251996815
2,5,3,1,0.10045149413613064
2,5,4,1,0.18779941373534337
2,5,5,1,0.20551714768638657
2,5,6,1,0.19777421859723326
2,5,7,1,0.19036276796069287
2,5,8,1,0.1849786417513241
3,1,1,1,0.058612001020234256
3,1,2,1,0.09467357308794194
3,1,3,1,0.063024863602325
3,1,4,1,0.06952765861901893
3,1,5,1,0.04106504857235657
3,1,6,1,0.03154346851009676
3,1,7,1,0.014305622999830334
3,1,8,1,0.018018064258441054
3,2,1,1,0.17361939543113475
3,2,2,1,0.19847971170342885
3,2,3,1,0.1279370263500016
3,2,4,1,0.1825040920016319
3,2,5,1,0.18396872726059826
3,2,6,1,0.18487082174737174
3,2,7,1,0.1804865443567638
3,2,8,1,0.18243468822307402
3,3,1,1,0.14493884122585188
3,3,2,1,0.18295241300618129
3,3,3,1,0.12298649205694899
3,3,4,1,0.16915633072821967
3,3,5,1,0.14731248566067465
3,3,6,1,0.15193939533857653
3,3,7,1,0.15027278562259308
3,3,8,1,0.1421922211507554
3,4,1,1,0.17585487510708456
3,4,2,1,0.1860258251996815
3,4,3,1,0.09648191013729904
3,4,4,1,0.18783243957955578
3,4,5,1,0.2004698438660535
3,4,6,1,0.1953834759710336
3,4,7,1,0.1891883432947611
3,4,8,1,0.18599922899257273
3,5,1,1,0.1761390995631979
3,5,2,1,0.1860258251996815
3,5,3,1,0.10045149413613064
3,5,4,1,0.18779941373534337
3,5,5,1,0.20551714768638657
3,5,6,1,0.19777421859723326
3,5,7,1,0.19036276796069287
3,5,8,1,0.1849786417513241
4,1,1,1,0.058612001020234256
4,1,2,1,0.09467357308794194
4,1,3,1,0.063024863602325
4,1,4,1,0.06952765861901893
4,1,5,1,0.04106504857235657
4,1,6,1,0.03154346851009676
4,1,7,1,0.014305622999830334
4,1,8,1,0.018018064258441054
4,2,1,1,0.17361939543113475
4,2,2,1,0.19847971170342885
4,2,3,1,0.1279370263500016
4,2,4,1,0.1825040920016319
4,2,5,1,0.18396872726059826
4,2,6,1,0.18487082174737174
4,2,7,1,0.1804865443567638
4,2,8,1,0.18243468822307402
4,3,1,1,0.14493884122585188
4,3,2,1,0.18295241300618129
4,3,3,1,0.12298649205694899
4,3,4,1,0.16915633072821967
4,3,5,1,0.14731248566067465
4,3,6,1,0.15193939533857653
4,3,7,1,0.15027278562259308
4,3,8,1,0.1421922211507554
4,4,1,1,0.17585487510708456
4,4,2,1,0.1860258251996815
4,4,3,1,0.09648191013729904
4,4,4,1,0.18783243957955578
4,4,5,1,0.2004698438660535
4,4,6,1,0.1953834759710336
4,4,7,1,0.1891883432947611
4,4,8,1,0.18599922899257273
4,5,1,1,0.1761390995631979
4,5,2,1,0.1860258251996815
4,5,3,1,0.10045149413613064
4,5,4,1,0.18779941373534337
4,5,5,1,0.20551714768638657
4,5,6,1,0.19777421859723326
4,5,7,1,0.19036276796069287
4,5,8,1,0.1849786417513241
5,1,1,1,0.058612001020234256
5,1,2,1,0.09467357308794194
5,1,3,1,0.063024863602325
5,1,4,1,0.06952765861901893
5,1,5,1,0.04106504857235657
5,1,6,1,0.03154346851009676
5,1,7,1,0.014305622999830334
5,1,8,1,0.018018064258441054
5,2,1,1,0.17361939543113475
5,2,2,1,0.19847971170342885
5,2,3,1,0.1279370263500016
5,2,4,1,0.1825040920016319
5,2,5,1,0.18396872726059826
5,2,6,1,0.18487082174737174
5,2,7,1,0.1804865443567638
5,2,8,1,0.18243468822307402
5,3,1,1,0.14493884122585188
5,3,2,1,0.18295241300618129
5,3,3,1,0.12298649205694899
5,3,4,1,0.16915633072821967
5,3,5,1,0.14731248566067465
5,3,6,1,0.15193939533857653
5,3,7,1,0.15027278562259308
5,3,8,1,0.1421922211507554
5,4,1,1,0.17585487510708456
5,4,2,1,0.1860258251996815
5,4,3,1,0.09648191013729904
5,4,4,1,0.18783243957955578
5,4,5,1,0.2004698438660535
5,4,6,1,0.1953834759710336
5,4,7,1,0.1891883432947611
5,4,8,1,0.18599922899257273
5,5,1,1,0.1761390995631979
5,5,2,1,0.1860258251996815
5,5,3,1,0.10045149413613064
5,5,4,1,0.18779941373534337
5,5,5,1,0.20551714768638657
5,5,6,1,0.19777421859723326
5,5,7,1,0.19036276796069287
5,5,8,1,0.1849786417513241
6,1,1,1,0.058612001020234256
6,1,2,1,0.09467357308794194
6,1,3,1,0.063024863602325
6,1,4,1,0.06952765861901893
6,1,5,1,0.04106504857235657
6,1,6,1,0.03154346851009676
6,1,7,1,0.014305622999830334
6,1,8,1,0.018018064258441054
6,2,1,1,0.17361939543113475
6,2,2,1,0.19847971170342885
6,2,3,1,0.1279370263500016
6,2,4,1,0.1825040920016319
6,2,5,1,0.18396872726059826
6,2,6,1,0.18487082174737174
6,2,7,1,0.1804865443567638
6,2,8,1,0.18243468822307402
6,3,1,1,0.14493884122585188
6,3,2,1,0.18295241300618129
6,3,3,1,0.12298649205694899
6,3,4,1,0.16915633072821967
6,3,5,1,0.14731248566067465
6,3,6,1,0.15193939533857653
6,3,7,1,0.15027278562259308
6,3,8,1,0.1421922211507554
6,4,1,1,0.17585487510708456
6,4,2,1,0.1860258251996815
6,4,3,1,0.09648191013729904
6,4,4,1,0.18783243957955578
6,4,5,1,0.2004698438660535
6,4,6,1,0.1953834759710336
6,4,7,1,0.1891883432947611
6,4,8,1,0.18599922899257273
6,5,1,1,0.1761390995631979
6,5,2,1,0.1860258251996815
6,5,3,1,0.10045149413613064
6,5,4,1,0.18779941373534337
6,5,5,1,0.20551714768638657
6,5,6,1,0.19777421859723326
6,5,7,1,0.19036276796069287
6,5,8,1,0.1849786417513241
7,1,1,1,0.058612001020234256
7,1,2,1,0.09467357308794194
7,1,3,1,0.063024863602325
7,1,4,1,0.06952765861901893
7,1,5,1,0.04106504857235657
7,1,6,1,0.03154346851009676
7,1,7,1,0.014305622999830334
7,1,8,1,0.018018064258441054
7,2,1,1,0.17361939543113475
7,2,2,1,0.19847971170342885
7,2,3,1,0.1279370263500016
7,2,4,1,0.1825040920016319
7,2,5,1,0.18396872726059826
7,2,6,1,0.18487082174737174
7,2,7,1,0.1804865443567638
7,2,8,1,0.18243468822307402
7,3,1,1,0.14493884122585188
7,3,2,1,0.18295241300618129
7,3,3,1,0.12298649205694899
7,3,4,1,0.16915633072821967
7,3,5,1,0.14731248566067465
7,3,6,1,0.15193939533857653
7,3,7,1,0.15027278562259308
7,3,8,1,0.1421922211507554
7,4,1,1,0.17585487510708456
7,4,2,1,0.1860258251996815
7,4,3,1,0.09648191013729904
7,4,4,1,0.18783243957955578
7,4,5,1,0.2004698438660535
7,4,6,1,0.1953834759710336
7,4,7,1,0.1891883432947611
7,4,8,1,0.18599922899257273
7,5,1,1,0.1761390995631979
7,5,2,1,0.1860258251996815
7,5,3,1,0.10045149413613064
7,5,4,1,0.18779941373534337
7,5,5,1,0.20551714768638657
7,5,6,1,0.19777421859723326
7,5,7,1,0.19036276796069287
7,5,8,1,0.1849786417513241
8,1,1,1,0.058612001020234256
8,1,2,1,0.09467357308794194
8,1,3,1,0.063024863602325
8,1,4,1,0.06952765861901893
8,1,5,1,0.04106504857235657
8,1,6,1,0.03154346851009676
8,1,7,1,0.014305622999830334
8,1,8,1,0.018018064258441054
8,2,1,1,0.17361939543113475
8,2,2,1,0.19847971170342885
8,2,3,1,0.1279370263500016
8,2,4,1,0.1825040920016319
8,2,5,1,0.18396872726059826
8,2,6,1,0.18487082174737174
8,2,7,1,0.1804865443567638
8,2,8,1,0.18243468822307402
8,3,1,1,0.14493884122585188
8,3,2,1,0.18295241300618129
8,3,3,1,0.12298649205694899
8,3,4,1,0.16915633072821967
8,3,5,1,0.14731248566067465
8,3,6,1,0.15193939533857653
8,3,7,1,0.15027278562259308
8,3,8,1,0.1421922211507554
8,4,1,1,0.17585487510708456
8,4,2,1,0.1860258251996815
8,4,3,1,0.09648191013729904
8,4,4,1,0.18783243957955578
