missing_value,normalization,outlier,model,utility_sp
1,1,1,1,0.07941067457375833
1,1,2,1,0.1113542692490061
1,1,3,1,0.04678237268766517
1,1,4,1,0.07047868470827877
1,1,5,1,0.0005285412262156439
1,1,6,1,0.031123296776337652
1,1,7,1,0.05242726122707147
1,1,8,1,0.02796607546352184
1,2,1,1,0.20933597536636825
1,2,2,1,0.2270002796318586
1,2,3,1,0.14256756756756758
1,2,4,1,0.21211107393777184
1,2,5,1,0.19805927132608628
1,2,6,1,0.20370566677772056
1,2,7,1,0.19390046712181097
1,2,8,1,0.18720570785056195
1,3,1,1,0.18433882648115413
1,3,2,1,0.2177724282987441
1,3,3,1,0.11925675675675676
1,3,4,1,0.20090744101633393
1,3,5,1,0.15126472769218094
1,3,6,1,0.17182624042356906
1,3,7,1,0.18140739073103268
1,3,8,1,0.17816593886462884
1,4,1,1,0.18151622284313165
1,4,2,1,0.16463021726179622
1,4,3,1,0.03783783783783784
1,4,4,1,0.13724744161637364
1,4,5,1,0.19370792120355748
1,4,6,1,0.17408941424671134
1,4,7,1,0.16589534180278281
1,4,8,1,0.16170917059070353
1,5,1,1,0.18855847636425843
1,5,2,1,0.17294622557780454
1,5,3,1,0.06486486486486487
1,5,4,1,0.15932090203934865
1,5,5,1,0.2045951035781544
1,5,6,1,0.171363451235941
1,5,7,1,0.1746376811594203
1,5,8,1,0.17239475076890037
2,1,1,1,0.07941067457375833
2,1,2,1,0.1113542692490061
2,1,3,1,0.04678237268766517
2,1,4,1,0.07047868470827877
2,1,5,1,0.0005285412262156439
2,1,6,1,0.031123296776337652
2,1,7,1,0.05242726122707147
2,1,8,1,0.02796607546352184
2,2,1,1,0.20933597536636825
2,2,2,1,0.2270002796318586
2,2,3,1,0.14256756756756758
2,2,4,1,0.21211107393777184
2,2,5,1,0.19805927132608628
2,2,6,1,0.20370566677772056
2,2,7,1,0.19390046712181097
2,2,8,1,0.18720570785056195
2,3,1,1,0.18433882648115413
2,3,2,1,0.2177724282987441
2,3,3,1,0.11925675675675676
2,3,4,1,0.20090744101633393
2,3,5,1,0.15126472769218094
2,3,6,1,0.17182624042356906
2,3,7,1,0.18140739073103268
2,3,8,1,0.17816593886462884
2,4,1,1,0.18151622284313165
2,4,2,1,0.16463021726179622
2,4,3,1,0.03783783783783784
2,4,4,1,0.13724744161637364
2,4,5,1,0.19370792120355748
2,4,6,1,0.17408941424671134
2,4,7,1,0.16589534180278281
2,4,8,1,0.16170917059070353
2,5,1,1,0.18855847636425843
2,5,2,1,0.17294622557780454
2,5,3,1,0.06486486486486487
2,5,4,1,0.15932090203934865
2,5,5,1,0.2045951035781544
2,5,6,1,0.171363451235941
2,5,7,1,0.1746376811594203
2,5,8,1,0.17239475076890037
3,1,1,1,0.07941067457375833
3,1,2,1,0.1113542692490061
3,1,3,1,0.04678237268766517
3,1,4,1,0.07047868470827877
3,1,5,1,0.0005285412262156439
3,1,6,1,0.031123296776337652
3,1,7,1,0.05242726122707147
3,1,8,1,0.02796607546352184
3,2,1,1,0.20933597536636825
3,2,2,1,0.2270002796318586
3,2,3,1,0.14256756756756758
3,2,4,1,0.21211107393777184
3,2,5,1,0.19805927132608628
3,2,6,1,0.20370566677772056
3,2,7,1,0.19390046712181097
3,2,8,1,0.18720570785056195
3,3,1,1,0.18433882648115413
3,3,2,1,0.2177724282987441
3,3,3,1,0.11925675675675676
3,3,4,1,0.20090744101633393
3,3,5,1,0.15126472769218094
3,3,6,1,0.17182624042356906
3,3,7,1,0.18140739073103268
3,3,8,1,0.17816593886462884
3,4,1,1,0.18151622284313165
3,4,2,1,0.16463021726179622
3,4,3,1,0.03783783783783784
3,4,4,1,0.13724744161637364
3,4,5,1,0.19370792120355748
3,4,6,1,0.17408941424671134
3,4,7,1,0.16589534180278281
3,4,8,1,0.16170917059070353
3,5,1,1,0.18855847636425843
3,5,2,1,0.17294622557780454
3,5,3,1,0.06486486486486487
