missing_value,normalization,outlier,model,utility_sp
1,1,1,1,0.08738958269875113
1,1,2,1,0.12450661420698873
1,1,3,1,0.036388888888888894
1,1,4,1,0.05631296836967424
1,1,5,1,0.025712496085186345
1,1,6,1,0.01640129695038385
1,1,7,1,0.01856510259661961
1,1,8,1,0.026383487765455217
1,2,1,1,0.18740750031355824
1,2,2,1,0.22771724738016874
1,2,3,1,0.15760869565217392
1,2,4,1,0.19014330443159924
1,2,5,1,0.19657651799200723
1,2,6,1,0.19095967277227255
1,2,7,1,0.17703771289537712
1,2,8,1,0.17741515179758546
1,3,1,1,0.17193563992761285
1,3,2,1,0.20415768168577159
1,3,3,1,0.14572230014025248
1,3,4,1,0.1778653702973766
1,3,5,1,0.17085930404707697
1,3,6,1,0.17366650173181594
1,3,7,1,0.15975026377793466
1,3,8,1,0.18825933244064144
1,4,1,1,0.16569672645177475
1,4,2,1,0.1930320685002333
1,4,3,1,0.059782608695652176
1,4,4,1,0.15494745062310872
1,4,5,1,0.17863111999273323
1,4,6,1,0.17436269179654465
1,4,7,1,0.1620541547764841
1,4,8,1,0.16762031423976245
1,5,1,1,0.17272043145616456
1,5,2,1,0.1930320685002333
1,5,3,1,0.0653950953678474
1,5,4,1,0.17044030655360318
1,5,5,1,0.18574946967245531
1,5,6,1,0.181939815408281
1,5,7,1,0.17223225378305593
1,5,8,1,0.16800217354701444
2,1,1,1,0.08738958269875113
2,1,2,1,0.12450661420698873
2,1,3,1,0.036388888888888894
2,1,4,1,0.05631296836967424
2,1,5,1,0.025712496085186345
2,1,6,1,0.01640129695038385
2,1,7,1,0.01856510259661961
2,1,8,1,0.026383487765455217
2,2,1,1,0.18740750031355824
2,2,2,1,0.22771724738016874
2,2,3,1,0.15760869565217392
2,2,4,1,0.19014330443159924
2,2,5,1,0.19657651799200723
2,2,6,1,0.19095967277227255
2,2,7,1,0.17703771289537712
2,2,8,1,0.17741515179758546
2,3,1,1,0.17193563992761285
2,3,2,1,0.20415768168577159
2,3,3,1,0.14572230014025248
2,3,4,1,0.1778653702973766
2,3,5,1,0.17085930404707697
2,3,6,1,0.17366650173181594
2,3,7,1,0.15975026377793466
2,3,8,1,0.18825933244064144
2,4,1,1,0.16569672645177475
2,4,2,1,0.1930320685002333
2,4,3,1,0.059782608695652176
2,4,4,1,0.15494745062310872
2,4,5,1,0.17863111999273323
2,4,6,1,0.17436269179654465
2,4,7,1,0.1620541547764841
2,4,8,1,0.16762031423976245
2,5,1,1,0.17272043145616456
2,5,2,1,0.1930320685002333
