sampling,missing_value,model,utility_accuracy_score
1,1,1,0.22966830466830468
1,2,1,0.22966830466830468
1,3,1,0.22966830466830468
1,4,1,0.22966830466830468
1,5,1,0.22966830466830468
1,6,1,0.22966830466830468
1,7,1,0.22966830466830468
1,8,1,0.22966830466830468
1,9,1,0.22966830466830468
2,1,1,0.21119983619983618
2,2,1,0.21119983619983618
2,3,1,0.21119983619983618
2,4,1,0.21119983619983618
2,5,1,0.21119983619983618
2,6,1,0.21119983619983618
2,7,1,0.21119983619983618
2,8,1,0.21119983619983618
2,9,1,0.21119983619983618
3,1,1,0.19733333333333336
3,2,1,0.19733333333333336
3,3,1,0.19733333333333336
3,4,1,0.19733333333333336
3,5,1,0.19733333333333336
3,6,1,0.19733333333333336
3,7,1,0.19733333333333336
3,8,1,0.19733333333333336
3,9,1,0.19733333333333336
