missing_value,normalization,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
7,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,3018.23,0.46,571.82,0.31,1045.31,0.3,2114.19,0.29,12216.25,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,4442.92,0.08,3846.59,0.05,2446.99,0.35,167.77,0.1,0.1793956080354586
7,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,288.78,0.46,571.82,0.31,1203.07,0.3,2114.19,0.29,10548.83,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,4442.92,0.08,3846.59,0.05,2274.14,0.35,167.77,0.1,0.17746160063024802
8,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,125907.03,0.46,571.82,0.0,52279.46,0.3,2114.19,0.0,232602.78,0.29,2970.02,0.0,1967.01,0.0,3391.25,0.0,161.44,0.0,729.93,0.0,331.19,0.08,769.98,0.05,168382.36,0.35,167.77,0.0,0.017654792443138563
8,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,769.61,0.46,571.82,0.31,769.61,0.3,2114.19,0.29,769.61,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,769.61,0.08,769.61,0.05,769.61,0.35,167.77,0.1,0.15947155577705283
8,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,539.31,0.46,571.82,0.31,345.12,0.3,2114.19,0.29,800.96,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,331.19,0.08,769.98,0.05,63.23,0.35,167.77,0.1,0.04890333377157177
8,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,3018.23,0.46,571.82,0.31,1045.31,0.3,2114.19,0.29,12216.25,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,4442.92,0.08,3846.59,0.05,2446.99,0.35,167.77,0.1,0.1793956080354586
8,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,288.78,0.46,571.82,0.31,1203.07,0.3,2114.19,0.29,10548.83,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,4442.92,0.08,3846.59,0.05,2274.14,0.35,167.77,0.1,0.17746160063024802
9,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,125907.03,0.46,571.82,0.0,52279.46,0.3,2114.19,0.0,232602.78,0.29,2970.02,0.0,1967.01,0.0,3391.25,0.0,161.44,0.0,729.93,0.0,331.19,0.08,769.98,0.05,168382.36,0.35,167.77,0.0,0.017654792443138563
9,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,769.61,0.46,571.82,0.31,769.61,0.3,2114.19,0.29,769.61,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,769.61,0.08,769.61,0.05,769.61,0.35,167.77,0.1,0.15947155577705283
9,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,539.31,0.46,571.82,0.31,345.12,0.3,2114.19,0.29,800.96,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,331.19,0.08,769.98,0.05,63.23,0.35,167.77,0.1,0.04890333377157177
9,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,3018.23,0.46,571.82,0.31,1045.31,0.3,2114.19,0.29,12216.25,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,4442.92,0.08,3846.59,0.05,2446.99,0.35,167.77,0.1,0.1793956080354586
9,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,288.78,0.46,571.82,0.31,1203.07,0.3,2114.19,0.29,10548.83,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,4442.92,0.08,3846.59,0.05,2274.14,0.35,167.77,0.1,0.17746160063024802
