Utility Goal,Method,Iteration,Value
0.85,ranking,iterations q1,3.0
0.85,ranking,iterations q2,3.0
0.85,ranking,iterations q3,3.0
0.85,ranking,iterations q4,3.0
0.85,ranking,Fairness q1,0.13861
0.85,ranking,Fairness q2,0.13861
0.85,ranking,Fairness q3,0.13861
0.85,ranking,Fairness q4,0.13861

