missing_value,normalization,model,index_df1,index_df2,similarity
1,1,1,0,0,0.8411977956257143
1,2,1,1,1,0.76819057588548
1,3,1,2,2,0.2849762883635627
1,4,1,3,3,0.22147313392762627
1,5,1,4,4,0.21424900250102408
2,1,1,5,5,0.8389035672874118
2,2,1,6,6,0.7771101675909143
2,3,1,7,7,0.29336574206712396
2,4,1,8,8,0.21654120687954678
2,5,1,9,9,0.2085611520178534
3,1,1,10,10,0.8389035672874118
3,2,1,11,11,0.7771101675909143
3,3,1,12,12,0.29336574206712396
3,4,1,13,13,0.21654120687954678
3,5,1,14,14,0.2085611520178534
4,1,1,15,15,0.8389007103011323
4,2,1,16,16,0.7817219267074205
4,3,1,17,17,0.29750070009871354
4,4,1,18,18,0.21960770649203648
4,5,1,19,19,0.21209380230506414
5,1,1,20,20,0.8389035672874118
5,2,1,21,21,0.7771101675909143
5,3,1,22,22,0.29336574206712396
5,4,1,23,23,0.21654120687954678
5,5,1,24,24,0.2085611520178534
6,1,1,25,25,0.8389035672874118
6,2,1,26,26,0.7771101675909143
6,3,1,27,27,0.29336574206712396
6,4,1,28,28,0.21654120687954678
6,5,1,29,29,0.2085611520178534
7,1,1,30,30,0.8389035672874118
7,2,1,31,31,0.7771101675909143
7,3,1,32,32,0.29336574206712396
7,4,1,33,33,0.21654120687954678
7,5,1,34,34,0.2085611520178534
8,1,1,35,35,0.8389035672874118
8,2,1,36,36,0.7771101675909143
8,3,1,37,37,0.29336574206712396
8,4,1,38,38,0.21654120687954678
8,5,1,39,39,0.2085611520178534
9,1,1,40,40,0.8389035672874118
9,2,1,41,41,0.7771101675909143
9,3,1,42,42,0.29336574206712396
9,4,1,43,43,0.21654120687954678
9,5,1,44,44,0.2085611520178534
