2025-10-12 11:05:47,647 - DEBUG - [GridSearch] iter=5 | order=['whitespace', 'model'] | vec=[2, 1] | utility=188.80
2025-10-12 11:05:47,849 - DEBUG - [GridSearch] iter=6 | order=['whitespace', 'deduplication', 'punctuation', 'stopword', 'outlier', 'normalization', 'model'] | vec=[1, 1, 2, 2, 4, 1, 1] | utility=183.19
2025-10-12 11:05:47,983 - DEBUG - [GridSearch] iter=7 | order=['punctuation', 'stopword', 'whitespace', 'outlier', 'normalization', 'missing_value', 'model'] | vec=[2, 2, 1, 4, 5, 8, 1] | utility=183.19
2025-10-12 11:05:48,036 - DEBUG - [GridSearch] iter=8 | order=['missing_value', 'punctuation', 'normalization', 'model'] | vec=[1, 1, 1, 1] | utility=188.80
2025-10-12 11:05:48,137 - DEBUG - [GridSearch] iter=9 | order=['missing_value', 'stopword', 'normalization', 'model'] | vec=[4, 1, 4, 1] | utility=188.80
2025-10-12 11:05:48,149 - DEBUG - [GridSearch] iter=10 | order=['deduplication', 'model'] | vec=[1, 1] | utility=188.80
2025-10-12 11:05:48,164 - DEBUG - [GridSearch] iter=11 | order=['whitespace', 'stopword', 'model'] | vec=[2, 2, 1] | utility=188.80
2025-10-12 11:05:48,182 - DEBUG - [GridSearch] iter=12 | order=['punctuation', 'deduplication', 'model'] | vec=[2, 1, 1] | utility=188.80
2025-10-12 11:05:48,283 - DEBUG - [GridSearch] iter=13 | order=['stopword', 'normalization', 'model'] | vec=[2, 3, 1] | utility=188.80
2025-10-12 11:05:48,448 - DEBUG - [GridSearch] iter=14 | order=['normalization', 'stopword', 'outlier', 'whitespace', 'deduplication', 'model'] | vec=[2, 1, 1, 1, 2, 1] | utility=282.48
2025-10-12 11:05:48,531 - DEBUG - [GridSearch] iter=15 | order=['outlier', 'punctuation', 'whitespace', 'model'] | vec=[1, 2, 2, 1] | utility=188.80
2025-10-12 11:05:48,692 - DEBUG - [GridSearch] iter=16 | order=['missing_value', 'outlier', 'deduplication', 'punctuation', 'stopword', 'whitespace', 'normalization', 'model'] | vec=[3, 6, 2, 2, 1, 1, 5, 1] | utility=263.51
2025-10-12 11:05:48,705 - DEBUG - [GridSearch] iter=17 | order=['deduplication', 'punctuation', 'whitespace', 'model'] | vec=[2, 2, 2, 1] | utility=282.48
2025-10-12 11:05:48,786 - DEBUG - [GridSearch] iter=18 | order=['deduplication', 'outlier', 'missing_value', 'whitespace', 'model'] | vec=[1, 3, 5, 2, 1] | utility=156.67
2025-10-12 11:05:48,794 - DEBUG - [GridSearch] iter=19 | order=['model'] | vec=[1] | utility=188.80
2025-10-12 11:05:48,982 - DEBUG - [GridSearch] iter=20 | order=['normalization', 'stopword', 'outlier', 'punctuation', 'missing_value', 'whitespace', 'model'] | vec=[1, 2, 7, 1, 5, 2, 1] | utility=166.35
2025-10-12 11:05:49,083 - DEBUG - [GridSearch] iter=21 | order=['missing_value', 'deduplication', 'outlier', 'model'] | vec=[5, 2, 8, 1] | utility=279.05
2025-10-12 11:05:49,144 - DEBUG - [GridSearch] iter=22 | order=['missing_value', 'whitespace', 'deduplication', 'outlier', 'stopword', 'punctuation', 'model'] | vec=[5, 2, 2, 7, 1, 2, 1] | utility=278.58
2025-10-12 11:05:49,149 - DEBUG - [GridSearch] iter=23 | order=['stopword', 'model'] | vec=[1, 1] | utility=188.80
2025-10-12 11:05:49,362 - DEBUG - [GridSearch] iter=24 | order=['stopword', 'normalization', 'punctuation', 'deduplication', 'whitespace', 'missing_value', 'outlier', 'model'] | vec=[1, 4, 2, 1, 2, 7, 5, 1] | utility=177.32
2025-10-12 11:05:49,444 - DEBUG - [GridSearch] iter=25 | order=['punctuation', 'deduplication', 'normalization', 'model'] | vec=[1, 1, 3, 1] | utility=188.80
2025-10-12 11:05:49,635 - DEBUG - [GridSearch] iter=26 | order=['stopword', 'normalization', 'whitespace', 'outlier', 'deduplication', 'punctuation', 'model'] | vec=[2, 1, 2, 8, 2, 1, 1] | utility=257.19
2025-10-12 11:05:49,783 - DEBUG - [GridSearch] iter=27 | order=['missing_value', 'normalization', 'whitespace', 'deduplication', 'stopword', 'punctuation', 'outlier', 'model'] | vec=[2, 4, 2, 2, 2, 1, 2, 1] | utility=273.53
2025-10-12 11:05:49,837 - DEBUG - [GridSearch] iter=28 | order=['punctuation', 'normalization', 'stopword', 'model'] | vec=[1, 3, 1, 1] | utility=188.80
2025-10-12 11:05:49,855 - DEBUG - [GridSearch] iter=29 | order=['deduplication', 'whitespace', 'model'] | vec=[2, 1, 1] | utility=282.48
2025-10-12 11:05:50,126 - DEBUG - [GridSearch] iter=30 | order=['outlier', 'missing_value', 'deduplication', 'whitespace', 'stopword', 'punctuation', 'normalization', 'model'] | vec=[4, 8, 1, 2, 2, 2, 3, 1] | utility=183.19
2025-10-12 11:05:50,233 - DEBUG - [GridSearch] iter=31 | order=['stopword', 'punctuation', 'deduplication', 'normalization', 'outlier', 'missing_value', 'model'] | vec=[2, 2, 1, 2, 5, 3, 1] | utility=177.61
2025-10-12 11:05:50,292 - DEBUG - [GridSearch] iter=32 | order=['outlier', 'deduplication', 'stopword', 'whitespace', 'punctuation', 'missing_value', 'model'] | vec=[7, 1, 2, 1, 2, 1, 1] | utility=166.35
2025-10-12 11:05:50,415 - DEBUG - [GridSearch] iter=33 | order=['normalization', 'outlier', 'whitespace', 'model'] | vec=[1, 2, 2, 1] | utility=155.51
2025-10-12 11:05:50,415 - INFO - [GridSearch] Start (random). Target utility = 156.00
2025-10-12 11:05:50,432 - DEBUG - [GridSearch] iter=1 | order=['whitespace', 'punctuation', 'stopword', 'missing_value', 'model'] | vec=[2, 1, 2, 7, 1] | utility=188.80
2025-10-12 11:05:50,626 - DEBUG - [GridSearch] iter=2 | order=['outlier', 'whitespace', 'missing_value', 'punctuation', 'stopword', 'deduplication', 'model'] | vec=[3, 2, 1, 1, 2, 2, 1] | utility=255.78
2025-10-12 11:05:50,766 - DEBUG - [GridSearch] iter=3 | order=['outlier', 'deduplication', 'punctuation', 'normalization', 'missing_value', 'whitespace', 'model'] | vec=[7, 1, 2, 1, 7, 1, 1] | utility=166.35
2025-10-12 11:05:50,872 - DEBUG - [GridSearch] iter=4 | order=['normalization', 'outlier', 'missing_value', 'deduplication', 'stopword', 'punctuation', 'whitespace', 'model'] | vec=[3, 3, 6, 1, 2, 1, 2, 1] | utility=148.59
2025-10-12 11:05:50,872 - INFO - [GridSearch] Start (random). Target utility = 156.00
2025-10-12 11:05:51,006 - DEBUG - [GridSearch] iter=1 | order=['whitespace', 'stopword', 'outlier', 'normalization', 'missing_value', 'model'] | vec=[2, 1, 2, 1, 4, 1] | utility=155.51
2025-10-12 11:05:51,007 - INFO - [GridSearch] Start (random). Target utility = 156.00
2025-10-12 11:05:51,019 - DEBUG - [GridSearch] iter=1 | order=['model'] | vec=[1] | utility=188.80
2025-10-12 11:05:51,030 - DEBUG - [GridSearch] iter=2 | order=['punctuation', 'model'] | vec=[1, 1] | utility=188.80
2025-10-12 11:05:51,258 - DEBUG - [GridSearch] iter=3 | order=['normalization', 'deduplication', 'outlier', 'model'] | vec=[4, 1, 6, 1] | utility=177.46
2025-10-12 11:05:51,340 - DEBUG - [GridSearch] iter=4 | order=['normalization', 'punctuation', 'missing_value', 'stopword', 'deduplication', 'whitespace', 'model'] | vec=[3, 2, 6, 2, 1, 1, 1] | utility=188.80
2025-10-12 11:05:51,446 - DEBUG - [GridSearch] iter=5 | order=['punctuation', 'deduplication', 'whitespace', 'missing_value', 'normalization', 'model'] | vec=[1, 1, 2, 4, 1, 1] | utility=188.80
2025-10-12 11:05:51,545 - DEBUG - [GridSearch] iter=6 | order=['normalization', 'model'] | vec=[3, 1] | utility=188.80
2025-10-12 11:05:51,556 - DEBUG - [GridSearch] iter=7 | order=['stopword', 'model'] | vec=[2, 1] | utility=188.80
2025-10-12 11:05:51,715 - DEBUG - [GridSearch] iter=8 | order=['punctuation', 'stopword', 'whitespace', 'outlier', 'deduplication', 'missing_value', 'normalization', 'model'] | vec=[2, 1, 2, 6, 2, 7, 1, 1] | utility=263.51
