sampling,invalid_value,missing_value,floating_point,unit_converter,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
3,1,4,2,1,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04537908135030437
1,3,2,3,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.044918351945390844
3,3,4,4,1,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.047223759453975285
1,4,4,1,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,133043.12,0.45,164.17,0.0,53335.24,0.31,581.98,0.0,241823.09,0.26,816.94,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,826.93,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07224325087316463
3,1,5,1,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04464076360342552
2,2,3,3,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,41913.79,0.48,73.36,0.0,16794.76,0.28,158.65,0.0,81377.08,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,260.88,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07241278651530494
3,2,2,4,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,88767.21,0.49,100.58,0.0,37921.71,0.27,361.51,0.0,176918.67,0.25,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,505.34,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.0658172869561281
3,1,3,4,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.04260873246509156
2,4,8,2,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,42064.16,0.42,73.36,0.0,16921.56,0.28,158.65,0.0,80330.68,0.27,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,265.83,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.0727572039686883
1,1,7,3,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.044918351945390844
