sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
2,3,5,2,1,2,1,2,6,2,2,1,2,1,0.1710914454277286,0.17063762196505558,0.13485,1.92379,0.030353322743860617,1.9963503649635037,396.23,0.35,69.48,0.3,376.83,0.29,129.77,0.27,381.01,0.34,267.28,0.21,188.06,0.41,273.41,0.35,21.46,0.13,74.94,0.34,431.67,0.08,405.47,0.23,405.47,0.28,50.79,0.09,0.07179360604018138
1,2,2,2,2,2,2,3,6,1,1,2,2,1,0.16202566202566202,0.1607971607971608,0.1265,1.99217,0.028149692913067834,1.9326285240464345,135.07,0.31,503.88,0.29,875.72,0.21,549.93,0.41,892.69,0.34,42.58,0.14,223.6,0.33,67.3,0.09,4095.6,0.47,4147.43,0.21,1387.45,0.26,297.34,0.08,720.74,0.27,720.74,0.22,0.12279961085964233
1,4,3,3,2,2,2,2,1,1,1,2,1,1,0.16298116298116297,0.1620939120939121,0.12747,2.01854,0.028241944391012717,1.9333333333333333,144.09,0.31,528.56,0.29,888.66,0.21,567.82,0.41,904.76,0.34,42.29,0.14,234.18,0.33,69.27,0.1,1390.33,0.51,1390.33,0.21,1390.33,0.26,1390.33,0.08,1390.33,0.24,1390.33,0.24,0.12530129632166803
2,3,2,3,1,4,2,3,2,1,2,1,2,1,0.1865214431586113,0.18924438393464943,0.14208,2.4901,0.029053863678444078,1.9847586790855207,56.94,0.25,77.24,0.24,227.7,0.18,146.38,0.39,227.92,0.3,13.17,0.09,64.66,0.29,45.58,0.05,387.01,0.39,731.98,0.35,1.05,0.3,1235.47,0.05,6.45,0.3,6.45,0.3,0.13181308190461194
2,3,6,2,1,3,1,3,1,2,2,1,2,1,0.17177218062173816,0.16768776945768096,0.12707,1.98982,0.028291144540506814,2.028865979381443,405.48,0.33,67.53,0.31,942.68,0.36,141.84,0.28,487.26,0.35,275.45,0.21,207.93,0.41,280.49,0.34,23.31,0.13,71.05,0.33,257.28,0.09,143.08,0.27,143.08,0.25,53.82,0.09,0.066564629044592
2,4,1,1,1,1,1,4,2,2,1,1,2,1,0.13973799126637554,0.14535246412975672,0.15134,2.3442,0.03173464950293921,2.003512880562061,76.69,0.51,39.54,0.26,492.98,0.31,67.29,0.23,966.24,0.23,180.78,0.19,121.63,0.4,180.21,0.31,7.65,0.09,54.77,0.3,1181.67,0.06,83.38,0.29,83.38,0.27,39.92,0.06,0.137739600570241
3,1,3,4,2,3,1,2,5,2,1,1,1,1,0.1639881257037568,0.1632715733442522,0.13591,0.99932,0.0339810884990318,2.0924693520140103,789.35,0.31,82.39,0.31,860.56,0.31,290.09,0.27,777.29,0.35,607.55,0.25,330.58,0.52,623.09,0.71,30.58,0.16,185.72,1.0,1017.77,0.07,830.02,0.28,830.02,0.26,53.74,0.08,0.06142378865801634
3,2,5,2,2,1,1,2,4,2,1,1,2,1,0.1525232879516839,0.15405875729347937,0.13761,1.01115,0.034405836430064146,2.104534005037783,633.13,0.47,87.95,0.31,750.05,0.28,284.75,0.28,585.8,0.27,492.01,0.25,320.66,0.51,517.38,0.71,31.19,0.16,159.69,1.0,706.52,0.06,585.11,0.28,585.11,0.26,49.88,0.09,0.13263020948006618
1,3,5,2,2,2,2,2,5,2,2,1,1,1,0.17785967785967785,0.17424242424242425,0.13308,2.0069,0.029540769293750983,1.8734065934065933,155.3,0.3,490.36,0.28,842.61,0.2,531.38,0.41,854.62,0.33,39.87,0.14,225.91,0.33,63.08,0.09,1284.96,0.29,1260.15,0.26,1341.11,0.35,1240.17,0.08,1342.62,0.24,1342.62,0.25,0.07168032554425532
1,2,8,1,2,3,1,2,5,1,1,2,2,1,0.14755664755664755,0.14762489762489764,0.12803,1.99826,0.028461423701634393,1.9182030091121,1320.45,0.43,141.06,0.31,1509.94,0.24,500.38,0.29,1271.89,0.28,865.12,0.21,555.94,0.41,880.74,0.33,49.7,0.14,222.19,0.33,1433.92,0.08,1304.71,0.31,1304.71,0.32,71.16,0.09,0.1340349135232222
