sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
3,1,8,4,2,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,3115.93,0.28,100.58,0.0,60236.38,0.35,361.51,0.0,97866.69,0.35,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,546.54,0.08,265386.85,0.29,265386.86,0.22,62.13,0.0,0.06836618057031338
2,3,3,4,2,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,23244.77,0.36,73.36,0.0,210211.38,0.29,158.65,0.0,38257.19,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,141.62,0.09,141208.74,0.27,141208.75,0.23,50.57,0.0,0.07233992452886051
2,3,1,1,1,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,517.2,0.29,67.53,0.0,9475.51,0.38,141.84,0.0,477.98,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,97.35,0.09,45081.83,0.32,45081.83,0.33,53.82,0.0,0.04436832358678973
2,3,6,2,2,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,1402.92,0.33,73.36,0.0,26600.72,0.33,158.65,0.0,42393.24,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,292.9,0.09,124571.87,0.25,124571.87,0.28,50.57,0.0,0.06655768980778776
1,4,6,3,2,3,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,404695.38,0.36,164.17,0.0,215356.62,0.23,581.98,0.0,318644.58,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,1056.33,0.08,420013.58,0.27,420013.59,0.3,68.13,0.0,0.12331670826088723
1,3,8,2,2,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
2,2,9,1,1,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,157915.09,0.43,73.36,0.0,1131476.93,0.23,158.65,0.0,72235.87,0.22,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,135.78,0.09,141208.74,0.26,141208.75,0.23,50.57,0.0,0.11191069109709796
3,4,1,1,2,1,1,0.13726,0.98998,0.034319893007103426,2.111885067479321,52941.78,0.4,56.44,0.0,22328.98,0.31,226.71,0.0,105556.46,0.28,471.58,0.0,239.51,0.0,478.78,0.0,17.58,0.0,153.76,0.0,314.69,0.07,70766.71,0.29,70766.71,0.28,57.5,0.0,0.06550677546153055
3,2,9,2,1,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,264954.54,0.43,100.58,0.0,145708.74,0.27,361.51,0.0,226830.62,0.27,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,671.1,0.08,265386.85,0.28,265386.86,0.22,62.13,0.0,0.12099808822500012
1,3,5,4,2,3,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,4718.32,0.3,164.17,0.0,88717.99,0.35,581.98,0.0,145284.86,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,877.81,0.08,420013.58,0.27,420013.59,0.3,68.13,0.0,0.06803714387866043
