,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
63,0,0.17857,3,0.95,0.8,10,0.94306,13,0.93207,5,0.96062,3.0,0.91242
64,0,0.30714,0,0.05,0.8,10,0.94206,17,0.83986,7,0.96062,3.0,0.91242
65,0,0.30714,0,0.17857,0.8,19,0.83986,19,0.83986,9,0.96062,3.0,0.91242
66,0,0.30714,0,0.30714,0.8,10,0.94206,18,0.83986,9,0.96062,3.0,0.91242
67,0,0.30714,0,0.43571,0.8,3,0.83892,3,0.83892,2,0.83892,3.0,0.91242
68,0,0.30714,0,0.56429,0.8,1,0.93035,1,0.93035,2,0.93109,3.0,0.91242
69,0,0.30714,0,0.69286,0.8,1,0.96062,1,0.96062,1,0.96062,3.0,0.91242
70,0,0.30714,0,0.82143,0.8,1,0.94206,1,0.94206,1,0.94206,3.0,0.91242
71,0,0.30714,0,0.95,0.8,10,0.94306,15,0.93207,7,0.96062,3.0,0.91242
72,0,0.30714,1,0.05,0.8,11,0.84124,12,0.83321,8,0.96062,3.0,0.91242
73,0,0.30714,1,0.17857,0.8,11,0.94306,13,0.83321,8,0.96062,3.0,0.91242
74,0,0.30714,1,0.30714,0.8,12,0.84124,13,0.83321,8,0.96062,3.0,0.91242
75,0,0.30714,1,0.43571,0.8,3,0.83933,3,0.83933,2,0.83933,3.0,0.91242
76,0,0.30714,1,0.56429,0.8,1,0.93591,1,0.93591,2,0.93591,3.0,0.91242
77,0,0.30714,1,0.69286,0.8,1,0.9607,1,0.9607,2,0.9607,3.0,0.91242
78,0,0.30714,1,0.82143,0.8,1,0.93874,1,0.93874,2,0.94206,3.0,0.91242
79,0,0.30714,1,0.95,0.8,11,0.94306,15,0.93207,8,0.96062,3.0,0.91242
80,0,0.30714,2,0.05,0.8,11,0.94306,19,0.83986,8,0.96062,3.0,0.91242
81,0,0.30714,2,0.17857,0.8,13,0.81524,14,0.80285,8,0.96062,3.0,0.91242
82,0,0.30714,2,0.30714,0.8,11,0.94306,13,0.88413,8,0.96062,3.0,0.91242
83,0,0.30714,2,0.43571,0.8,3,0.83271,3,0.83271,2,0.83271,3.0,0.91242
84,0,0.30714,2,0.56429,0.8,1,0.93562,1,0.93562,2,0.94264,3.0,0.91242
85,0,0.30714,2,0.69286,0.8,1,0.96071,1,0.96071,2,0.96402,3.0,0.91242
86,0,0.30714,2,0.82143,0.8,1,0.94306,1,0.94306,2,0.94306,3.0,0.91242
87,0,0.30714,2,0.95,0.8,10,0.94306,14,0.93562,8,0.96062,3.0,0.91242
88,0,0.30714,3,0.05,0.8,19,0.83986,19,0.83986,8,0.96062,3.0,0.91242
89,0,0.30714,3,0.17857,0.8,10,0.94306,12,0.80715,5,0.83553,3.0,0.91242
90,0,0.30714,3,0.30714,0.8,20,0.83986,20,0.83986,5,0.85228,3.0,0.91242
91,0,0.30714,3,0.43571,0.8,3,0.82423,3,0.82423,2,0.82423,3.0,0.91242
92,0,0.30714,3,0.56429,0.8,1,0.93207,1,0.93207,2,0.94125,3.0,0.91242
93,0,0.30714,3,0.69286,0.8,1,0.96071,1,0.96071,2,0.96359,3.0,0.91242
94,0,0.30714,3,0.82143,0.8,1,0.94306,1,0.94306,1,0.94306,3.0,0.91242
95,0,0.30714,3,0.95,0.8,10,0.94306,13,0.93207,5,0.96062,3.0,0.91242
96,0,0.43571,0,0.05,0.8,10,0.94206,17,0.83986,8,0.96062,3.0,0.91242
97,0,0.43571,0,0.17857,0.8,13,0.81475,14,0.80715,10,0.96062,3.0,0.91242
98,0,0.43571,0,0.30714,0.8,10,0.94206,18,0.83986,10,0.96062,3.0,0.91242
99,0,0.43571,0,0.43571,0.8,3,0.86359,3,0.86359,2,0.86359,3.0,0.91242
100,0,0.43571,0,0.56429,0.8,1,0.93035,1,0.93035,1,0.93035,3.0,0.91242
101,0,0.43571,0,0.69286,0.8,1,0.96062,1,0.96062,1,0.96062,3.0,0.91242
102,0,0.43571,0,0.82143,0.8,1,0.94206,1,0.94206,1,0.94206,3.0,0.91242
103,0,0.43571,0,0.95,0.8,10,0.94306,15,0.93207,7,0.96062,3.0,0.91242
104,0,0.43571,1,0.05,0.8,11,0.84124,12,0.83321,9,0.96062,3.0,0.91242
105,0,0.43571,1,0.17857,0.8,11,0.94306,13,0.83321,9,0.96062,3.0,0.91242
106,0,0.43571,1,0.30714,0.8,12,0.84124,13,0.83321,9,0.96062,3.0,0.91242
107,0,0.43571,1,0.43571,0.8,3,0.8676,3,0.8676,2,0.8676,3.0,0.91242
108,0,0.43571,1,0.56429,0.8,1,0.93591,1,0.93591,2,0.93591,3.0,0.91242
109,0,0.43571,1,0.69286,0.8,1,0.9607,1,0.9607,2,0.9607,3.0,0.91242
110,0,0.43571,1,0.82143,0.8,1,0.93874,1,0.93874,2,0.94206,3.0,0.91242
111,0,0.43571,1,0.95,0.8,11,0.94306,15,0.93207,8,0.96062,3.0,0.91242
112,0,0.43571,2,0.05,0.8,11,0.94306,13,0.80285,9,0.96062,3.0,0.91242
113,0,0.43571,2,0.17857,0.8,13,0.81524,14,0.80285,9,0.96062,3.0,0.91242
114,0,0.43571,2,0.30714,0.8,11,0.94306,13,0.88413,9,0.96062,3.0,0.91242
115,0,0.43571,2,0.43571,0.8,3,0.8744,3,0.8744,2,0.8744,3.0,0.91242
116,0,0.43571,2,0.56429,0.8,1,0.93562,1,0.93562,2,0.94026,3.0,0.91242
