,blocking threshold,match threshold,precision,recall,f-score,acc
105,0.06,0.05,0.23537,0.94424,0.37681,0.63679
106,0.06,0.06,0.27679,0.94424,0.42809,0.7066
107,0.06,0.07,0.31617,0.94424,0.47372,0.75601
108,0.06,0.08,0.34579,0.94424,0.5062,0.78577
109,0.06,0.09,0.36855,0.94424,0.53017,0.80538
110,0.06,0.1,0.38853,0.94424,0.55053,0.8207
111,0.06,0.11,0.39788,0.94424,0.55985,0.82734
112,0.06,0.12,0.40888,0.94424,0.57065,0.83476
113,0.06,0.13,0.41518,0.94424,0.57676,0.83884
114,0.06,0.14,0.42245,0.94424,0.58374,0.84339
115,0.06,0.15,0.42605,0.94424,0.58717,0.84559
116,0.06,0.16,0.42971,0.94424,0.59063,0.84778
117,0.06,0.17,0.43335,0.94424,0.59406,0.84993
118,0.06,0.18,0.43541,0.94424,0.59599,0.85113
119,0.06,0.19,0.43887,0.94424,0.59923,0.85312
120,0.06,0.2,0.44164,0.94424,0.6018,0.85469
121,0.06,0.21,0.44351,0.94424,0.60354,0.85573
122,0.06,0.22,0.44529,0.94424,0.60518,0.85672
123,0.06,0.23,0.44614,0.94424,0.60597,0.8572
124,0.06,0.24,0.44747,0.94424,0.60719,0.85793
125,0.06,0.25,0.44939,0.94424,0.60896,0.85897
126,0.06,0.26,0.45132,0.94424,0.61073,0.86002
127,0.06,0.27,0.45288,0.94424,0.61216,0.86086
128,0.06,0.28,0.45474,0.94424,0.61385,0.86185
129,0.06,0.29,0.45622,0.94424,0.6152,0.86263
130,0.06,0.3,0.45662,0.94424,0.61556,0.86284
131,0.06,0.31,0.45902,0.94424,0.61774,0.8641
132,0.06,0.32,0.45982,0.94424,0.61846,0.86452
133,0.06,0.33,0.46144,0.94424,0.61993,0.86535
134,0.06,0.34,0.46215,0.94424,0.62057,0.86572
135,0.06,0.35,0.46927,0.94424,0.62695,0.86933
136,0.06,0.36,0.53381,0.94424,0.68204,0.89762
137,0.06,0.37,0.5861,0.94424,0.72326,0.91597
138,0.06,0.38,0.65197,0.94424,0.77135,0.9349
139,0.06,0.39,0.72041,0.94424,0.81728,0.9509
140,0.06,0.4,0.77206,0.94424,0.84951,0.9611
141,0.06,0.41,0.80092,0.94424,0.86669,0.96622
142,0.06,0.42,0.82482,0.94424,0.8805,0.97019
143,0.06,0.43,0.83866,0.94424,0.88832,0.97239
144,0.06,0.44,0.84917,0.94424,0.89419,0.97401
145,0.06,0.45,0.86207,0.94424,0.90129,0.97595
146,0.06,0.46,0.87354,0.94424,0.90752,0.97762
147,0.06,0.47,0.8794,0.94424,0.91067,0.97846
148,0.06,0.48,0.88379,0.94379,0.91281,0.97903
149,0.06,0.49,0.89163,0.94335,0.91676,0.98008
150,0.06,0.5,0.89391,0.94335,0.91796,0.98039
151,0.06,0.51,0.9031,0.9429,0.92257,0.98159
152,0.06,0.52,0.90583,0.9429,0.92399,0.98196
153,0.06,0.53,0.90889,0.942,0.92515,0.98227
154,0.06,0.54,0.91043,0.94155,0.92573,0.98243
155,0.06,0.55,0.91278,0.9411,0.92672,0.98269
156,0.06,0.56,0.91514,0.94065,0.92772,0.98295
157,0.06,0.57,0.91868,0.93975,0.9291,0.98332
158,0.06,0.58,0.91945,0.9393,0.92927,0.98337
159,0.06,0.59,0.92148,0.9393,0.9303,0.98363
160,0.06,0.6,0.9243,0.93885,0.93152,0.98395
161,0.06,0.61,0.928,0.93885,0.93339,0.98442
162,0.06,0.62,0.93122,0.9375,0.93435,0.98468
163,0.06,0.63,0.93366,0.9366,0.93513,0.98489
164,0.06,0.64,0.93615,0.93615,0.93615,0.98515
165,0.06,0.65,0.93739,0.9357,0.93654,0.98525
166,0.06,0.66,0.93902,0.9348,0.93691,0.98536
167,0.06,0.67,0.96277,0.93031,0.94626,0.98771
168,0.06,0.68,0.96495,0.92851,0.94638,0.98776
169,0.06,0.69,0.96945,0.92761,0.94807,0.98818
170,0.06,0.7,0.97124,0.92626,0.94822,0.98823
171,0.06,0.71,0.97166,0.92491,0.94771,0.98813
172,0.06,0.72,0.97387,0.92176,0.9471,0.98803
173,0.06,0.73,0.97661,0.91996,0.94744,0.98813
174,0.06,0.74,0.9775,0.91817,0.94691,0.98803
175,0.06,0.75,0.97884,0.91502,0.94585,0.98782
176,0.06,0.76,0.98154,0.90827,0.94348,0.98735
177,0.06,0.77,0.98244,0.90558,0.94245,0.98714
178,0.06,0.78,0.98458,0.89029,0.93506,0.98562
179,0.06,0.79,0.98448,0.88444,0.93178,0.98494
180,0.06,0.8,0.98535,0.87725,0.92816,0.98421
181,0.06,0.81,0.98573,0.8696,0.92403,0.98337
182,0.06,0.82,0.98563,0.86331,0.92042,0.98264
183,0.06,0.83,0.98556,0.85926,0.91809,0.98217
184,0.06,0.84,0.98568,0.83543,0.90436,0.97945
185,0.06,0.85,0.98558,0.82959,0.90088,0.97877
186,0.06,0.86,0.98694,0.81565,0.89316,0.97731
187,0.06,0.87,0.98658,0.79362,0.87964,0.97474
188,0.06,0.88,0.98804,0.78013,0.87186,0.97333
189,0.06,0.89,0.9876,0.75225,0.85401,0.97009
190,0.06,0.9,0.98755,0.7491,0.85195,0.96972
191,0.06,0.91,0.98703,0.71853,0.83165,0.96617
192,0.06,0.92,0.98659,0.69469,0.8153,0.9634
193,0.06,0.93,0.98745,0.67221,0.79989,0.96089
194,0.06,0.94,0.98812,0.63579,0.77373,0.95676
195,0.06,0.95,0.98847,0.61691,0.75969,0.95461
196,0.06,0.96,0.98797,0.59083,0.73945,0.95158
197,0.06,0.97,0.98747,0.567,0.72037,0.94881
198,0.06,0.98,0.98725,0.5571,0.71227,0.94766
199,0.06,0.99,0.98722,0.55576,0.71117,0.9475
200,0.07,0.0,0.13458,0.93165,0.23519,0.13326
201,0.07,0.01,0.13479,0.93165,0.23551,0.13481
202,0.07,0.02,0.14952,0.93165,0.25768,0.23218
203,0.07,0.03,0.18578,0.93165,0.30979,0.40616
204,0.07,0.04,0.22908,0.93165,0.36774,0.54174
205,0.07,0.05,0.27805,0.93165,0.42828,0.6442
206,0.07,0.06,0.32294,0.93165,0.47963,0.71083
207,0.07,0.07,0.36479,0.93165,0.52429,0.75817
208,0.07,0.08,0.39557,0.93165,0.55535,0.7866
209,0.07,0.09,0.41859,0.93165,0.57764,0.80512
210,0.07,0.1,0.43805,0.93165,0.59591,0.81927
211,0.07,0.11,0.44607,0.93165,0.60329,0.82474
212,0.07,0.12,0.45699,0.93165,0.6132,0.83188
213,0.07,0.13,0.46322,0.93165,0.61878,0.8358
214,0.07,0.14,0.47059,0.93165,0.62532,0.8403
215,0.07,0.15,0.47403,0.93165,0.62835,0.84236
216,0.07,0.16,0.47698,0.93165,0.63094,0.8441
217,0.07,0.17,0.4803,0.93165,0.63383,0.84603
218,0.07,0.18,0.48276,0.93165,0.63597,0.84744
219,0.07,0.19,0.4857,0.93165,0.63852,0.84911
220,0.07,0.2,0.48879,0.93165,0.64118,0.85085
221,0.07,0.21,0.49088,0.93165,0.64298,0.85201
222,0.07,0.22,0.49251,0.93165,0.64438,0.85291
223,0.07,0.23,0.49333,0.93165,0.64508,0.85336
224,0.07,0.24,0.49498,0.93165,0.64649,0.85426
225,0.07,0.25,0.497,0.93165,0.64821,0.85535
226,0.07,0.26,0.4994,0.93165,0.65024,0.85664
227,0.07,0.27,0.50085,0.93165,0.65147,0.85741
228,0.07,0.28,0.50279,0.93165,0.65311,0.85844
229,0.07,0.29,0.50438,0.93165,0.65445,0.85927
230,0.07,0.3,0.50487,0.93165,0.65486,0.85953
231,0.07,0.31,0.50747,0.93165,0.65705,0.86088
232,0.07,0.32,0.50847,0.93165,0.65788,0.8614
233,0.07,0.33,0.51047,0.93165,0.65956,0.86243
234,0.07,0.34,0.51135,0.93165,0.66029,0.86288
235,0.07,0.35,0.51852,0.93165,0.66624,0.86648
236,0.07,0.36,0.58301,0.93165,0.71721,0.89491
237,0.07,0.37,0.6348,0.93165,0.7551,0.91356
238,0.07,0.38,0.6946,0.93165,0.79585,0.93163
239,0.07,0.39,0.75236,0.93165,0.83246,0.94636
240,0.07,0.4,0.79877,0.93165,0.86011,0.95665
241,0.07,0.41,0.82222,0.93165,0.87352,0.96141
242,0.07,0.42,0.84125,0.93165,0.88415,0.96508
243,0.07,0.43,0.85162,0.93165,0.88984,0.96701
244,0.07,0.44,0.85833,0.93165,0.89349,0.96823
245,0.07,0.45,0.87059,0.93165,0.90009,0.97041
246,0.07,0.46,0.8817,0.93165,0.90599,0.97234
247,0.07,0.47,0.88661,0.93165,0.90857,0.97318
248,0.07,0.48,0.89114,0.93121,0.91073,0.97389
249,0.07,0.49,0.89844,0.93076,0.91431,0.97505
250,0.07,0.5,0.90039,0.93076,0.91532,0.97537
251,0.07,0.51,0.90865,0.93031,0.91935,0.97665
252,0.07,0.52,0.91145,0.93031,0.92078,0.9771
253,0.07,0.53,0.91299,0.92941,0.92113,0.97723
254,0.07,0.54,0.91295,0.92896,0.92089,0.97717
255,0.07,0.55,0.91534,0.92851,0.92188,0.97749
256,0.07,0.56,0.91733,0.92806,0.92266,0.97775
257,0.07,0.57,0.92095,0.92716,0.92404,0.9782
258,0.07,0.58,0.92095,0.92716,0.92404,0.9782
259,0.07,0.59,0.92301,0.92716,0.92508,0.97852
260,0.07,0.6,0.92588,0.92671,0.92629,0.9789
261,0.07,0.61,0.92963,0.92671,0.92817,0.97948
262,0.07,0.62,0.93291,0.92536,0.92912,0.9798
263,0.07,0.63,0.9354,0.92446,0.9299,0.98006
264,0.07,0.64,0.93793,0.92401,0.93092,0.98038
265,0.07,0.65,0.93919,0.92356,0.93131,0.98051
266,0.07,0.66,0.93999,0.92266,0.93124,0.98051
267,0.07,0.67,0.96321,0.91817,0.94015,0.98328
268,0.07,0.68,0.96542,0.91637,0.94026,0.98334
269,0.07,0.69,0.96999,0.91547,0.94194,0.98386
270,0.07,0.7,0.9718,0.91412,0.94208,0.98392
271,0.07,0.71,0.97222,0.91277,0.94156,0.98379
272,0.07,0.72,0.97447,0.90962,0.94093,0.98366
273,0.07,0.73,0.97725,0.90782,0.94126,0.98379
274,0.07,0.74,0.97816,0.90603,0.94071,0.98366
275,0.07,0.75,0.97951,0.90288,0.93964,0.98341
276,0.07,0.76,0.98226,0.89613,0.93722,0.98283
277,0.07,0.77,0.98318,0.89344,0.93616,0.98257
278,0.07,0.78,0.98537,0.87815,0.92868,0.9807
279,0.07,0.79,0.98527,0.8723,0.92535,0.97987
280,0.07,0.8,0.98616,0.86511,0.92168,0.97897
281,0.07,0.81,0.98655,0.85746,0.91749,0.97794
282,0.07,0.82,0.98645,0.85117,0.91383,0.97704
283,0.07,0.83,0.98639,0.84712,0.91147,0.97646
284,0.07,0.84,0.98654,0.82374,0.89782,0.97318
285,0.07,0.85,0.98644,0.8179,0.8943,0.97234
286,0.07,0.86,0.98676,0.80441,0.8863,0.97048
287,0.07,0.87,0.98639,0.78237,0.87261,0.96733
288,0.07,0.88,0.98788,0.76933,0.86501,0.96565
289,0.07,0.89,0.98743,0.74191,0.84724,0.96173
290,0.07,0.9,0.98738,0.73876,0.84517,0.96128
291,0.07,0.91,0.98685,0.70863,0.82491,0.95697
292,0.07,0.92,0.9864,0.6848,0.80839,0.95356
293,0.07,0.93,0.98727,0.66232,0.79279,0.95048
294,0.07,0.94,0.98795,0.6268,0.76699,0.94552
295,0.07,0.95,0.9883,0.60791,0.75278,0.94289
296,0.07,0.96,0.9878,0.58228,0.73267,0.93922
297,0.07,0.97,0.98728,0.55845,0.71338,0.93581
298,0.07,0.98,0.98706,0.54856,0.7052,0.9344
299,0.07,0.99,0.98702,0.54721,0.70408,0.9342
300,0.08,0.0,0.16067,0.91502,0.27334,0.1583
301,0.08,0.01,0.16097,0.91502,0.27378,0.16017
302,0.08,0.02,0.17846,0.91502,0.29867,0.25655
303,0.08,0.03,0.22033,0.91502,0.35514,0.42513
304,0.08,0.04,0.2705,0.91502,0.41756,0.55838
305,0.08,0.05,0.32322,0.91502,0.4777,0.65383
306,0.08,0.06,0.37101,0.91502,0.52795,0.71692
307,0.08,0.07,0.41446,0.91502,0.57051,0.76165
308,0.08,0.08,0.44442,0.91502,0.59827,0.7874
309,0.08,0.09,0.46879,0.91502,0.61996,0.80591
310,0.08,0.1,0.48754,0.91502,0.63614,0.8189
311,0.08,0.11,0.49634,0.91502,0.64358,0.82466
312,0.08,0.12,0.50799,0.91502,0.65329,0.83197
313,0.08,0.13,0.51402,0.91502,0.65826,0.83563
314,0.08,0.14,0.52166,0.91502,0.66449,0.84014
315,0.08,0.15,0.52543,0.91502,0.66754,0.84232
316,0.08,0.16,0.52816,0.91502,0.66974,0.84387
317,0.08,0.17,0.53105,0.91502,0.67206,0.84551
318,0.08,0.18,0.53342,0.91502,0.67395,0.84683
319,0.08,0.19,0.53609,0.91502,0.67608,0.84831
320,0.08,0.2,0.53864,0.91502,0.6781,0.84971
321,0.08,0.21,0.54065,0.91502,0.67969,0.8508
322,0.08,0.22,0.54223,0.91502,0.68094,0.85165
323,0.08,0.23,0.54281,0.91502,0.6814,0.85196
324,0.08,0.24,0.54441,0.91502,0.68266,0.85282
325,0.08,0.25,0.54675,0.91502,0.6845,0.85406
326,0.08,0.26,0.5497,0.91502,0.6868,0.85562
327,0.08,0.27,0.55104,0.91502,0.68785,0.85632
328,0.08,0.28,0.55269,0.91502,0.68913,0.85718
329,0.08,0.29,0.55389,0.91502,0.69006,0.8578
330,0.08,0.3,0.55434,0.91502,0.69041,0.85803
331,0.08,0.31,0.55723,0.91502,0.69265,0.85951
332,0.08,0.32,0.5583,0.91502,0.69348,0.86005
333,0.08,0.33,0.56076,0.91502,0.69537,0.8613
334,0.08,0.34,0.56169,0.91502,0.69608,0.86177
335,0.08,0.35,0.56844,0.91502,0.70124,0.86511
336,0.08,0.36,0.63023,0.91502,0.74638,0.89242
337,0.08,0.37,0.6772,0.91502,0.77835,0.90984
