,pf,block clean threshold,weighting schema,matching threshold,cur_f
0,0,0.95,3,0.95,0.80945
1,0,0.5,3,0.95,0.81318
2,0,0.5,1,0.95,0.81846
3,0,0.05,1,0.95,0.78582
4,0,0.5,1,0.725,0.98611
