,init pf,init block clean threshold,init weighting schema,init matching threshold,historical data size,param iterations,param f-score,proj iterations,proj f-score,profile iterations,profile f-score,grid search iterations,grid search f-score
27,0,0.05,3,0.43571,36,15,0.96071,15,0.95808,265,0.95808,23.0,0.96036
28,0,0.05,3,0.56429,36,17,0.96402,15,0.96359,263,0.95808,23.0,0.96036
29,0,0.05,3,0.69286,36,1,0.96071,1,0.96071,4,0.96071,23.0,0.96036
30,0,0.05,3,0.82143,36,14,0.96071,15,0.96071,265,0.95808,23.0,0.96036
31,0,0.05,3,0.95,36,15,0.96071,15,0.96071,218,0.96071,23.0,0.96036
32,0,0.17857,0,0.05,36,17,0.96071,19,0.96284,220,0.96071,23.0,0.96036
33,0,0.17857,0,0.17857,36,21,0.96071,36,0.95808,214,0.96071,23.0,0.96036
34,0,0.17857,0,0.30714,36,17,0.96071,16,0.95808,211,0.96071,23.0,0.96036
35,0,0.17857,0,0.43571,36,21,0.96071,36,0.95808,222,0.96071,23.0,0.96036
36,0,0.17857,0,0.56429,36,18,0.96402,16,0.96359,268,0.95808,23.0,0.96036
37,0,0.17857,0,0.69286,36,1,0.96062,1,0.96062,4,0.96284,23.0,0.96036
38,0,0.17857,0,0.82143,36,15,0.96071,14,0.96062,268,0.95808,23.0,0.96036
39,0,0.17857,0,0.95,36,14,0.96071,17,0.96071,222,0.96071,23.0,0.96036
40,0,0.17857,1,0.05,36,22,0.96071,37,0.95808,221,0.96071,23.0,0.96036
41,0,0.17857,1,0.17857,36,17,0.96071,19,0.96284,215,0.96071,23.0,0.96036
42,0,0.17857,1,0.30714,36,22,0.96071,37,0.95808,211,0.96071,23.0,0.96036
43,0,0.17857,1,0.43571,36,17,0.95935,20,0.95959,223,0.96071,23.0,0.96036
44,0,0.17857,1,0.56429,36,16,0.96165,14,0.96165,269,0.95808,23.0,0.96036
45,0,0.17857,1,0.69286,36,1,0.9607,1,0.9607,4,0.96284,23.0,0.96036
46,0,0.17857,1,0.82143,36,14,0.96071,17,0.96071,267,0.95808,23.0,0.96036
47,0,0.17857,1,0.95,36,15,0.96071,16,0.96062,222,0.96071,23.0,0.96036
48,0,0.17857,2,0.05,36,17,0.96071,19,0.96284,221,0.96071,23.0,0.96036
49,0,0.17857,2,0.17857,36,23,0.96071,38,0.95808,223,0.96071,23.0,0.96036
50,0,0.17857,2,0.30714,36,17,0.96071,16,0.95808,222,0.96071,23.0,0.96036
51,0,0.17857,2,0.43571,36,23,0.96071,38,0.95808,228,0.96071,23.0,0.96036
52,0,0.17857,2,0.56429,36,17,0.96402,16,0.96402,269,0.95808,23.0,0.96036
53,0,0.17857,2,0.69286,36,1,0.96071,1,0.96071,4,0.96303,23.0,0.96036
54,0,0.17857,2,0.82143,36,15,0.96071,15,0.96071,267,0.95808,23.0,0.96036
55,0,0.17857,2,0.95,36,14,0.96071,16,0.96071,222,0.96071,23.0,0.96036
56,0,0.17857,3,0.05,36,22,0.96071,35,0.95808,220,0.96071,23.0,0.96036
57,0,0.17857,3,0.17857,36,16,0.96071,18,0.96284,221,0.96071,23.0,0.96036
58,0,0.17857,3,0.30714,36,23,0.96071,36,0.95808,220,0.96071,23.0,0.96036
59,0,0.17857,3,0.43571,36,21,0.96071,15,0.95808,265,0.95808,23.0,0.96036
60,0,0.17857,3,0.56429,36,17,0.96402,15,0.96359,267,0.95808,23.0,0.96036
61,0,0.17857,3,0.69286,36,1,0.96071,1,0.96071,4,0.96284,23.0,0.96036
62,0,0.17857,3,0.82143,36,14,0.96071,15,0.96071,267,0.95808,23.0,0.96036
63,0,0.17857,3,0.95,36,15,0.96071,15,0.96071,219,0.96071,23.0,0.96036
64,0,0.30714,0,0.05,36,17,0.96071,19,0.96284,220,0.96071,23.0,0.96036
65,0,0.30714,0,0.17857,36,21,0.96071,36,0.95808,215,0.96071,23.0,0.96036
66,0,0.30714,0,0.30714,36,17,0.96071,16,0.95808,209,0.96071,23.0,0.96036
67,0,0.30714,0,0.43571,36,21,0.96071,36,0.95808,218,0.96071,23.0,0.96036
68,0,0.30714,0,0.56429,36,17,0.96402,16,0.96359,268,0.95808,23.0,0.96036
69,0,0.30714,0,0.69286,36,1,0.96062,1,0.96062,4,0.96359,23.0,0.96036
