,q size,pf,block clean threshold,weighting schema,matching threshold,cur_f
0,0,0,0.35,2,0.65,0.0491
1,4,1,0.95,2,0.35,0.0585
2,4,1,0.95,0,0.95,0.0
3,4,1,0.35,2,0.35,0.77884
4,0,1,0.35,2,0.35,0.73023
5,0,1,0.95,0,0.95,0.0
6,5,0,0.35,2,0.65,0.92857
7,4,1,0.05,2,0.35,0.9316
