,q size,pf,block clean threshold,weighting schema,matching threshold,cur_f
0,0,1,0.35,2,0.65,0.73023
1,4,0,0.35,2,0.95,0.0
2,5,0,0.35,2,0.05,0.26904
3,4,1,0.65,1,0.95,0.0
4,4,0,0.35,3,0.05,0.15776
5,5,1,0.05,2,0.65,0.93078
