,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,rank iterations,rank f-score,grid search iterations,grid search f-score
0,0,0.05,0,0.05,0.8,13,0.87156,2.0,0.953
1,0,0.05,0,0.17857,0.8,2,0.87156,2.0,0.953
2,0,0.05,0,0.30714,0.8,2,0.88963,2.0,0.953
3,0,0.05,0,0.43571,0.8,2,0.94729,2.0,0.953
4,0,0.05,0,0.56429,0.8,1,0.93251,2.0,0.953
5,0,0.05,0,0.69286,0.8,1,0.96296,2.0,0.953
6,0,0.05,0,0.82143,0.8,1,0.9445,2.0,0.953
7,0,0.05,0,0.95,0.8,14,0.87156,2.0,0.953
8,0,0.05,1,0.05,0.8,13,0.87156,2.0,0.953
9,0,0.05,1,0.17857,0.8,2,0.87794,2.0,0.953
10,0,0.05,1,0.30714,0.8,2,0.895,2.0,0.953
11,0,0.05,1,0.43571,0.8,2,0.95356,2.0,0.953
12,0,0.05,1,0.56429,0.8,1,0.94237,2.0,0.953
13,0,0.05,1,0.69286,0.8,1,0.96761,2.0,0.953
14,0,0.05,1,0.82143,0.8,1,0.94587,2.0,0.953
15,0,0.05,1,0.95,0.8,5,0.8179,2.0,0.953
16,0,0.05,2,0.05,0.8,5,0.88807,2.0,0.953
17,0,0.05,2,0.17857,0.8,4,0.83558,2.0,0.953
18,0,0.05,2,0.30714,0.8,4,0.86232,2.0,0.953
19,0,0.05,2,0.43571,0.8,3,0.8562,2.0,0.953
20,0,0.05,2,0.56429,0.8,1,0.93681,2.0,0.953
21,0,0.05,2,0.69286,0.8,1,0.96198,2.0,0.953
22,0,0.05,2,0.82143,0.8,1,0.94438,2.0,0.953
23,0,0.05,2,0.95,0.8,5,0.81708,2.0,0.953
24,0,0.05,3,0.05,0.8,5,0.82628,2.0,0.953
25,0,0.05,3,0.17857,0.8,5,0.88974,2.0,0.953
26,0,0.05,3,0.30714,0.8,5,0.90211,2.0,0.953
27,0,0.05,3,0.43571,0.8,3,0.84767,2.0,0.953
28,0,0.05,3,0.56429,0.8,1,0.93325,2.0,0.953
29,0,0.05,3,0.69286,0.8,1,0.96198,2.0,0.953
30,0,0.05,3,0.82143,0.8,1,0.94438,2.0,0.953
31,0,0.05,3,0.95,0.8,5,0.8133,2.0,0.953
32,0,0.17857,0,0.05,0.8,13,0.8654,2.0,0.953
33,0,0.17857,0,0.17857,0.8,5,0.81796,2.0,0.953
34,0,0.17857,0,0.30714,0.8,5,0.8359,2.0,0.953
35,0,0.17857,0,0.43571,0.8,1,0.83809,2.0,0.953
36,0,0.17857,0,0.56429,0.8,1,0.93758,2.0,0.953
37,0,0.17857,0,0.69286,0.8,1,0.96518,2.0,0.953
38,0,0.17857,0,0.82143,0.8,1,0.94568,2.0,0.953
39,0,0.17857,0,0.95,0.8,5,0.80271,2.0,0.953
40,0,0.17857,1,0.05,0.8,5,0.88954,2.0,0.953
41,0,0.17857,1,0.17857,0.8,4,0.85255,2.0,0.953
42,0,0.17857,1,0.30714,0.8,4,0.87907,2.0,0.953
43,0,0.17857,1,0.43571,0.8,1,0.86706,2.0,0.953
44,0,0.17857,1,0.56429,0.8,1,0.95422,2.0,0.953
45,0,0.17857,1,0.69286,0.8,1,0.97349,2.0,0.953
46,0,0.17857,1,0.82143,0.8,1,0.94744,2.0,0.953
47,0,0.17857,1,0.95,0.8,5,0.8179,2.0,0.953
48,0,0.17857,2,0.05,0.8,5,0.88807,2.0,0.953
49,0,0.17857,2,0.17857,0.8,4,0.83558,2.0,0.953
50,0,0.17857,2,0.30714,0.8,4,0.86232,2.0,0.953
51,0,0.17857,2,0.43571,0.8,1,0.8562,2.0,0.953
52,0,0.17857,2,0.56429,0.8,1,0.94757,2.0,0.953
53,0,0.17857,2,0.69286,0.8,1,0.96794,2.0,0.953
54,0,0.17857,2,0.82143,0.8,1,0.94571,2.0,0.953
55,0,0.17857,2,0.95,0.8,5,0.81708,2.0,0.953
56,0,0.17857,3,0.05,0.8,5,0.82628,2.0,0.953
57,0,0.17857,3,0.17857,0.8,5,0.88974,2.0,0.953
58,0,0.17857,3,0.30714,0.8,5,0.90211,2.0,0.953
59,0,0.17857,3,0.43571,0.8,1,0.84767,2.0,0.953
60,0,0.17857,3,0.56429,0.8,1,0.94595,2.0,0.953
61,0,0.17857,3,0.69286,0.8,1,0.96773,2.0,0.953
62,0,0.17857,3,0.82143,0.8,1,0.94571,2.0,0.953
63,0,0.17857,3,0.95,0.8,5,0.8133,2.0,0.953
64,0,0.30714,0,0.05,0.8,13,0.8654,2.0,0.953
65,0,0.30714,0,0.17857,0.8,5,0.81796,2.0,0.953
66,0,0.30714,0,0.30714,0.8,5,0.8359,2.0,0.953
67,0,0.30714,0,0.43571,0.8,1,0.91697,2.0,0.953
68,0,0.30714,0,0.56429,0.8,1,0.95538,2.0,0.953
69,0,0.30714,0,0.69286,0.8,1,0.97327,2.0,0.953
70,0,0.30714,0,0.82143,0.8,1,0.94829,2.0,0.953
71,0,0.30714,0,0.95,0.8,5,0.80271,2.0,0.953
72,0,0.30714,1,0.05,0.8,5,0.88954,2.0,0.953
73,0,0.30714,1,0.17857,0.8,1,0.85255,2.0,0.953
74,0,0.30714,1,0.30714,0.8,1,0.87907,2.0,0.953
