,pf,block clean threshold,weighting schema,matching threshold,cur_f
0,0,0.95,3,0.95,0.80945
1,1,0.95,3,0.95,0.0
2,0,0.05,3,0.95,0.78421
3,0,0.275,3,0.95,0.7932
4,0,0.5,3,0.95,0.81318
5,0,0.725,3,0.95,0.80945
6,0,0.5,3,0.05,0.83033
7,0,0.5,3,0.275,0.90168
8,0,0.5,3,0.5,0.97065
9,0,0.5,3,0.725,0.98597
