,pf,block clean threshold,weighting schema,matching threshold,f-score
0,0,0.05,0,0.05,0.04259
1,0,0.05,0,0.1625,0.11462
2,0,0.05,0,0.275,0.11783
3,0,0.05,0,0.3875,0.35055
4,0,0.05,0,0.5,0.90024
5,0,0.05,0,0.6125,0.94193
6,0,0.05,0,0.725,0.96247
7,0,0.05,0,0.8375,0.92667
8,0,0.05,0,0.95,0.78195
9,0,0.05,1,0.05,0.02595
10,0,0.05,1,0.1625,0.09069
11,0,0.05,1,0.275,0.09245
12,0,0.05,1,0.3875,0.26165
13,0,0.05,1,0.5,0.90834
14,0,0.05,1,0.6125,0.94593
15,0,0.05,1,0.725,0.96303
16,0,0.05,1,0.8375,0.92352
17,0,0.05,1,0.95,0.77896
18,0,0.05,2,0.05,0.02555
19,0,0.05,2,0.1625,0.08793
20,0,0.05,2,0.275,0.0897
21,0,0.05,2,0.3875,0.25814
22,0,0.05,2,0.5,0.90467
23,0,0.05,2,0.6125,0.94549
24,0,0.05,2,0.725,0.96385
25,0,0.05,2,0.8375,0.92769
26,0,0.05,2,0.95,0.78294
27,0,0.05,3,0.05,0.02137
28,0,0.05,3,0.1625,0.0581
29,0,0.05,3,0.275,0.05904
30,0,0.05,3,0.3875,0.24699
31,0,0.05,3,0.5,0.89862
32,0,0.05,3,0.6125,0.94367
33,0,0.05,3,0.725,0.96385
34,0,0.05,3,0.8375,0.92769
35,0,0.05,3,0.95,0.78294
36,0,0.1625,0,0.05,0.06752
37,0,0.1625,0,0.1625,0.18272
38,0,0.1625,0,0.275,0.18983
39,0,0.1625,0,0.3875,0.44182
40,0,0.1625,0,0.5,0.90291
41,0,0.1625,0,0.6125,0.94158
42,0,0.1625,0,0.725,0.96131
43,0,0.1625,0,0.8375,0.9259
44,0,0.1625,0,0.95,0.78128
45,0,0.1625,1,0.05,0.04832
46,0,0.1625,1,0.1625,0.21737
47,0,0.1625,1,0.275,0.22539
48,0,0.1625,1,0.3875,0.34172
49,0,0.1625,1,0.5,0.91749
50,0,0.1625,1,0.6125,0.94728
51,0,0.1625,1,0.725,0.96253
52,0,0.1625,1,0.8375,0.92275
53,0,0.1625,1,0.95,0.77863
54,0,0.1625,2,0.05,0.04364
55,0,0.1625,2,0.1625,0.17036
56,0,0.1625,2,0.275,0.17607
57,0,0.1625,2,0.3875,0.32752
58,0,0.1625,2,0.5,0.91265
59,0,0.1625,2,0.6125,0.94631
60,0,0.1625,2,0.725,0.96385
61,0,0.1625,2,0.8375,0.92769
