,q size,pf,block clean threshold,weighting schema,matching threshold,f-score
169,4,0,0.65,2,0.35,0.46747
170,4,0,0.65,2,0.65,0.95238
171,4,0,0.65,2,0.95,0.77896
172,4,0,0.65,3,0.05,0.2419
173,4,0,0.65,3,0.35,0.53369
174,4,0,0.65,3,0.65,0.94969
175,4,0,0.65,3,0.95,0.78029
176,4,0,0.95,0,0.05,0.24315
177,4,0,0.95,0,0.35,0.25132
178,4,0,0.95,0,0.65,0.25754
179,4,0,0.95,0,0.95,0.19537
180,4,0,0.95,1,0.05,0.23526
181,4,0,0.95,1,0.35,0.24755
182,4,0,0.95,1,0.65,0.26054
183,4,0,0.95,1,0.95,0.19537
184,4,0,0.95,2,0.05,0.23526
185,4,0,0.95,2,0.35,0.24755
186,4,0,0.95,2,0.65,0.26054
187,4,0,0.95,2,0.95,0.19537
188,4,0,0.95,3,0.05,0.33429
189,4,0,0.95,3,0.35,0.35624
190,4,0,0.95,3,0.65,0.37262
191,4,0,0.95,3,0.95,0.28836
192,4,1,0.05,0,0.05,0.16439
193,4,1,0.05,0,0.35,0.38515
194,4,1,0.05,0,0.65,0.94851
195,4,1,0.05,0,0.95,0.78261
196,4,1,0.05,1,0.05,0.10596
197,4,1,0.05,1,0.35,0.27657
198,4,1,0.05,1,0.65,0.94864
199,4,1,0.05,1,0.95,0.78327
200,4,1,0.05,2,0.05,0.11985
201,4,1,0.05,2,0.35,0.31125
202,4,1,0.05,2,0.65,0.9495
203,4,1,0.05,2,0.95,0.78393
204,4,1,0.05,3,0.05,0.12998
205,4,1,0.05,3,0.35,0.338
206,4,1,0.05,3,0.65,0.94991
207,4,1,0.05,3,0.95,0.78393
208,4,1,0.35,0,0.05,0.73643
209,4,1,0.35,0,0.35,0.75506
210,4,1,0.35,0,0.65,0.76935
211,4,1,0.35,0,0.95,0.57216
212,4,1,0.35,1,0.05,0.7021
213,4,1,0.35,1,0.35,0.73437
214,4,1,0.35,1,0.65,0.75408
215,4,1,0.35,1,0.95,0.56109
216,4,1,0.35,2,0.05,0.76045
217,4,1,0.35,2,0.35,0.8002
218,4,1,0.35,2,0.65,0.82304
219,4,1,0.35,2,0.95,0.62931
220,4,1,0.35,3,0.05,0.83698
221,4,1,0.35,3,0.35,0.8744
222,4,1,0.35,3,0.65,0.8928
223,4,1,0.35,3,0.95,0.69825
224,4,1,0.65,0,0.05,0.32807
225,4,1,0.65,0,0.35,0.32807
226,4,1,0.65,0,0.65,0.32568
227,4,1,0.65,0,0.95,0.21007
228,4,1,0.65,1,0.05,0.32807
229,4,1,0.65,1,0.35,0.32807
230,4,1,0.65,1,0.65,0.32568
231,4,1,0.65,1,0.95,0.21007
232,4,1,0.65,2,0.05,0.32807
233,4,1,0.65,2,0.35,0.32807
234,4,1,0.65,2,0.65,0.32568
235,4,1,0.65,2,0.95,0.21007
236,4,1,0.65,3,0.05,0.63792
237,4,1,0.65,3,0.35,0.63811
238,4,1,0.65,3,0.65,0.63768
239,4,1,0.65,3,0.95,0.48036
240,4,1,0.95,0,0.05,0.05169
241,4,1,0.95,0,0.35,0.05169
242,4,1,0.95,0,0.65,0.05083
243,4,1,0.95,0,0.95,0.03186
244,4,1,0.95,1,0.05,0.05169
245,4,1,0.95,1,0.35,0.05169
246,4,1,0.95,1,0.65,0.05083
247,4,1,0.95,1,0.95,0.03186
248,4,1,0.95,2,0.05,0.07195
249,4,1,0.95,2,0.35,0.07195
250,4,1,0.95,2,0.65,0.07112
251,4,1,0.95,2,0.95,0.04655
252,4,1,0.95,3,0.05,0.12321
253,4,1,0.95,3,0.35,0.12321
254,4,1,0.95,3,0.65,0.12321
255,4,1,0.95,3,0.95,0.08194
256,5,0,0.05,0,0.05,0.04766
257,5,0,0.05,0,0.35,0.13667
258,5,0,0.05,0,0.65,0.94664
259,5,0,0.05,0,0.95,0.78393
260,5,0,0.05,1,0.05,0.03355
261,5,0,0.05,1,0.35,0.0959
262,5,0,0.05,1,0.65,0.9468
