,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,rank iterations,rank f-score,grid search iterations,grid search f-score
84,0,0.30714,2,0.56429,0.8,1,0.96545,2.0,0.94587
85,0,0.30714,2,0.69286,0.8,1,0.97892,2.0,0.94587
86,0,0.30714,2,0.82143,0.8,1,0.95126,2.0,0.94587
87,0,0.30714,2,0.95,0.8,5,0.81708,2.0,0.94587
88,0,0.30714,3,0.05,0.8,5,0.82628,2.0,0.94587
89,0,0.30714,3,0.17857,0.8,5,0.88974,2.0,0.94587
90,0,0.30714,3,0.30714,0.8,5,0.90211,2.0,0.94587
91,0,0.30714,3,0.43571,0.8,1,0.9253,2.0,0.94587
92,0,0.30714,3,0.56429,0.8,1,0.95995,2.0,0.94587
93,0,0.30714,3,0.69286,0.8,1,0.97403,2.0,0.94587
94,0,0.30714,3,0.82143,0.8,1,0.95041,2.0,0.94587
95,0,0.30714,3,0.95,0.8,5,0.8133,2.0,0.94587
96,0,0.43571,0,0.05,0.8,10,0.8654,2.0,0.94587
97,0,0.43571,0,0.17857,0.8,1,0.81796,2.0,0.94587
98,0,0.43571,0,0.30714,0.8,1,0.8359,2.0,0.94587
99,0,0.43571,0,0.43571,0.8,1,0.95285,2.0,0.94587
100,0,0.43571,0,0.56429,0.8,1,0.9723,2.0,0.94587
101,0,0.43571,0,0.69286,0.8,1,0.98409,2.0,0.94587
102,0,0.43571,0,0.82143,0.8,1,0.95684,2.0,0.94587
103,0,0.43571,0,0.95,0.8,1,0.80271,2.0,0.94587
104,0,0.43571,1,0.05,0.8,1,0.88954,2.0,0.94587
105,0,0.43571,1,0.17857,0.8,1,0.90963,2.0,0.94587
106,0,0.43571,1,0.30714,0.8,1,0.92086,2.0,0.94587
107,0,0.43571,1,0.43571,0.8,1,0.96469,2.0,0.94587
108,0,0.43571,1,0.56429,0.8,1,0.97791,2.0,0.94587
109,0,0.43571,1,0.69286,0.8,1,0.98599,2.0,0.94587
110,0,0.43571,1,0.82143,0.8,1,0.96214,2.0,0.94587
111,0,0.43571,1,0.95,0.8,1,0.8179,2.0,0.94587
112,0,0.43571,2,0.05,0.8,1,0.88807,2.0,0.94587
113,0,0.43571,2,0.17857,0.8,1,0.90925,2.0,0.94587
114,0,0.43571,2,0.30714,0.8,1,0.92023,2.0,0.94587
115,0,0.43571,2,0.43571,0.8,1,0.96452,2.0,0.94587
116,0,0.43571,2,0.56429,0.8,1,0.97744,2.0,0.94587
117,0,0.43571,2,0.69286,0.8,1,0.98565,2.0,0.94587
118,0,0.43571,2,0.82143,0.8,1,0.96164,2.0,0.94587
119,0,0.43571,2,0.95,0.8,1,0.81708,2.0,0.94587
120,0,0.43571,3,0.05,0.8,1,0.82628,2.0,0.94587
121,0,0.43571,3,0.17857,0.8,1,0.88974,2.0,0.94587
122,0,0.43571,3,0.30714,0.8,1,0.90211,2.0,0.94587
123,0,0.43571,3,0.43571,0.8,1,0.96118,2.0,0.94587
124,0,0.43571,3,0.56429,0.8,1,0.97825,2.0,0.94587
125,0,0.43571,3,0.69286,0.8,1,0.98586,2.0,0.94587
126,0,0.43571,3,0.82143,0.8,1,0.9601,2.0,0.94587
127,0,0.43571,3,0.95,0.8,1,0.8133,2.0,0.94587
128,0,0.56429,0,0.05,0.8,10,0.8654,2.0,0.94587
129,0,0.56429,0,0.17857,0.8,1,0.8654,2.0,0.94587
130,0,0.56429,0,0.30714,0.8,1,0.88136,2.0,0.94587
131,0,0.56429,0,0.43571,0.8,1,0.95156,2.0,0.94587
132,0,0.56429,0,0.56429,0.8,1,0.96714,2.0,0.94587
