,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,rank iterations,rank f-score,grid search iterations,grid search f-score
80,0,0.95,0,0.05,0.8,4,0.98611,2.0,0.91888
81,0,0.95,0,0.275,0.8,1,0.87744,2.0,0.91888
82,0,0.95,0,0.5,0.8,1,0.9569,2.0,0.91888
83,0,0.95,0,0.725,0.8,1,0.98353,2.0,0.91888
84,0,0.95,0,0.95,0.8,1,0.80733,2.0,0.91888
85,0,0.95,1,0.05,0.8,4,0.98611,2.0,0.91888
86,0,0.95,1,0.275,0.8,1,0.80966,2.0,0.91888
87,0,0.95,1,0.5,0.8,1,0.95187,2.0,0.91888
88,0,0.95,1,0.725,0.8,1,0.97858,2.0,0.91888
89,0,0.95,1,0.95,0.8,1,0.80945,2.0,0.91888
90,0,0.95,2,0.05,0.8,4,0.98611,2.0,0.91888
91,0,0.95,2,0.275,0.8,4,0.98611,2.0,0.91888
92,0,0.95,2,0.5,0.8,2,0.90578,2.0,0.91888
93,0,0.95,2,0.725,0.8,2,0.96515,2.0,0.91888
94,0,0.95,2,0.95,0.8,4,0.98611,2.0,0.91888
95,0,0.95,3,0.05,0.8,4,0.98611,2.0,0.91888
96,0,0.95,3,0.275,0.8,1,0.80966,2.0,0.91888
97,0,0.95,3,0.5,0.8,1,0.95187,2.0,0.91888
98,0,0.95,3,0.725,0.8,1,0.97858,2.0,0.91888
99,0,0.95,3,0.95,0.8,1,0.80945,2.0,0.91888
100,1,0.05,0,0.05,0.8,4,0.98611,2.0,0.91888
101,1,0.05,0,0.275,0.8,1,0.87934,2.0,0.91888
102,1,0.05,0,0.5,0.8,1,0.95203,2.0,0.91888
103,1,0.05,0,0.725,0.8,1,0.98146,2.0,0.91888
104,1,0.05,0,0.95,0.8,1,0.80223,2.0,0.91888
105,1,0.05,1,0.05,0.8,4,0.98611,2.0,0.91888
106,1,0.05,1,0.275,0.8,1,0.88582,2.0,0.91888
107,1,0.05,1,0.5,0.8,1,0.96368,2.0,0.91888
108,1,0.05,1,0.725,0.8,1,0.98984,2.0,0.91888
109,1,0.05,1,0.95,0.8,5,0.98611,2.0,0.91888
110,1,0.05,2,0.05,0.8,5,0.98611,2.0,0.91888
111,1,0.05,2,0.275,0.8,4,0.80966,2.0,0.91888
112,1,0.05,2,0.5,0.8,2,0.97015,2.0,0.91888
113,1,0.05,2,0.725,0.8,4,0.97858,2.0,0.91888
114,1,0.05,2,0.95,0.8,2,0.81035,2.0,0.91888
115,1,0.05,3,0.05,0.8,4,0.98611,2.0,0.91888
116,1,0.05,3,0.275,0.8,3,0.80966,2.0,0.91888
117,1,0.05,3,0.5,0.8,3,0.95187,2.0,0.91888
118,1,0.05,3,0.725,0.8,3,0.97858,2.0,0.91888
119,1,0.05,3,0.95,0.8,3,0.80945,2.0,0.91888
120,1,0.275,0,0.05,0.8,4,0.98611,2.0,0.91888
121,1,0.275,0,0.275,0.8,4,0.98611,2.0,0.91888
122,1,0.275,0,0.5,0.8,2,0.945,2.0,0.91888
123,1,0.275,0,0.725,0.8,2,0.97411,2.0,0.91888
124,1,0.275,0,0.95,0.8,4,0.98611,2.0,0.91888
