,q size,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
68,0,1,0.05,1,0.05,1442,0.84487,1.0,1.0,1.0,0.90946,0.75928
69,0,1,0.05,1,0.35,1442,0.84487,1.0,1.0,1.0,0.96581,0.83659
70,0,1,0.05,1,0.65,1442,0.84487,1.0,1.0,1.0,0.93274,0.87308
71,0,1,0.05,1,0.95,1442,0.84487,1.0,1.0,1.0,0.0,0.68284
72,0,1,0.05,2,0.05,1241,0.90547,1.0,1.0,1.0,0.93004,0.76834
73,0,1,0.05,2,0.35,1241,0.90547,1.0,1.0,1.0,0.97204,0.88689
74,0,1,0.05,2,0.65,1241,0.90547,1.0,1.0,1.0,0.93274,0.94751
75,0,1,0.05,2,0.95,1241,0.90547,1.0,1.0,1.0,0.0,0.76584
76,0,1,0.05,3,0.05,1132,0.93902,1.0,1.0,1.0,0.96721,0.69432
77,0,1,0.05,3,0.35,1132,0.93902,1.0,1.0,1.0,0.98952,0.86317
78,0,1,0.05,3,0.65,1132,0.93902,1.0,1.0,1.0,0.94923,0.94808
79,0,1,0.05,3,0.95,1132,0.93902,1.0,1.0,1.0,0.0,0.76584
80,0,1,0.35,0,0.05,439,0.97174,1.0,1.0,1.0,0.55657,0.39076
81,0,1,0.35,0,0.35,439,0.97174,1.0,1.0,1.0,0.55657,0.3909
82,0,1,0.35,0,0.65,439,0.97174,1.0,1.0,1.0,0.50633,0.38813
83,0,1,0.35,0,0.95,439,0.97174,1.0,1.0,1.0,0.0,0.27329
84,0,1,0.35,1,0.05,439,0.97174,1.0,1.0,1.0,0.55657,0.39106
85,0,1,0.35,1,0.35,439,0.97174,1.0,1.0,1.0,0.55657,0.3912
86,0,1,0.35,1,0.65,439,0.97174,1.0,1.0,1.0,0.50633,0.38843
87,0,1,0.35,1,0.95,439,0.97174,1.0,1.0,1.0,0.0,0.27396
88,0,1,0.35,2,0.05,439,0.97174,1.0,1.0,1.0,0.55657,0.39106
