,pf,block clean threshold,weighting schema,matching threshold,stop count,av sim,sim q1,sim q2,sim q3,sample f-score,f-score
0,0,0.05,0,0.05,21285,0.16796,0.07143,0.10526,0.15385,0.28791,0.04259
1,0,0.05,0,0.17857,21285,0.16796,0.07143,0.10526,0.15385,0.54132,0.11561
2,0,0.05,0,0.30714,21285,0.16796,0.07143,0.10526,0.15385,0.54132,0.11809
3,0,0.05,0,0.43571,21285,0.16796,0.07143,0.10526,0.15385,0.96788,0.78894
4,0,0.05,0,0.56429,21285,0.16796,0.07143,0.10526,0.15385,0.96746,0.93035
5,0,0.05,0,0.69286,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.96062
6,0,0.05,0,0.82143,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.94206
7,0,0.05,0,0.95,21285,0.16796,0.07143,0.10526,0.15385,0.0,0.78195
8,0,0.05,1,0.05,30598,0.17993,0.11111,0.13333,0.16667,0.22013,0.02595
9,0,0.05,1,0.17857,30598,0.17993,0.11111,0.13333,0.16667,0.49775,0.09125
10,0,0.05,1,0.30714,30598,0.17993,0.11111,0.13333,0.16667,0.49775,0.0926
11,0,0.05,1,0.43571,30598,0.17993,0.11111,0.13333,0.16667,0.95896,0.78962
12,0,0.05,1,0.56429,30598,0.17993,0.11111,0.13333,0.16667,0.95614,0.93591
13,0,0.05,1,0.69286,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.9607
14,0,0.05,1,0.82143,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.93874
15,0,0.05,1,0.95,30598,0.17993,0.11111,0.13333,0.16667,0.0,0.77896
16,0,0.05,2,0.05,32077,0.17331,0.10526,0.125,0.15385,0.22137,0.02555
17,0,0.05,2,0.17857,32077,0.17331,0.10526,0.125,0.15385,0.48384,0.08853
18,0,0.05,2,0.30714,32077,0.17331,0.10526,0.125,0.15385,0.48384,0.08984
19,0,0.05,2,0.43571,32077,0.17331,0.10526,0.125,0.15385,0.98097,0.78625
20,0,0.05,2,0.56429,32077,0.17331,0.10526,0.125,0.15385,0.97854,0.93562
21,0,0.05,2,0.69286,32077,0.17331,0.10526,0.125,0.15385,0.0,0.96071
22,0,0.05,2,0.82143,32077,0.17331,0.10526,0.125,0.15385,0.0,0.94306
23,0,0.05,2,0.95,32077,0.17331,0.10526,0.125,0.15385,0.0,0.78294
24,0,0.05,3,0.05,35056,0.15422,0.09091,0.11765,0.14286,0.2053,0.02137
25,0,0.05,3,0.17857,35056,0.15422,0.09091,0.11765,0.14286,0.4154,0.05842
26,0,0.05,3,0.30714,35056,0.15422,0.09091,0.11765,0.14286,0.4154,0.05911
27,0,0.05,3,0.43571,35056,0.15422,0.09091,0.11765,0.14286,0.98097,0.76801
