,q-gram size,blocking threshold,match threshold,precision,recall,f-score,acc
86,4,0.25,0.43,0.87025,0.92581,0.89717,0.97899
87,5,0.25,0.43,0.89828,0.9411,0.91919,0.967
88,4,0.25,0.44,0.87729,0.92581,0.9009,0.97983
89,5,0.25,0.44,0.90489,0.9411,0.92264,0.96853
90,4,0.25,0.45,0.89019,0.92581,0.90765,0.98135
91,5,0.25,0.45,0.91198,0.9411,0.92631,0.97014
92,4,0.25,0.46,0.89756,0.92581,0.91147,0.98219
93,5,0.25,0.46,0.91517,0.9411,0.92795,0.97086
94,4,0.25,0.47,0.90545,0.92581,0.91552,0.98308
95,5,0.25,0.47,0.92284,0.9411,0.93188,0.97256
96,4,0.25,0.48,0.90945,0.92581,0.91756,0.98353
97,5,0.25,0.48,0.92857,0.9411,0.93479,0.97382
98,4,0.25,0.49,0.91752,0.92536,0.92142,0.98437
99,5,0.25,0.49,0.93393,0.94065,0.93728,0.97489
100,4,0.25,0.5,0.91998,0.92536,0.92266,0.98464
101,5,0.25,0.5,0.93435,0.94065,0.93749,0.97498
102,4,0.25,0.51,0.92616,0.92491,0.92553,0.98526
103,5,0.25,0.51,0.93809,0.9402,0.93914,0.9757
104,4,0.25,0.52,0.92909,0.92491,0.927,0.98558
105,5,0.25,0.52,0.93978,0.9402,0.93999,0.97606
106,4,0.25,0.53,0.93113,0.92401,0.92756,0.98571
107,5,0.25,0.53,0.94142,0.9393,0.94036,0.97624
108,4,0.25,0.54,0.93155,0.92401,0.92776,0.98575
109,5,0.25,0.54,0.94139,0.93885,0.94012,0.97615
110,4,0.25,0.55,0.93406,0.92356,0.92878,0.98598
111,5,0.25,0.55,0.94392,0.9384,0.94115,0.9766
112,4,0.25,0.56,0.93573,0.92311,0.92938,0.98611
113,5,0.25,0.56,0.94475,0.93795,0.94134,0.97669
114,4,0.25,0.57,0.94039,0.92221,0.93121,0.98651
115,5,0.25,0.57,0.94857,0.93705,0.94277,0.97732
116,4,0.25,0.58,0.94123,0.92176,0.93139,0.98656
117,5,0.25,0.58,0.94941,0.9366,0.94296,0.97741
118,4,0.25,0.59,0.94294,0.92131,0.932,0.98669
119,5,0.25,0.59,0.95112,0.93615,0.94358,0.97767
120,4,0.25,0.6,0.9464,0.92086,0.93346,0.987
121,5,0.25,0.6,0.95284,0.9357,0.94419,0.97794
122,4,0.25,0.61,0.95035,0.92086,0.93537,0.9874
123,5,0.25,0.61,0.9559,0.9357,0.94569,0.97857
124,4,0.25,0.62,0.95338,0.91951,0.93614,0.98758
125,5,0.25,0.62,0.95849,0.93435,0.94627,0.97884
126,4,0.25,0.63,0.95512,0.91862,0.93651,0.98767
127,5,0.25,0.63,0.96067,0.93345,0.94686,0.97911
128,4,0.25,0.64,0.95779,0.91817,0.93756,0.98789
129,5,0.25,0.64,0.96332,0.933,0.94792,0.97956
130,4,0.25,0.65,0.96002,0.91772,0.93839,0.98807
131,5,0.25,0.65,0.96465,0.93255,0.94833,0.97974
132,4,0.25,0.66,0.96134,0.91682,0.93855,0.98811
133,5,0.25,0.66,0.96642,0.93165,0.94872,0.97992
134,4,0.25,0.67,0.97267,0.91232,0.94153,0.98878
135,5,0.25,0.67,0.97818,0.92716,0.95199,0.98135
136,4,0.25,0.68,0.97496,0.91052,0.94164,0.98883
137,5,0.25,0.68,0.97907,0.92536,0.95146,0.98117
138,4,0.25,0.69,0.97729,0.90962,0.94224,0.98896
139,5,0.25,0.69,0.98092,0.92446,0.95185,0.98135
140,4,0.25,0.7,0.97916,0.90827,0.94238,0.989
141,5,0.25,0.7,0.9823,0.92311,0.95179,0.98135
142,4,0.25,0.71,0.97914,0.90737,0.94189,0.98892
