,q-gram size,blocking threshold,match threshold,precision,recall,f-score,acc
432,4,0.35,0.16,0.65827,0.83408,0.73582,0.84767
433,5,0.35,0.16,0.8125,0.8768,0.84343,0.85961
434,4,0.35,0.17,0.66203,0.83408,0.73816,0.8495
435,5,0.35,0.17,0.81556,0.8768,0.84507,0.86135
436,4,0.35,0.18,0.6644,0.83408,0.73963,0.85064
437,5,0.35,0.18,0.81658,0.8768,0.84562,0.86194
438,4,0.35,0.19,0.66583,0.83408,0.74052,0.85133
439,5,0.35,0.19,0.81761,0.8768,0.84617,0.86252
440,4,0.35,0.2,0.66895,0.83408,0.74244,0.85281
441,5,0.35,0.2,0.82105,0.8768,0.84801,0.86446
442,4,0.35,0.21,0.67016,0.83408,0.74319,0.85339
443,5,0.35,0.21,0.82278,0.8768,0.84893,0.86543
444,4,0.35,0.22,0.67064,0.83408,0.74348,0.85361
445,5,0.35,0.22,0.82418,0.8768,0.84968,0.8662
446,4,0.35,0.23,0.67137,0.83408,0.74393,0.85396
447,5,0.35,0.23,0.82452,0.8768,0.84986,0.8664
448,4,0.35,0.24,0.67332,0.83408,0.74513,0.85487
449,5,0.35,0.24,0.82697,0.8768,0.85116,0.86775
450,4,0.35,0.25,0.67504,0.83408,0.74618,0.85567
451,5,0.35,0.25,0.83014,0.8768,0.85283,0.8695
452,4,0.35,0.26,0.67676,0.83408,0.74723,0.85647
453,5,0.35,0.26,0.8312,0.8768,0.85339,0.87008
454,4,0.35,0.27,0.67874,0.83408,0.74843,0.85739
455,5,0.35,0.27,0.83227,0.8768,0.85395,0.87066
456,4,0.35,0.28,0.67974,0.83408,0.74904,0.85785
457,5,0.35,0.28,0.83298,0.8768,0.85433,0.87105
458,4,0.35,0.29,0.68048,0.83408,0.74949,0.85819
459,5,0.35,0.29,0.8344,0.8768,0.85507,0.87182
460,4,0.35,0.3,0.68123,0.83408,0.74995,0.85853
461,5,0.35,0.3,0.83476,0.8768,0.85526,0.87202
462,4,0.35,0.31,0.68349,0.83408,0.75131,0.85956
463,5,0.35,0.31,0.83655,0.8768,0.8562,0.87299
464,4,0.35,0.32,0.68425,0.83408,0.75177,0.8599
465,5,0.35,0.32,0.83691,0.8768,0.85639,0.87318
466,4,0.35,0.33,0.68627,0.83408,0.75299,0.86082
467,5,0.35,0.33,0.83907,0.8768,0.85752,0.87435
468,4,0.35,0.34,0.75132,0.83408,0.79054,0.88758
469,5,0.35,0.34,0.8686,0.8768,0.87268,0.88966
470,4,0.35,0.35,0.76875,0.83408,0.80008,0.89398
471,5,0.35,0.35,0.87759,0.8768,0.87719,0.89412
472,4,0.35,0.36,0.82116,0.83408,0.82757,0.9116
473,5,0.35,0.36,0.9032,0.8768,0.8898,0.90634
474,4,0.35,0.37,0.84858,0.83408,0.84127,0.91995
475,5,0.35,0.37,0.91335,0.8768,0.8947,0.91099
476,4,0.35,0.38,0.87459,0.83408,0.85385,0.92738
477,5,0.35,0.38,0.92286,0.8768,0.89924,0.91526
478,4,0.35,0.39,0.88884,0.83408,0.86059,0.93127
479,5,0.35,0.39,0.93525,0.8768,0.90508,0.92069
480,4,0.35,0.4,0.904,0.83408,0.86763,0.93527
481,5,0.35,0.4,0.94614,0.8768,0.91015,0.92534
482,4,0.35,0.41,0.90887,0.83408,0.86987,0.93653
483,5,0.35,0.41,0.95122,0.8768,0.9125,0.92748
484,4,0.35,0.42,0.91515,0.83408,0.87274,0.93813
485,5,0.35,0.42,0.95308,0.8768,0.91335,0.92825
486,4,0.35,0.43,0.92105,0.83408,0.87541,0.93962
487,5,0.35,0.43,0.95495,0.8768,0.91421,0.92903
488,4,0.35,0.44,0.92473,0.83408,0.87707,0.94053
489,5,0.35,0.44,0.95823,0.8768,0.91571,0.93039
490,4,0.35,0.45,0.9331,0.83408,0.88082,0.94259
491,5,0.35,0.45,0.96106,0.8768,0.917,0.93155
492,4,0.35,0.46,0.93498,0.83408,0.88165,0.94305
493,5,0.35,0.46,0.96154,0.8768,0.91722,0.93174
494,4,0.35,0.47,0.93734,0.83408,0.8827,0.94362
495,5,0.35,0.47,0.96391,0.8768,0.91829,0.93271
496,4,0.35,0.48,0.93924,0.83408,0.88354,0.94408
497,5,0.35,0.48,0.9663,0.8768,0.91938,0.93368
498,4,0.35,0.49,0.94159,0.83363,0.88433,0.94453
499,5,0.35,0.49,0.96725,0.87635,0.91956,0.93388
500,4,0.35,0.5,0.94207,0.83363,0.88454,0.94465
501,5,0.35,0.5,0.96773,0.87635,0.91978,0.93407
502,4,0.35,0.51,0.94637,0.83318,0.88618,0.94556
503,5,0.35,0.51,0.97109,0.8759,0.92104,0.93523
504,4,0.35,0.52,0.94686,0.83318,0.88639,0.94568
505,5,0.35,0.52,0.97157,0.8759,0.92126,0.93543
506,4,0.35,0.53,0.94826,0.83228,0.88649,0.94579
507,5,0.35,0.53,0.973,0.875,0.9214,0.93562
508,4,0.35,0.54,0.94826,0.83228,0.88649,0.94579
509,5,0.35,0.54,0.97299,0.87455,0.92115,0.93543
510,4,0.35,0.55,0.95116,0.83183,0.8875,0.94636
511,5,0.35,0.55,0.97492,0.8741,0.92176,0.93601
512,4,0.35,0.56,0.95211,0.83138,0.88766,0.94648
513,5,0.35,0.56,0.97589,0.87365,0.92194,0.9362
514,4,0.35,0.57,0.95551,0.83049,0.88862,0.94705
515,5,0.35,0.57,0.97783,0.87275,0.92231,0.93659
516,4,0.35,0.58,0.95549,0.83004,0.88836,0.94694
517,5,0.35,0.58,0.97881,0.8723,0.92249,0.93678
518,4,0.35,0.59,0.95745,0.82959,0.88895,0.94728
519,5,0.35,0.59,0.98028,0.87185,0.92289,0.93717
520,4,0.35,0.6,0.95942,0.82914,0.88954,0.94762
521,5,0.35,0.6,0.98127,0.8714,0.92308,0.93737
522,4,0.35,0.61,0.96242,0.82914,0.89082,0.94831
523,5,0.35,0.61,0.98326,0.8714,0.92396,0.93814
524,4,0.35,0.62,0.96438,0.82779,0.89088,0.94842
525,5,0.35,0.62,0.98323,0.87005,0.92318,0.93756
526,4,0.35,0.63,0.96588,0.82734,0.89126,0.94865
527,5,0.35,0.63,0.98372,0.8696,0.92315,0.93756
528,4,0.35,0.64,0.9684,0.82689,0.89207,0.94911
529,5,0.35,0.64,0.98422,0.86915,0.92311,0.93756
530,4,0.35,0.65,0.97095,0.82644,0.89289,0.94957
531,5,0.35,0.65,0.98421,0.86871,0.92286,0.93737
532,4,0.35,0.66,0.97194,0.82554,0.89278,0.94957
533,5,0.35,0.66,0.9852,0.86781,0.92279,0.93737
534,4,0.35,0.67,0.98121,0.82194,0.89454,0.95071
535,5,0.35,0.67,0.99021,0.86376,0.92267,0.93756
536,4,0.35,0.68,0.98224,0.82059,0.89417,0.95059
537,5,0.35,0.68,0.99121,0.86241,0.92234,0.93737
538,4,0.35,0.69,0.98382,0.82014,0.89455,0.95082
539,5,0.35,0.69,0.99223,0.86151,0.92226,0.93737
540,4,0.35,0.7,0.98486,0.81879,0.89418,0.95071
541,5,0.35,0.7,0.99273,0.86016,0.9217,0.93698
542,4,0.35,0.71,0.98484,0.8179,0.89364,0.95048
543,5,0.35,0.71,0.99273,0.85926,0.92119,0.93659
544,4,0.35,0.72,0.98693,0.81475,0.89261,0.95014
545,5,0.35,0.72,0.99322,0.85656,0.91984,0.93562
546,4,0.35,0.73,0.98961,0.8134,0.89289,0.95037
547,5,0.35,0.73,0.99425,0.85522,0.91951,0.93543
548,4,0.35,0.74,0.99012,0.81115,0.89174,0.94991
549,5,0.35,0.74,0.99476,0.85297,0.91842,0.93465
550,4,0.35,0.75,0.99173,0.80845,0.89076,0.94957
551,5,0.35,0.75,0.99526,0.84982,0.91681,0.93349
552,4,0.35,0.76,0.99221,0.80171,0.88685,0.94796
553,5,0.35,0.76,0.99575,0.84353,0.91334,0.93097
554,4,0.35,0.77,0.99219,0.79946,0.88546,0.94739
555,5,0.35,0.77,0.99574,0.84083,0.91175,0.9298
556,4,0.35,0.78,0.99376,0.78777,0.87886,0.94476
557,5,0.35,0.78,0.99676,0.82959,0.90552,0.92534
558,4,0.35,0.79,0.99372,0.78237,0.87547,0.94339
559,5,0.35,0.79,0.99673,0.82329,0.90175,0.92263
560,4,0.35,0.8,0.99481,0.77563,0.87165,0.9419
561,5,0.35,0.8,0.9978,0.8161,0.89785,0.91991
562,4,0.35,0.81,0.99534,0.76888,0.86758,0.9403
563,5,0.35,0.81,0.99833,0.808,0.89314,0.91662
564,4,0.35,0.82,0.99531,0.76304,0.86383,0.93882
565,5,0.35,0.82,0.99832,0.80216,0.88955,0.9141
566,4,0.35,0.83,0.99529,0.75944,0.86151,0.9379
567,5,0.35,0.83,0.99831,0.79856,0.88733,0.91255
568,4,0.35,0.84,0.99515,0.73741,0.84711,0.9323
569,5,0.35,0.84,0.99826,0.77608,0.87326,0.90285
570,4,0.35,0.85,0.99511,0.73246,0.84382,0.93104
571,5,0.35,0.85,0.99825,0.77068,0.86983,0.90052
572,4,0.35,0.86,0.99565,0.72032,0.8359,0.92806
573,5,0.35,0.86,0.99881,0.75764,0.86167,0.89509
574,4,0.35,0.87,0.99552,0.69919,0.82145,0.92269
575,5,0.35,0.87,0.99878,0.73606,0.84753,0.88579
576,4,0.35,0.88,0.99608,0.68525,0.81193,0.91926
577,5,0.35,0.88,0.99938,0.72257,0.83873,0.88016
578,4,0.35,0.89,0.99592,0.65872,0.79296,0.91251
579,5,0.35,0.89,0.99935,0.69559,0.82025,0.86853
580,4,0.35,0.9,0.9959,0.65558,0.79068,0.91171
581,5,0.35,0.9,0.99935,0.692,0.81775,0.86698
582,4,0.35,0.91,0.99571,0.62635,0.76898,0.90428
583,5,0.35,0.91,0.99932,0.66187,0.79632,0.85398
584,4,0.35,0.92,0.99557,0.60567,0.75315,0.89902
585,5,0.35,0.92,0.9993,0.64074,0.78082,0.84487
586,4,0.35,0.93,0.99694,0.58588,0.73803,0.89421
587,5,0.35,0.93,0.99928,0.62185,0.76663,0.83673
588,4,0.35,0.94,0.99838,0.55486,0.7133,0.88655
589,5,0.35,0.94,0.99924,0.58768,0.74009,0.82199
590,4,0.35,0.95,0.99833,0.53732,0.69863,0.88209
591,5,0.35,0.95,1.0,0.57014,0.72623,0.81462
592,4,0.35,0.96,0.99825,0.51304,0.67776,0.87591
593,5,0.35,0.96,1.0,0.54631,0.7066,0.80434
594,4,0.35,0.97,0.99818,0.49371,0.66065,0.871
595,5,0.35,0.97,1.0,0.52428,0.68791,0.79484
596,4,0.35,0.98,0.99815,0.48426,0.65213,0.8686
597,5,0.35,0.98,1.0,0.51484,0.67973,0.79077
598,4,0.35,0.99,0.99814,0.48291,0.65091,0.86825
599,5,0.35,0.99,1.0,0.51349,0.67855,0.79019
600,4,0.4,0.0,0.32448,0.78597,0.45933,0.29814
601,5,0.4,0.0,0.5911,0.83004,0.69048,0.52728
602,4,0.4,0.01,0.41589,0.78597,0.54395,0.50009
603,5,0.4,0.01,0.65811,0.83004,0.73414,0.61811
604,4,0.4,0.02,0.47707,0.78597,0.59375,0.59202
605,5,0.4,0.02,0.70351,0.83004,0.76156,0.66981
606,4,0.4,0.03,0.54625,0.78597,0.64454,0.67116
607,5,0.4,0.03,0.76344,0.83004,0.79535,0.72865
608,4,0.4,0.04,0.60758,0.78597,0.68536,0.72625
609,5,0.4,0.04,0.80506,0.83004,0.81736,0.76435
610,4,0.4,0.05,0.65248,0.78597,0.71303,0.76002
611,5,0.4,0.05,0.83492,0.83004,0.83247,0.78777
612,4,0.4,0.06,0.68016,0.78597,0.72925,0.77861
613,5,0.4,0.06,0.85108,0.83004,0.84043,0.79977
614,4,0.4,0.07,0.70484,0.78597,0.7432,0.79396
615,5,0.4,0.07,0.86626,0.83004,0.84776,0.81063
616,4,0.4,0.08,0.71964,0.78597,0.75134,0.80266
617,5,0.4,0.08,0.87947,0.83004,0.85404,0.81977
618,4,0.4,0.09,0.73016,0.78597,0.75704,0.80863
619,5,0.4,0.09,0.88622,0.83004,0.85721,0.82434
620,4,0.4,0.1,0.73755,0.78597,0.76099,0.81272
621,5,0.4,0.1,0.89136,0.83004,0.85961,0.82776
622,4,0.4,0.11,0.74068,0.78597,0.76265,0.81443
623,5,0.4,0.11,0.89265,0.83004,0.86021,0.82862
624,4,0.4,0.12,0.7451,0.78597,0.76499,0.81682
625,5,0.4,0.12,0.89655,0.83004,0.86201,0.83119
626,4,0.4,0.13,0.74861,0.78597,0.76684,0.81869
627,5,0.4,0.13,0.89786,0.83004,0.86262,0.83205
628,4,0.4,0.14,0.75086,0.78597,0.76801,0.81989
629,5,0.4,0.14,0.89873,0.83004,0.86302,0.83262
630,4,0.4,0.15,0.75475,0.78597,0.77004,0.82193
631,5,0.4,0.15,0.89917,0.83004,0.86322,0.8329
632,4,0.4,0.16,0.75769,0.78597,0.77157,0.82347
633,5,0.4,0.16,0.90005,0.83004,0.86363,0.83348
634,4,0.4,0.17,0.76132,0.78597,0.77345,0.82535
635,5,0.4,0.17,0.90049,0.83004,0.86383,0.83376
636,4,0.4,0.18,0.76265,0.78597,0.77413,0.82603
637,5,0.4,0.18,0.90137,0.83004,0.86424,0.83433
638,4,0.4,0.19,0.76299,0.78597,0.77431,0.8262
639,5,0.4,0.19,0.90181,0.83004,0.86444,0.83462
640,4,0.4,0.2,0.76599,0.78597,0.77585,0.82773
641,5,0.4,0.2,0.90446,0.83004,0.86565,0.83633
642,4,0.4,0.21,0.767,0.78597,0.77637,0.82824
643,5,0.4,0.21,0.9049,0.83004,0.86585,0.83662
644,4,0.4,0.22,0.76768,0.78597,0.77672,0.82859
645,5,0.4,0.22,0.90623,0.83004,0.86646,0.83748
646,4,0.4,0.23,0.76835,0.78597,0.77706,0.82893
647,5,0.4,0.23,0.90668,0.83004,0.86667,0.83776
648,4,0.4,0.24,0.77072,0.78597,0.77827,0.83012
649,5,0.4,0.24,0.90846,0.83004,0.86748,0.8389
650,4,0.4,0.25,0.77311,0.78597,0.77949,0.83132
651,5,0.4,0.25,0.91071,0.83004,0.86851,0.84033
652,4,0.4,0.26,0.77517,0.78597,0.78053,0.83234
653,5,0.4,0.26,0.91115,0.83004,0.86871,0.84062
654,4,0.4,0.27,0.77585,0.78597,0.78088,0.83268
655,5,0.4,0.27,0.9116,0.83004,0.86891,0.8409
656,4,0.4,0.28,0.77723,0.78597,0.78158,0.83336
657,5,0.4,0.28,0.9116,0.83004,0.86891,0.8409
658,4,0.4,0.29,0.77723,0.78597,0.78158,0.83336
659,5,0.4,0.29,0.91206,0.83004,0.86912,0.84119
660,4,0.4,0.3,0.77758,0.78597,0.78175,0.83353
661,5,0.4,0.3,0.91206,0.83004,0.86912,0.84119
662,4,0.4,0.31,0.77931,0.78597,0.78263,0.83439
663,5,0.4,0.31,0.91296,0.83004,0.86953,0.84176
664,4,0.4,0.32,0.78036,0.78597,0.78315,0.8349
665,5,0.4,0.32,0.91341,0.83004,0.86973,0.84205
666,4,0.4,0.33,0.78175,0.78597,0.78385,0.83558
667,5,0.4,0.33,0.91341,0.83004,0.86973,0.84205
668,4,0.4,0.34,0.82492,0.78597,0.80497,0.85553
669,5,0.4,0.34,0.92904,0.83004,0.87675,0.85176
670,4,0.4,0.35,0.83917,0.78597,0.8117,0.86167
671,5,0.4,0.35,0.93421,0.83004,0.87905,0.8549
672,4,0.4,0.36,0.87226,0.78597,0.82687,0.87515
673,5,0.4,0.36,0.94861,0.83004,0.88537,0.86347
674,4,0.4,0.37,0.89458,0.78597,0.83677,0.88368
675,5,0.4,0.37,0.95401,0.83004,0.88772,0.86661
676,4,0.4,0.38,0.90947,0.78597,0.84322,0.88914
677,5,0.4,0.38,0.95946,0.83004,0.89007,0.86975
678,4,0.4,0.39,0.91759,0.78597,0.8467,0.89203
679,5,0.4,0.39,0.96649,0.83004,0.89308,0.87375
680,4,0.4,0.4,0.92781,0.78597,0.85102,0.89562
681,5,0.4,0.4,0.97312,0.83004,0.8959,0.87746
682,4,0.4,0.41,0.93078,0.78597,0.85227,0.89664
683,5,0.4,0.41,0.97569,0.83004,0.89699,0.87889
684,4,0.4,0.42,0.93326,0.78597,0.85331,0.89749
685,5,0.4,0.42,0.97672,0.83004,0.89743,0.87946
686,4,0.4,0.43,0.93626,0.78597,0.85456,0.89852
687,5,0.4,0.43,0.97775,0.83004,0.89786,0.88003
688,4,0.4,0.44,0.93827,0.78597,0.85539,0.8992
689,5,0.4,0.44,0.98087,0.83004,0.89917,0.88175
690,4,0.4,0.45,0.94486,0.78597,0.85812,0.90142
691,5,0.4,0.45,0.98191,0.83004,0.89961,0.88232
692,4,0.4,0.46,0.9464,0.78597,0.85876,0.90193
693,5,0.4,0.46,0.98244,0.83004,0.89983,0.8826
694,4,0.4,0.47,0.94794,0.78597,0.85939,0.90244
695,5,0.4,0.47,0.98296,0.83004,0.90005,0.88289
696,4,0.4,0.48,0.94948,0.78597,0.86002,0.90295
697,5,0.4,0.48,0.98296,0.83004,0.90005,0.88289
698,4,0.4,0.49,0.95049,0.78552,0.86017,0.90312
699,5,0.4,0.49,0.984,0.82959,0.90022,0.88318
700,4,0.4,0.5,0.95101,0.78552,0.86038,0.90329
701,5,0.4,0.5,0.984,0.82959,0.90022,0.88318
702,4,0.4,0.51,0.95462,0.78507,0.86158,0.90432
703,5,0.4,0.51,0.98504,0.82914,0.90039,0.88346
704,4,0.4,0.52,0.95514,0.78507,0.86179,0.90449
705,5,0.4,0.52,0.98557,0.82914,0.90061,0.88375
706,4,0.4,0.53,0.95666,0.78417,0.86187,0.90466
707,5,0.4,0.53,0.98555,0.82824,0.90007,0.88318
708,4,0.4,0.54,0.95666,0.78417,0.86187,0.90466
709,5,0.4,0.54,0.98555,0.82824,0.90007,0.88318
710,4,0.4,0.55,0.95822,0.78372,0.86223,0.905
711,5,0.4,0.55,0.9866,0.82779,0.90024,0.88346
712,4,0.4,0.56,0.9582,0.78327,0.86195,0.90483
713,5,0.4,0.56,0.98765,0.82734,0.90042,0.88375
714,4,0.4,0.57,0.96026,0.78237,0.86224,0.90517
715,5,0.4,0.57,0.98924,0.82644,0.90054,0.88403
716,4,0.4,0.58,0.96024,0.78192,0.86195,0.905
717,5,0.4,0.58,0.98923,0.82599,0.90027,0.88375
718,4,0.4,0.59,0.96235,0.78147,0.86253,0.90551
719,5,0.4,0.59,0.98976,0.82554,0.90022,0.88375
720,4,0.4,0.6,0.96341,0.78147,0.86295,0.90585
721,5,0.4,0.6,0.99082,0.82509,0.90039,0.88403
722,4,0.4,0.61,0.96663,0.78147,0.86424,0.90687
723,5,0.4,0.61,0.99189,0.82509,0.90083,0.8846
724,4,0.4,0.62,0.96873,0.78013,0.86426,0.90704
725,5,0.4,0.62,0.99188,0.82374,0.90002,0.88375
726,4,0.4,0.63,0.97034,0.77968,0.86462,0.90739
727,5,0.4,0.63,0.99241,0.82329,0.89997,0.88375
728,4,0.4,0.64,0.97196,0.77923,0.86499,0.90773
729,5,0.4,0.64,0.99295,0.82284,0.89993,0.88375
730,4,0.4,0.65,0.97468,0.77878,0.86579,0.90841
731,5,0.4,0.65,0.99294,0.82239,0.89965,0.88346
732,4,0.4,0.66,0.97575,0.77788,0.86565,0.90841
733,5,0.4,0.66,0.99347,0.82149,0.89933,0.88318
734,4,0.4,0.67,0.984,0.77428,0.86663,0.9096
735,5,0.4,0.67,0.99562,0.81745,0.89778,0.88175
736,4,0.4,0.68,0.9851,0.77293,0.86621,0.90943
737,5,0.4,0.68,0.99671,0.8161,0.89741,0.88146
738,4,0.4,0.69,0.98622,0.77248,0.86636,0.9096
739,5,0.4,0.69,0.99725,0.8152,0.89708,0.88118
740,4,0.4,0.7,0.98677,0.77113,0.86572,0.90926
741,5,0.4,0.7,0.9978,0.8143,0.89676,0.88089
742,4,0.4,0.71,0.98675,0.77023,0.86515,0.90892
743,5,0.4,0.71,0.99779,0.8134,0.89621,0.88032
744,4,0.4,0.72,0.9867,0.76709,0.86315,0.90773
745,5,0.4,0.72,0.99779,0.8107,0.89457,0.87861
746,4,0.4,0.73,0.98897,0.76574,0.86316,0.9079
747,5,0.4,0.73,0.99778,0.80935,0.89374,0.87775
748,4,0.4,0.74,0.98951,0.76349,0.86193,0.90721
749,5,0.4,0.74,0.99833,0.8071,0.89259,0.87661
750,4,0.4,0.75,0.99121,0.76079,0.86085,0.9067
751,5,0.4,0.75,0.99832,0.80396,0.89066,0.87461
752,4,0.4,0.76,0.99173,0.7545,0.857,0.90449
753,5,0.4,0.76,0.99887,0.79766,0.887,0.87089
754,4,0.4,0.77,0.99171,0.7527,0.85583,0.9038
755,5,0.4,0.77,0.99887,0.79496,0.88533,0.86918
756,4,0.4,0.78,0.99338,0.74191,0.84942,0.90022
757,5,0.4,0.78,0.99885,0.78417,0.87859,0.86233
758,4,0.4,0.79,0.99333,0.73651,0.84586,0.89817
759,5,0.4,0.79,0.99885,0.77923,0.87548,0.85918
760,4,0.4,0.8,0.9945,0.73156,0.843,0.89664
761,5,0.4,0.8,0.99884,0.77248,0.8712,0.8549
762,4,0.4,0.81,0.99506,0.72482,0.83871,0.89425
763,5,0.4,0.81,0.99941,0.76484,0.86653,0.85033
764,4,0.4,0.82,0.99502,0.71942,0.83507,0.89221
765,5,0.4,0.82,0.99941,0.75944,0.86305,0.8469
766,4,0.4,0.83,0.995,0.71583,0.83264,0.89084
767,5,0.4,0.83,0.99941,0.75585,0.86073,0.84462
768,4,0.4,0.84,0.99485,0.69469,0.81811,0.88282
769,5,0.4,0.84,0.99939,0.73471,0.84685,0.83119
770,4,0.4,0.85,0.99482,0.6902,0.81498,0.88112
771,5,0.4,0.85,0.99938,0.73022,0.84386,0.82833
772,4,0.4,0.86,0.99538,0.67806,0.80663,0.87668
773,5,0.4,0.86,0.99937,0.71808,0.83569,0.82062
774,4,0.4,0.87,0.99523,0.65737,0.79176,0.86884
775,5,0.4,0.87,0.99936,0.69739,0.8215,0.80748
776,4,0.4,0.88,0.99583,0.64388,0.78208,0.86389
777,5,0.4,0.88,0.99934,0.68435,0.81238,0.7992
778,4,0.4,0.89,0.99565,0.61781,0.76249,0.854
779,5,0.4,0.89,0.99932,0.65827,0.79371,0.78263
780,4,0.4,0.9,0.99563,0.61466,0.76008,0.85281
781,5,0.4,0.9,0.99931,0.65513,0.79142,0.78063
782,4,0.4,0.91,0.99542,0.58633,0.73797,0.84206
783,5,0.4,0.91,0.99928,0.62635,0.77004,0.76235
784,4,0.4,0.92,0.99527,0.5679,0.72316,0.83507
785,5,0.4,0.92,0.99926,0.60701,0.75524,0.75007
786,4,0.4,0.93,0.99674,0.54991,0.70878,0.82859
787,5,0.4,0.93,0.99924,0.58993,0.74187,0.73922
788,4,0.4,0.94,0.99827,0.52023,0.684,0.81767
789,5,0.4,0.94,0.9992,0.55845,0.71647,0.71922
790,4,0.4,0.95,0.99822,0.50405,0.66986,0.81153
791,5,0.4,0.95,1.0,0.54137,0.70245,0.70865
792,4,0.4,0.96,0.99813,0.48067,0.64887,0.80266
793,5,0.4,0.96,1.0,0.51799,0.68247,0.6938
794,4,0.4,0.97,0.99805,0.46133,0.63099,0.79533
795,5,0.4,0.97,1.0,0.4973,0.66426,0.68066
796,4,0.4,0.98,0.99802,0.45234,0.62253,0.79192
797,5,0.4,0.98,1.0,0.48786,0.65579,0.67466
798,4,0.4,0.99,0.99801,0.45099,0.62125,0.7914
799,5,0.4,0.99,1.0,0.48651,0.65457,0.67381
800,4,0.45,0.0,0.42779,0.73381,0.54049,0.37032
801,5,0.45,0.0,0.86641,0.79901,0.83135,0.71137
802,4,0.45,0.01,0.52191,0.73381,0.60998,0.52644
803,5,0.45,0.01,0.89567,0.79901,0.84458,0.73819
804,4,0.45,0.02,0.58369,0.73381,0.6502,0.60154
805,5,0.45,0.02,0.91504,0.79901,0.8531,0.755
806,4,0.45,0.03,0.65202,0.73381,0.6905,0.66803
807,5,0.45,0.03,0.93281,0.79901,0.86074,0.76982
808,4,0.45,0.04,0.7068,0.73381,0.72005,0.71205
809,5,0.45,0.04,0.94925,0.79901,0.86767,0.78303
810,4,0.45,0.05,0.74283,0.73381,0.73829,0.73746
811,5,0.45,0.05,0.95333,0.79901,0.86937,0.78623
812,4,0.45,0.06,0.76584,0.73381,0.74948,0.75244
813,5,0.45,0.06,0.95847,0.79901,0.87151,0.79023
814,4,0.45,0.07,0.78651,0.73381,0.75925,0.76515
815,5,0.45,0.07,0.96314,0.79901,0.87343,0.79384
816,4,0.45,0.08,0.79961,0.73381,0.7653,0.77286
817,5,0.45,0.08,0.96681,0.79901,0.87494,0.79664
818,4,0.45,0.09,0.80792,0.73381,0.76908,0.77763
819,5,0.45,0.09,0.96839,0.79901,0.87558,0.79784
820,4,0.45,0.1,0.81356,0.73381,0.77163,0.7808
821,5,0.45,0.1,0.97051,0.79901,0.87645,0.79944
822,4,0.45,0.11,0.81559,0.73381,0.77254,0.78194
823,5,0.45,0.11,0.97157,0.79901,0.87688,0.80024
824,4,0.45,0.12,0.81846,0.73381,0.77383,0.78353
825,5,0.45,0.12,0.97157,0.79901,0.87688,0.80024
826,4,0.45,0.13,0.82051,0.73381,0.77474,0.78466
827,5,0.45,0.13,0.97157,0.79901,0.87688,0.80024
828,4,0.45,0.14,0.82217,0.73381,0.77548,0.78557
829,5,0.45,0.14,0.97157,0.79901,0.87688,0.80024
830,4,0.45,0.15,0.82675,0.73381,0.77751,0.78806
831,5,0.45,0.15,0.97157,0.79901,0.87688,0.80024
832,4,0.45,0.16,0.83011,0.73381,0.779,0.78988
833,5,0.45,0.16,0.9721,0.79901,0.8771,0.80064
834,4,0.45,0.17,0.83308,0.73381,0.7803,0.79147
835,5,0.45,0.17,0.9721,0.79901,0.8771,0.80064
836,4,0.45,0.18,0.83393,0.73381,0.78067,0.79192
837,5,0.45,0.18,0.9721,0.79901,0.8771,0.80064
838,4,0.45,0.19,0.83436,0.73381,0.78086,0.79215
839,5,0.45,0.19,0.9721,0.79901,0.8771,0.80064
840,4,0.45,0.2,0.83607,0.73381,0.78161,0.79306
841,5,0.45,0.2,0.97317,0.79901,0.87753,0.80144
842,4,0.45,0.21,0.83692,0.73381,0.78198,0.79351
843,5,0.45,0.21,0.9737,0.79901,0.87775,0.80184
844,4,0.45,0.22,0.83778,0.73381,0.78236,0.79396
845,5,0.45,0.22,0.9737,0.79901,0.87775,0.80184
846,4,0.45,0.23,0.83821,0.73381,0.78254,0.79419
847,5,0.45,0.23,0.9737,0.79901,0.87775,0.80184
848,4,0.45,0.24,0.84124,0.73381,0.78386,0.79578
849,5,0.45,0.24,0.97423,0.79901,0.87796,0.80224
850,4,0.45,0.25,0.84385,0.73381,0.78499,0.79714
851,5,0.45,0.25,0.97423,0.79901,0.87796,0.80224
852,4,0.45,0.26,0.8456,0.73381,0.78575,0.79805
853,5,0.45,0.26,0.97477,0.79901,0.87818,0.80264
854,4,0.45,0.27,0.84647,0.73381,0.78612,0.7985
855,5,0.45,0.27,0.9753,0.79901,0.8784,0.80304
856,4,0.45,0.28,0.84735,0.73381,0.7865,0.79896
857,5,0.45,0.28,0.9753,0.79901,0.8784,0.80304
858,4,0.45,0.29,0.84735,0.73381,0.7865,0.79896
859,5,0.45,0.29,0.9753,0.79901,0.8784,0.80304
860,4,0.45,0.3,0.84779,0.73381,0.78669,0.79918
861,5,0.45,0.3,0.9753,0.79901,0.8784,0.80304
862,4,0.45,0.31,0.84912,0.73381,0.78727,0.79986
863,5,0.45,0.31,0.9753,0.79901,0.8784,0.80304
864,4,0.45,0.32,0.84956,0.73381,0.78745,0.80009
865,5,0.45,0.32,0.97584,0.79901,0.87862,0.80344
866,4,0.45,0.33,0.85089,0.73381,0.78802,0.80077
867,5,0.45,0.33,0.97584,0.79901,0.87862,0.80344
868,4,0.45,0.34,0.88312,0.73381,0.80157,0.81666
