,pf,block clean threshold,weighting schema,matching threshold,f-score
154,0,0.56429,3,0.30714,0.80054
155,0,0.56429,3,0.43571,0.92609
156,0,0.56429,3,0.56429,0.95596
157,0,0.56429,3,0.69286,0.97063
158,0,0.56429,3,0.82143,0.95766
159,0,0.56429,3,0.95,0.80504
160,0,0.69286,0,0.05,0.71811
161,0,0.69286,0,0.17857,0.8654
162,0,0.69286,0,0.30714,0.88136
163,0,0.69286,0,0.43571,0.95156
164,0,0.69286,0,0.56429,0.96714
165,0,0.69286,0,0.69286,0.98428
166,0,0.69286,0,0.82143,0.95785
167,0,0.69286,0,0.95,0.80673
168,0,0.69286,1,0.05,0.61315
169,0,0.69286,1,0.17857,0.77971
170,0,0.69286,1,0.30714,0.80054
171,0,0.69286,1,0.43571,0.92609
172,0,0.69286,1,0.56429,0.95596
173,0,0.69286,1,0.69286,0.97063
174,0,0.69286,1,0.82143,0.95766
175,0,0.69286,1,0.95,0.80504
176,0,0.69286,2,0.05,0.61315
177,0,0.69286,2,0.17857,0.77971
178,0,0.69286,2,0.30714,0.80054
179,0,0.69286,2,0.43571,0.92609
180,0,0.69286,2,0.56429,0.95596
181,0,0.69286,2,0.69286,0.97063
182,0,0.69286,2,0.82143,0.95766
183,0,0.69286,2,0.95,0.80504
184,0,0.69286,3,0.05,0.61315
185,0,0.69286,3,0.17857,0.77971
186,0,0.69286,3,0.30714,0.80054
187,0,0.69286,3,0.43571,0.92609
188,0,0.69286,3,0.56429,0.95596
189,0,0.69286,3,0.69286,0.97063
190,0,0.69286,3,0.82143,0.95766
191,0,0.69286,3,0.95,0.80504
192,0,0.82143,0,0.05,0.71811
193,0,0.82143,0,0.17857,0.8654
194,0,0.82143,0,0.30714,0.88136
195,0,0.82143,0,0.43571,0.95156
196,0,0.82143,0,0.56429,0.96714
197,0,0.82143,0,0.69286,0.98428
198,0,0.82143,0,0.82143,0.95785
199,0,0.82143,0,0.95,0.80673
200,0,0.82143,1,0.05,0.61315
201,0,0.82143,1,0.17857,0.77971
202,0,0.82143,1,0.30714,0.80054
203,0,0.82143,1,0.43571,0.92609
204,0,0.82143,1,0.56429,0.95596
205,0,0.82143,1,0.69286,0.97063
206,0,0.82143,1,0.82143,0.95766
207,0,0.82143,1,0.95,0.80504
208,0,0.82143,2,0.05,0.61315
209,0,0.82143,2,0.17857,0.77971
210,0,0.82143,2,0.30714,0.80054
211,0,0.82143,2,0.43571,0.92609
212,0,0.82143,2,0.56429,0.95596
213,0,0.82143,2,0.69286,0.97063
214,0,0.82143,2,0.82143,0.95766
215,0,0.82143,2,0.95,0.80504
216,0,0.82143,3,0.05,0.61315
217,0,0.82143,3,0.17857,0.77971
218,0,0.82143,3,0.30714,0.80054
219,0,0.82143,3,0.43571,0.92609
220,0,0.82143,3,0.56429,0.95596
221,0,0.82143,3,0.69286,0.97063
222,0,0.82143,3,0.82143,0.95766
223,0,0.82143,3,0.95,0.80504
224,0,0.95,0,0.05,0.71811
225,0,0.95,0,0.17857,0.8654
226,0,0.95,0,0.30714,0.88136
227,0,0.95,0,0.43571,0.95156
228,0,0.95,0,0.56429,0.96714
229,0,0.95,0,0.69286,0.98428
230,0,0.95,0,0.82143,0.95785
231,0,0.95,0,0.95,0.80673
232,0,0.95,1,0.05,0.61315
233,0,0.95,1,0.17857,0.77971
234,0,0.95,1,0.30714,0.80054
235,0,0.95,1,0.43571,0.92609
236,0,0.95,1,0.56429,0.95596
237,0,0.95,1,0.69286,0.97063
238,0,0.95,1,0.82143,0.95766
239,0,0.95,1,0.95,0.80504
240,0,0.95,2,0.05,0.61315
241,0,0.95,2,0.17857,0.77971
242,0,0.95,2,0.30714,0.80054
243,0,0.95,2,0.43571,0.92609
244,0,0.95,2,0.56429,0.95596
245,0,0.95,2,0.69286,0.97063
246,0,0.95,2,0.82143,0.95766
247,0,0.95,2,0.95,0.80504
248,0,0.95,3,0.05,0.61315
249,0,0.95,3,0.17857,0.77971
250,0,0.95,3,0.30714,0.80054
251,0,0.95,3,0.43571,0.92609
252,0,0.95,3,0.56429,0.95596
253,0,0.95,3,0.69286,0.97063
254,0,0.95,3,0.82143,0.95766
255,0,0.95,3,0.95,0.80504
256,1,0.05,0,0.05,0.75354
257,1,0.05,0,0.17857,0.87156
258,1,0.05,0,0.30714,0.88963
259,1,0.05,0,0.43571,0.94729
260,1,0.05,0,0.56429,0.96232
261,1,0.05,0,0.69286,0.98179
262,1,0.05,0,0.82143,0.95567
263,1,0.05,0,0.95,0.78504
