,init pf,init block clean threshold,init weighting schema,init matching threshold,f-score goal,rank iterations,rank f-score,grid search iterations,grid search f-score
88,0,0.30714,3,0.05,0.8,5,0.82628,2.0,0.95538
89,0,0.30714,3,0.17857,0.8,5,0.88974,2.0,0.95538
90,0,0.30714,3,0.30714,0.8,5,0.90211,2.0,0.95538
91,0,0.30714,3,0.43571,0.8,1,0.9253,2.0,0.95538
92,0,0.30714,3,0.56429,0.8,1,0.95995,2.0,0.95538
93,0,0.30714,3,0.69286,0.8,1,0.97403,2.0,0.95538
94,0,0.30714,3,0.82143,0.8,1,0.95041,2.0,0.95538
95,0,0.30714,3,0.95,0.8,5,0.8133,2.0,0.95538
96,0,0.43571,0,0.05,0.8,10,0.8654,2.0,0.95538
97,0,0.43571,0,0.17857,0.8,1,0.81796,2.0,0.95538
98,0,0.43571,0,0.30714,0.8,1,0.8359,2.0,0.95538
99,0,0.43571,0,0.43571,0.8,1,0.95285,2.0,0.95538
100,0,0.43571,0,0.56429,0.8,1,0.9723,2.0,0.95538
101,0,0.43571,0,0.69286,0.8,1,0.98409,2.0,0.95538
102,0,0.43571,0,0.82143,0.8,1,0.95684,2.0,0.95538
103,0,0.43571,0,0.95,0.8,1,0.80271,2.0,0.95538
104,0,0.43571,1,0.05,0.8,1,0.88954,2.0,0.95538
105,0,0.43571,1,0.17857,0.8,1,0.90963,2.0,0.95538
106,0,0.43571,1,0.30714,0.8,1,0.92086,2.0,0.95538
107,0,0.43571,1,0.43571,0.8,1,0.96469,2.0,0.95538
108,0,0.43571,1,0.56429,0.8,1,0.97791,2.0,0.95538
109,0,0.43571,1,0.69286,0.8,1,0.98599,2.0,0.95538
110,0,0.43571,1,0.82143,0.8,1,0.96214,2.0,0.95538
111,0,0.43571,1,0.95,0.8,1,0.8179,2.0,0.95538
112,0,0.43571,2,0.05,0.8,1,0.88807,2.0,0.95538
113,0,0.43571,2,0.17857,0.8,1,0.90925,2.0,0.95538
114,0,0.43571,2,0.30714,0.8,1,0.92023,2.0,0.95538
115,0,0.43571,2,0.43571,0.8,1,0.96452,2.0,0.95538
116,0,0.43571,2,0.56429,0.8,1,0.97744,2.0,0.95538
117,0,0.43571,2,0.69286,0.8,1,0.98565,2.0,0.95538
118,0,0.43571,2,0.82143,0.8,1,0.96164,2.0,0.95538
119,0,0.43571,2,0.95,0.8,1,0.81708,2.0,0.95538
120,0,0.43571,3,0.05,0.8,1,0.82628,2.0,0.95538
121,0,0.43571,3,0.17857,0.8,1,0.88974,2.0,0.95538
122,0,0.43571,3,0.30714,0.8,1,0.90211,2.0,0.95538
123,0,0.43571,3,0.43571,0.8,1,0.96118,2.0,0.95538
124,0,0.43571,3,0.56429,0.8,1,0.97825,2.0,0.95538
125,0,0.43571,3,0.69286,0.8,1,0.98586,2.0,0.95538
126,0,0.43571,3,0.82143,0.8,1,0.9601,2.0,0.95538
127,0,0.43571,3,0.95,0.8,1,0.8133,2.0,0.95538
128,0,0.56429,0,0.05,0.8,10,0.8654,2.0,0.95538
129,0,0.56429,0,0.17857,0.8,1,0.8654,2.0,0.95538
130,0,0.56429,0,0.30714,0.8,1,0.88136,2.0,0.95538
131,0,0.56429,0,0.43571,0.8,1,0.95156,2.0,0.95538
132,0,0.56429,0,0.56429,0.8,1,0.96714,2.0,0.95538
133,0,0.56429,0,0.69286,0.8,1,0.98428,2.0,0.95538
134,0,0.56429,0,0.82143,0.8,1,0.95785,2.0,0.95538
135,0,0.56429,0,0.95,0.8,1,0.80673,2.0,0.95538
136,0,0.56429,1,0.05,0.8,6,0.88954,2.0,0.95538
137,0,0.56429,1,0.17857,0.8,5,0.85255,2.0,0.95538
138,0,0.56429,1,0.30714,0.8,1,0.80054,2.0,0.95538
139,0,0.56429,1,0.43571,0.8,1,0.92609,2.0,0.95538
140,0,0.56429,1,0.56429,0.8,1,0.95596,2.0,0.95538
141,0,0.56429,1,0.69286,0.8,1,0.97063,2.0,0.95538
142,0,0.56429,1,0.82143,0.8,1,0.95766,2.0,0.95538
143,0,0.56429,1,0.95,0.8,1,0.80504,2.0,0.95538
144,0,0.56429,2,0.05,0.8,6,0.88807,2.0,0.95538
145,0,0.56429,2,0.17857,0.8,5,0.83558,2.0,0.95538
146,0,0.56429,2,0.30714,0.8,1,0.80054,2.0,0.95538
147,0,0.56429,2,0.43571,0.8,1,0.92609,2.0,0.95538
148,0,0.56429,2,0.56429,0.8,1,0.95596,2.0,0.95538
149,0,0.56429,2,0.69286,0.8,1,0.97063,2.0,0.95538
150,0,0.56429,2,0.82143,0.8,1,0.95766,2.0,0.95538
151,0,0.56429,2,0.95,0.8,1,0.80504,2.0,0.95538
152,0,0.56429,3,0.05,0.8,6,0.82628,2.0,0.95538
153,0,0.56429,3,0.17857,0.8,6,0.88974,2.0,0.95538
154,0,0.56429,3,0.30714,0.8,1,0.80054,2.0,0.95538
155,0,0.56429,3,0.43571,0.8,1,0.92609,2.0,0.95538
156,0,0.56429,3,0.56429,0.8,1,0.95596,2.0,0.95538
157,0,0.56429,3,0.69286,0.8,1,0.97063,2.0,0.95538
158,0,0.56429,3,0.82143,0.8,1,0.95766,2.0,0.95538
159,0,0.56429,3,0.95,0.8,1,0.80504,2.0,0.95538
160,0,0.69286,0,0.05,0.8,10,0.8654,2.0,0.95538
161,0,0.69286,0,0.17857,0.8,1,0.8654,2.0,0.95538
162,0,0.69286,0,0.30714,0.8,1,0.88136,2.0,0.95538
163,0,0.69286,0,0.43571,0.8,1,0.95156,2.0,0.95538
164,0,0.69286,0,0.56429,0.8,1,0.96714,2.0,0.95538
165,0,0.69286,0,0.69286,0.8,1,0.98428,2.0,0.95538
166,0,0.69286,0,0.82143,0.8,1,0.95785,2.0,0.95538
167,0,0.69286,0,0.95,0.8,1,0.80673,2.0,0.95538
168,0,0.69286,1,0.05,0.8,6,0.88954,2.0,0.95538
169,0,0.69286,1,0.17857,0.8,5,0.85255,2.0,0.95538
170,0,0.69286,1,0.30714,0.8,1,0.80054,2.0,0.95538
171,0,0.69286,1,0.43571,0.8,1,0.92609,2.0,0.95538
172,0,0.69286,1,0.56429,0.8,1,0.95596,2.0,0.95538
173,0,0.69286,1,0.69286,0.8,1,0.97063,2.0,0.95538
174,0,0.69286,1,0.82143,0.8,1,0.95766,2.0,0.95538
175,0,0.69286,1,0.95,0.8,1,0.80504,2.0,0.95538
176,0,0.69286,2,0.05,0.8,6,0.88807,2.0,0.95538
177,0,0.69286,2,0.17857,0.8,5,0.83558,2.0,0.95538
178,0,0.69286,2,0.30714,0.8,1,0.80054,2.0,0.95538
179,0,0.69286,2,0.43571,0.8,1,0.92609,2.0,0.95538
180,0,0.69286,2,0.56429,0.8,1,0.95596,2.0,0.95538
181,0,0.69286,2,0.69286,0.8,1,0.97063,2.0,0.95538
182,0,0.69286,2,0.82143,0.8,1,0.95766,2.0,0.95538
