,q size,pf,block clean threshold,weighting schema,matching threshold,cur_f
0,5,0,0.65,3,0.95,0.0
1,5,0,0.35,3,0.95,0.0
2,0,0,0.65,3,0.95,0.0
3,0,0,0.35,2,0.95,0.0
4,5,0,0.95,1,0.95,0.0
5,4,0,0.35,2,0.35,0.9316
