sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
1.0,1.0,2.0,2.0,2.0,3.0,1.0,5.0,5.0,1.0,2.0,2.0,2.0,1.0,0.2426127527216174,0.2426127527216174,9.28,2577.02,0.34,2384.15,0.05,1465.85,0.26,542.87,0.33,3914.83,0.02,1873.93,0.22,313.6,0.58,2309.8,0.26,0.0972762645914396
1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,0.3203732503888025,0.2783825816485225,9.936170212765957,422.42,0.39,425.39,0.47,345.04,0.27,369.31,0.33,5097.26,0.01,405.94,0.23,400.95,0.43,489.24,0.26,0.0914396887159533
1.0,4.0,7.0,4.0,1.0,2.0,2.0,4.0,7.0,1.0,2.0,1.0,1.0,1.0,0.4727838258164852,0.4727838258164852,10.681818181818182,92.31,0.02,184.58,0.01,42.64,0.26,506.52,0.36,48.03,1.0,427.22,0.15,493.29,0.41,800.89,0.25,0.0856031128404669
1.0,3.0,7.0,3.0,2.0,4.0,1.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,0.2503888024883359,0.2503888024883359,9.28,2788.26,0.34,2574.19,0.05,1534.71,0.26,533.26,0.33,4005.37,0.01,2649.59,0.22,437.07,0.58,3288.46,0.26,0.0972762645914396
1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,6.0,2.0,2.0,2.0,2.0,1.0,0.2426127527216174,0.2426127527216174,9.936170212765957,85.59,0.35,83.64,0.05,475.49,0.27,667.34,0.29,4931.7,0.01,27.13,0.36,521.82,0.58,0.59,0.27,0.0914396887159533
1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,0.2426127527216174,0.2426127527216174,9.936170212765957,85.59,0.35,83.64,0.05,475.49,0.27,667.34,0.29,4931.7,0.01,27.13,0.36,521.82,0.58,0.59,0.27,0.0914396887159533
1.0,1.0,6.0,2.0,2.0,3.0,2.0,3.0,6.0,2.0,2.0,2.0,1.0,1.0,0.2426127527216174,0.2426127527216174,9.936170212765957,85.59,0.35,83.64,0.05,475.49,0.27,667.34,0.29,4931.7,0.01,27.13,0.36,521.82,0.58,0.59,0.27,0.0914396887159533
1.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,1.0,0.5614307931570762,0.5614307931570762,11.238095238095235,94.77,0.31,196.36,1.0,40.2,0.25,571.72,0.34,45.65,1.0,459.63,0.47,522.22,0.39,834.94,0.2,0.0817120622568093
2.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,0.2487046632124352,0.2487046632124352,10.846153846153848,54.26,0.32,0.04,0.43,10.4,0.29,423.27,0.31,90.89,0.01,215.63,0.33,330.79,0.42,25.49,0.29,0.0844155844155843
1.0,2.0,7.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.3405909797822706,0.3405909797822706,11.431818181818182,428.74,0.33,414.05,0.44,360.76,0.27,454.49,0.31,7964.02,1.0,513.2,0.27,440.73,0.58,588.27,0.25,0.0804387568555758
