sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2.0,1.0,3.0,2.0,2.0,4.0,8.0,1.0,1.0,1.0,2.0,1.0,0.1761658031088082,0.1761658031088082,16.11111111111111,542.14,0.27,49.75,0.36,308.73,0.38,2463.12,0.36,542.12,1.0,2444.8,0.39,308.72,0.16,2463.82,0.22,0.1688311688311687
2.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.1658031088082901,0.1658031088082901,14.8,2988.83,0.42,128.74,0.35,155.29,0.34,1519.42,0.35,2988.82,0.0,1406.92,0.39,155.29,0.2,3550.08,0.19,0.2025316455696202
2.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3005181347150259,0.3160621761658031,18.25,277.45,0.24,919.08,0.29,555.51,0.37,257.0,0.29,2792.25,1.0,646.24,0.53,555.51,0.32,90.76,0.16,0.1493506493506493
1.0,2.0,8.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.23950233281493,0.23950233281493,8.884615384615385,65.47,0.08,172.42,1.0,1837.15,0.37,524.14,0.36,65.47,0.04,2040.1,0.19,1837.15,0.42,914.47,0.12,0.1089494163424124
2.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,0.1676300578034682,0.1618497109826589,12.307692307692308,1636.86,0.27,47.72,0.36,295.13,0.35,3.67,0.38,1636.92,0.02,1.71,0.23,295.13,0.21,1168.42,0.27,0.2312138728323699
2.0,3.0,6.0,2.0,1.0,5.0,7.0,2.0,2.0,1.0,1.0,1.0,0.1709844559585492,0.1709844559585492,11.833333333333334,1628.28,0.1,65.68,1.0,211.12,0.33,4.15,0.36,1628.36,0.01,7.16,0.25,211.11,0.3,1172.18,0.27,0.1428571428571429
1.0,2.0,1.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.2886178861788618,0.2865853658536585,9.076923076923077,2779.02,0.16,149.45,1.0,481.83,0.33,439.69,0.32,2779.15,0.02,138.34,0.31,481.83,0.4,377.3,0.24,0.104325699745547
1.0,4.0,7.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,0.2317262830482115,0.2317262830482115,10.173913043478262,55.86,0.07,174.47,1.0,1718.64,0.35,627.42,0.34,55.86,0.02,2316.83,0.3,1718.64,0.24,982.8,0.11,0.1478599221789883
1.0,4.0,6.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,0.2659409020217729,0.2643856920684292,9.489795918367347,3980.52,0.12,188.77,1.0,712.03,0.33,511.62,0.03,3980.71,0.02,212.56,0.21,712.03,0.41,475.71,0.28,0.169260700389105
2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.1618497109826589,0.1618497109826589,12.307692307692308,17.0,0.15,47.72,0.36,513.14,0.33,5.32,0.38,17.0,0.02,6.2,0.23,513.14,0.21,8.39,0.27,0.2312138728323699
2.0,1.0,8.0,4.0,1.0,5.0,7.0,2.0,1.0,1.0,2.0,1.0,0.1917098445595854,0.1917098445595854,11.833333333333334,1632.33,0.12,65.68,1.0,222.45,0.32,4.14,0.34,1632.4,0.03,7.18,0.23,222.45,0.18,1172.18,0.28,0.2402597402597402
1.0,2.0,6.0,4.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,0.2659409020217729,0.2674961119751166,9.28,300.25,0.13,407.32,1.0,381.62,0.33,319.43,0.04,300.25,0.02,438.39,0.36,381.62,0.42,446.6,0.11,0.1186770428015564
2.0,2.0,4.0,4.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,0.3264248704663212,0.3264248704663212,16.11111111111111,9.5,0.49,42.8,0.34,458.95,0.33,212.27,0.32,9.5,1.0,744.2,0.51,458.95,0.37,512.78,0.12,0.1233766233766233
2.0,4.0,7.0,1.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,1.0,0.233160621761658,0.2279792746113989,14.4,7.24,0.21,876.93,0.35,489.54,0.36,189.36,0.36,2166.35,0.05,330.88,0.25,489.54,0.21,85.62,0.23,0.2142857142857143
2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.1761658031088082,0.1761658031088082,14.8,10.61,0.27,46.19,0.35,451.47,0.37,184.77,0.35,10.61,0.0,618.62,0.39,451.47,0.2,478.46,0.19,0.2215189873417721
2.0,2.0,7.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,0.233160621761658,0.233160621761658,14.4,471.98,0.2,52.14,0.38,266.4,0.32,155.59,0.4,471.97,0.04,112.62,0.24,266.4,0.18,176.45,0.19,0.1428571428571429
2.0,4.0,6.0,1.0,2.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,0.233160621761658,0.233160621761658,14.4,14.2,0.11,30.94,0.3,464.64,0.36,211.12,0.34,14.2,0.04,886.15,0.35,464.64,0.51,591.53,0.18,0.1623376623376623
1.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,0.2179930795847751,0.2179930795847751,10.55,8.11,0.22,2568.45,1.0,1368.76,0.36,23.61,0.37,3852.06,0.02,29.18,0.23,1368.78,0.41,28.55,0.13,0.1082251082251082
2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,0.3246753246753247,0.3246753246753247,15.0,9.53,0.27,44.08,0.36,427.76,0.35,164.22,0.36,9.53,1.0,612.9,0.35,427.76,0.2,407.66,0.21,0.2013888888888888
2.0,4.0,9.0,1.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,0.238341968911917,0.238341968911917,14.272727272727272,2383.43,0.24,45.5,0.35,307.19,0.32,191.87,0.39,2383.55,1.0,112.84,0.3,307.19,0.21,203.2,0.23,0.1488095238095238
1.0,3.0,8.0,4.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,0.2192846034214619,0.2192846034214619,9.489795918367347,58.63,0.08,171.5,1.0,1867.05,0.32,35.83,0.37,58.63,0.03,26.35,0.25,1867.05,0.42,28.58,0.29,0.1089494163424124
2.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.3264248704663212,0.3264248704663212,14.0,12.78,0.46,46.34,0.34,513.76,0.34,210.23,0.35,12.79,0.0,774.52,0.36,513.76,0.21,609.89,0.17,0.1388888888888888
2.0,4.0,2.0,2.0,1.0,1.0,7.0,2.0,1.0,2.0,2.0,1.0,0.2642487046632124,0.2642487046632124,14.4,12.14,0.16,35.34,0.32,469.0,0.33,204.71,0.35,12.14,0.1,831.37,0.38,469.0,0.5,648.81,0.16,0.1883116883116883
2.0,2.0,3.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.3056994818652849,0.3056994818652849,14.0,254.45,0.37,1012.07,0.34,555.95,0.36,210.23,0.35,2506.0,0.0,679.5,0.36,555.95,0.21,88.01,0.17,0.1055555555555555
1.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,0.3141524105754277,0.3157076205287714,9.07843137254902,8.09,0.21,2704.76,1.0,385.16,0.33,586.87,0.31,3839.48,0.02,1589.85,0.49,385.14,0.42,228.96,0.24,0.1147859922178988
1.0,4.0,7.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,0.2223950233281493,0.2270606531881804,9.07843137254902,407.9,0.1,399.02,1.0,390.25,0.32,419.94,0.32,407.91,0.03,390.09,0.28,390.25,0.38,383.17,0.13,0.103112840466926
2.0,1.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,0.1761658031088082,0.1761658031088082,14.8,2988.83,0.25,128.74,0.35,155.29,0.35,1519.42,0.35,2988.82,0.0,1406.92,0.39,155.29,0.2,3550.08,0.19,0.2215189873417721
2.0,2.0,5.0,3.0,2.0,1.0,7.0,2.0,2.0,1.0,2.0,1.0,0.3056994818652849,0.3056994818652849,14.4,11.62,0.22,36.87,0.32,454.32,0.37,203.6,0.32,11.62,0.01,738.63,0.37,454.32,0.5,639.56,0.11,0.1948051948051947
2.0,4.0,2.0,2.0,2.0,5.0,7.0,1.0,1.0,2.0,1.0,1.0,0.2642487046632124,0.2642487046632124,16.11111111111111,2455.52,0.27,42.8,0.34,331.78,0.32,203.27,0.35,2455.64,0.09,105.05,0.33,331.78,0.19,200.9,0.22,0.1558441558441559
2.0,3.0,7.0,3.0,1.0,4.0,7.0,2.0,1.0,2.0,1.0,1.0,0.1813471502590673,0.1865284974093264,10.846153846153848,327.97,0.12,62.33,1.0,174.6,0.29,1321.08,0.34,327.96,0.03,1449.71,0.24,174.6,0.18,1097.32,0.28,0.2207792207792207
2.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.160621761658031,0.160621761658031,16.11111111111111,9.5,0.43,46.21,0.35,499.83,0.38,212.27,0.32,9.5,1.0,688.0,0.36,499.83,0.18,293.48,0.23,0.1103896103896103
2.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0.3005181347150259,0.3160621761658031,14.0,3226.19,0.34,138.02,0.34,153.74,0.33,131.49,0.35,3226.2,0.0,158.67,0.36,153.74,0.21,153.39,0.17,0.1388888888888888
2.0,4.0,9.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,0.238341968911917,0.2435233160621761,14.272727272727272,3165.34,0.24,131.98,0.35,133.01,0.34,121.74,0.39,3165.33,1.0,141.94,0.3,133.01,0.21,149.05,0.23,0.1488095238095238
1.0,4.0,7.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.2317262830482115,0.2363919129082426,9.708333333333334,977.27,0.07,172.47,1.0,570.27,0.33,624.83,0.33,977.25,0.02,194.62,0.28,570.26,0.23,458.43,0.12,0.1284046692607003
2.0,2.0,4.0,1.0,2.0,2.0,7.0,2.0,2.0,1.0,2.0,1.0,0.3005181347150259,0.3160621761658031,16.11111111111111,3166.83,0.36,120.51,0.34,143.65,0.4,114.79,0.35,3166.84,1.0,127.69,0.3,143.65,0.36,155.67,0.15,0.2077922077922077
2.0,3.0,8.0,4.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,1.0,0.1917098445595854,0.1917098445595854,11.833333333333334,1632.33,0.12,65.68,1.0,222.45,0.32,4.14,0.34,1632.4,0.03,7.18,0.23,222.45,0.18,1172.18,0.28,0.2402597402597402
2.0,3.0,6.0,3.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,0.1709844559585492,0.1709844559585492,14.4,13.8,0.14,41.65,0.34,458.92,0.4,197.71,0.33,13.8,0.03,719.94,0.55,458.92,0.37,368.58,0.19,0.1753246753246753
1.0,3.0,1.0,4.0,2.0,3.0,5.0,1.0,1.0,2.0,2.0,1.0,0.2179930795847751,0.2179930795847751,10.55,8.11,0.18,2523.7,1.0,1517.89,0.33,31.45,0.37,3852.06,0.02,29.09,0.21,1517.91,0.42,25.2,0.11,0.1103896103896103
