sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2.0,2.0,5.0,4.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3160621761658031,0.3160621761658031,15.3,23.83,0.25,42.29,0.33,10.57,0.35,202.64,0.34,266.39,1.0,10.59,0.25,99.2,0.35,77.32,0.19,0.1165644171779141
1.0,1.0,8.0,3.0,2.0,2.0,1.0,4.0,8.0,2.0,1.0,1.0,2.0,1.0,0.2223950233281493,0.223950233281493,9.75,21.75,0.33,147.23,1.0,23.38,0.15,25.16,0.33,24.54,0.13,21.75,0.33,23.38,0.15,199.03,0.22,0.1027131782945736
2.0,3.0,8.0,2.0,2.0,1.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,0.1917098445595854,0.1917098445595854,11.833333333333334,2.02,0.31,36.45,0.34,1.92,0.25,2.03,0.33,10.62,0.08,2.02,0.18,1.92,0.21,244.35,0.25,0.2402597402597402
1.0,3.0,9.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,0.2192846034214619,0.2208398133748056,12.90625,3218.07,0.29,339.52,1.0,3218.11,0.25,3218.07,0.33,3255.94,1.0,3218.07,0.29,3218.11,0.24,438.37,0.22,0.1078651685393258
1.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.19751166407465,0.19751166407465,11.64102564102564,5726.5,0.29,169.01,1.0,5722.29,0.33,5726.98,0.33,5726.14,1.0,5726.5,0.44,5722.29,0.24,490.76,0.23,0.1176470588235294
1.0,3.0,8.0,4.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,0.2068429237947122,0.2068429237947122,10.422222222222222,32.95,0.36,168.06,1.0,32.55,0.27,7.15,0.32,10.88,0.07,32.95,0.25,32.55,0.16,1036.79,0.22,0.1011673151750972
2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,0.233160621761658,0.233160621761658,11.833333333333334,22951.39,0.31,37.99,0.35,11406.11,0.22,11405.58,0.33,22951.4,0.02,22953.14,0.31,11405.62,0.22,133.97,0.21,0.1558441558441559
2.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,0.2227979274611398,0.2227979274611398,18.25,135.05,0.27,142.33,0.38,144.33,0.24,155.35,0.37,125.14,0.06,135.05,0.27,144.33,0.24,159.86,0.21,0.1688311688311687
2.0,3.0,6.0,3.0,2.0,3.0,1.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,0.2279792746113989,0.2227979274611398,10.0,221.69,0.29,148.9,1.0,142.76,0.23,166.19,0.35,120.99,0.1,221.69,0.36,142.76,0.23,114.29,0.17,0.1428571428571429
1.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,0.2208398133748056,0.2286158631415241,11.64102564102564,3199.6,0.29,375.79,1.0,3199.64,0.25,3199.6,0.33,3269.97,1.0,3199.6,0.29,3199.64,0.24,466.79,0.23,0.1196754563894523
2.0,1.0,1.0,3.0,1.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,0.2383720930232558,0.2383720930232558,16.125,2.37,0.31,37.64,0.34,0.24,0.23,0.0,0.36,5.7,0.01,2.37,0.31,0.24,0.23,81.91,0.18,0.2408759124087591
1.0,2.0,9.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,0.2659409020217729,0.3001555209953344,9.936170212765957,465.94,1.0,373.17,1.0,387.77,0.26,354.72,0.35,308.17,0.05,370.72,0.31,427.17,0.28,457.41,0.23,0.1011673151750972
2.0,1.0,5.0,2.0,2.0,1.0,1.0,4.0,6.0,2.0,1.0,2.0,1.0,1.0,0.2279792746113989,0.2279792746113989,13.0,1609.45,0.29,40.57,0.35,1187.34,0.31,1713.68,0.34,1322.65,0.06,1609.45,0.19,1187.34,0.27,183.78,0.18,0.1623376623376623
2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,2.0,2.0,1.0,0.2441860465116279,0.2441860465116279,16.125,2.37,0.31,37.64,0.34,0.24,0.23,0.0,0.36,5.7,0.01,2.37,0.31,0.24,0.23,81.91,0.18,0.2408759124087591
2.0,3.0,6.0,1.0,1.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,0.233160621761658,0.2279792746113989,11.833333333333334,153.97,0.31,113.5,0.34,122.66,0.25,175.22,0.34,241.31,0.05,153.97,0.09,122.66,0.25,152.8,0.21,0.2467532467532467
2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,0.2441860465116279,0.2151162790697674,18.571428571428573,6.23,0.38,841.29,0.37,9.57,0.28,7.33,0.35,62.49,0.07,6.23,0.21,9.57,0.23,72.24,0.25,0.1678832116788321
