2025-10-01 01:19:24,465 - INFO - pipeline[1. 1. 1.]
2025-10-01 01:19:24,465 - INFO - [GS2] Start. Target utility = 0.050000
2025-10-01 01:30:25,048 - DEBUG - [GS2] A | iter=39 | order=['normalization', 'missing_value', 'model'] | vec=[4, 5, 1] | utility=0.197102
2025-10-01 01:30:25,619 - DEBUG - [GS2] A | iter=40 | order=['normalization', 'model'] | vec=[4, 1] | utility=0.200206
2025-10-01 01:30:26,165 - DEBUG - [GS2] A | iter=41 | order=['missing_value', 'normalization', 'model'] | vec=[3, 5, 1] | utility=0.193416
2025-10-01 01:30:26,514 - DEBUG - [GS2] A | iter=42 | order=['normalization', 'missing_value', 'model'] | vec=[2, 9, 1] | utility=0.189573
2025-10-01 01:30:27,048 - DEBUG - [GS2] A | iter=43 | order=['normalization', 'missing_value', 'model'] | vec=[4, 7, 1] | utility=0.197048
2025-10-01 01:30:27,983 - DEBUG - [GS2] A | iter=44 | order=['normalization', 'missing_value', 'model'] | vec=[1, 4, 1] | utility=0.117801
2025-10-01 01:30:28,316 - DEBUG - [GS2] A | iter=45 | order=['normalization', 'missing_value', 'model'] | vec=[2, 4, 1] | utility=0.191796
2025-10-01 01:30:28,927 - DEBUG - [GS2] A | iter=46 | order=['normalization', 'missing_value', 'model'] | vec=[4, 8, 1] | utility=0.192335
2025-10-01 01:30:29,304 - DEBUG - [GS2] A | iter=47 | order=['normalization', 'missing_value', 'model'] | vec=[2, 8, 1] | utility=0.196721
2025-10-01 01:30:29,701 - DEBUG - [GS2] A | iter=48 | order=['missing_value', 'normalization', 'model'] | vec=[3, 2, 1] | utility=0.196827
2025-10-01 01:30:30,182 - DEBUG - [GS2] A | iter=49 | order=['missing_value', 'normalization', 'model'] | vec=[9, 4, 1] | utility=0.202827
2025-10-01 01:30:31,050 - DEBUG - [GS2] A | iter=50 | order=['normalization', 'missing_value', 'model'] | vec=[3, 4, 1] | utility=0.172671
2025-10-01 01:30:31,600 - DEBUG - [GS2] A | iter=51 | order=['missing_value', 'normalization', 'model'] | vec=[2, 4, 1] | utility=0.197874
2025-10-01 01:30:32,445 - DEBUG - [GS2] A | iter=52 | order=['missing_value', 'normalization', 'model'] | vec=[8, 3, 1] | utility=0.167750
2025-10-01 01:30:33,329 - DEBUG - [GS2] A | iter=53 | order=['normalization', 'missing_value', 'model'] | vec=[3, 1, 1] | utility=0.174041
2025-10-01 01:30:34,188 - DEBUG - [GS2] A | iter=54 | order=['missing_value', 'normalization', 'model'] | vec=[9, 3, 1] | utility=0.175135
2025-10-01 01:30:34,674 - DEBUG - [GS2] A | iter=55 | order=['normalization', 'model'] | vec=[5, 1] | utility=0.189667
