2025-10-02 08:28:55,340 - INFO - pipeline[1. 1. 1.]
2025-10-02 08:28:55,341 - INFO - [GS2] Start. Target utility = 162.000000
2025-10-02 08:28:55,341 - INFO - [GS2] Building candidates from ('missing_value', 'normalization', 'model')
2025-10-02 08:28:55,341 - INFO - [GS2] candidates: 105
2025-10-02 09:08:53,377 - DEBUG - [GS2] A | iter=39 | order=['missing_value', 'model'] | vec=[9, 1] | utility=187.100250
2025-10-02 09:08:53,644 - DEBUG - [GS2] A | iter=40 | order=['normalization', 'missing_value', 'model'] | vec=[2, 4, 1] | utility=187.443807
2025-10-02 09:08:53,697 - DEBUG - [GS2] A | iter=41 | order=['missing_value', 'model'] | vec=[3, 1] | utility=187.097480
2025-10-02 09:08:54,037 - DEBUG - [GS2] A | iter=42 | order=['missing_value', 'normalization', 'model'] | vec=[5, 1, 1] | utility=186.982021
2025-10-02 09:08:54,044 - DEBUG - [GS2] A | iter=43 | order=['missing_value', 'model'] | vec=[1, 1] | utility=189.323861
2025-10-02 09:08:54,368 - DEBUG - [GS2] A | iter=44 | order=['normalization', 'missing_value', 'model'] | vec=[4, 5, 1] | utility=187.439789
2025-10-02 09:08:54,601 - DEBUG - [GS2] A | iter=45 | order=['missing_value', 'normalization', 'model'] | vec=[3, 1, 1] | utility=187.097480
2025-10-02 09:08:54,829 - DEBUG - [GS2] A | iter=46 | order=['normalization', 'missing_value', 'model'] | vec=[2, 1, 1] | utility=189.323861
2025-10-02 09:08:55,071 - DEBUG - [GS2] A | iter=47 | order=['normalization', 'missing_value', 'model'] | vec=[1, 5, 1] | utility=186.982021
2025-10-02 09:08:55,482 - DEBUG - [GS2] A | iter=48 | order=['normalization', 'missing_value', 'model'] | vec=[5, 5, 1] | utility=187.327215
2025-10-02 09:08:55,900 - DEBUG - [GS2] A | iter=49 | order=['missing_value', 'normalization', 'model'] | vec=[5, 4, 1] | utility=186.982021
2025-10-02 09:08:56,286 - DEBUG - [GS2] A | iter=50 | order=['normalization', 'missing_value', 'model'] | vec=[3, 9, 1] | utility=186.851085
2025-10-02 09:08:56,682 - DEBUG - [GS2] A | iter=51 | order=['normalization', 'missing_value', 'model'] | vec=[2, 7, 1] | utility=186.713589
2025-10-02 09:08:56,966 - DEBUG - [GS2] A | iter=52 | order=['missing_value', 'normalization', 'model'] | vec=[2, 2, 1] | utility=187.110868
2025-10-02 09:08:57,144 - DEBUG - [GS2] A | iter=53 | order=['normalization', 'model'] | vec=[3, 1] | utility=189.323861
2025-10-02 09:08:57,518 - DEBUG - [GS2] A | iter=54 | order=['missing_value', 'normalization', 'model'] | vec=[5, 5, 1] | utility=186.982021
2025-10-02 09:08:57,661 - DEBUG - [GS2] A | iter=55 | order=['normalization', 'missing_value', 'model'] | vec=[2, 8, 1] | utility=186.742255
2025-10-02 09:08:57,921 - DEBUG - [GS2] A | iter=56 | order=['missing_value', 'normalization', 'model'] | vec=[3, 2, 1] | utility=187.097480
2025-10-02 09:08:58,135 - DEBUG - [GS2] A | iter=57 | order=['normalization', 'missing_value', 'model'] | vec=[2, 3, 1] | utility=187.097480
2025-10-02 09:08:58,338 - DEBUG - [GS2] A | iter=58 | order=['normalization', 'missing_value', 'model'] | vec=[5, 3, 1] | utility=187.097480
2025-10-02 09:08:58,738 - DEBUG - [GS2] A | iter=59 | order=['normalization', 'missing_value', 'model'] | vec=[5, 6, 1] | utility=186.756838
2025-10-02 09:08:58,942 - DEBUG - [GS2] A | iter=60 | order=['normalization', 'missing_value', 'model'] | vec=[1, 3, 1] | utility=187.097480
2025-10-02 09:08:59,341 - DEBUG - [GS2] A | iter=61 | order=['missing_value', 'normalization', 'model'] | vec=[9, 2, 1] | utility=187.100250
2025-10-02 09:08:59,797 - DEBUG - [GS2] A | iter=62 | order=['normalization', 'missing_value', 'model'] | vec=[1, 6, 1] | utility=186.966237
